ts,signal_id,mode,action,ticker,qty,result,note
2026-06-14T05:25:23.352979+00:00,ZB-ec4cf9a65f13a98fc576,test,exit,MNQ,0,failed,ConnectionError(MaxRetryError("HTTPConnectionPool(host='127.0.0.1', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105c3a850>: Failed to establish a new connection: [Errno 61] Connection refused'))"))
2026-06-14T05:30:13.956618+00:00,ZB-ec4cf9a65f13a98fc576,test,exit,MNQ,0,failed,http 400
2026-06-14T05:52:14.704842+00:00,ZB-ec4cf9a65f13a98fc576,test,exit,MNQ,,confirmed,http 200
2026-06-14T05:56:36.130036+00:00,ZB-ec4cf9a65f13a98fc576,test,exit,MNQ,,duplicate-blocked,
2026-06-14T05:57:02.954048+00:00,ZB-ec4cf9a65f13a98fc576,test,exit,MNQ,,duplicate-blocked,
2026-06-14T05:58:34.066104+00:00,ZB-ae6228eb824f9e5d2289,test,exit,MNQ,,failed,ConnectionError(MaxRetryError("HTTPConnectionPool(host='127.0.0.1', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x101712850>: Failed to establish a new connection: [Errno 61] Connection refused'))"))
2026-06-15T09:45:13.529248+00:00,ZB-3a34ca1ca2c2a49aefb8,test,exit,MNQ,,confirmed,http 200
2026-06-15T10:00:52.247740+00:00,ZB-d381fdcfc40063970e80,test,exit,MNQ,,confirmed,http 200
2026-06-15T10:08:46.010856+00:00,ZB-61ded44f50338ba4f63d,live,buy,MNQ,1,refused,missing traderspost-approved.flag
2026-06-15T10:21:13.673335+00:00,ZB-61ded44f50338ba4f63d,live,buy,MNQ,1,confirmed,http 200
2026-06-15T10:22:01.075434+00:00,ZB-a85f29a12bb381f09de6,test,exit,MNQ,,confirmed,http 200
2026-06-15T10:43:50.816140+00:00,ZB-fe6319b22f86c941b2c9,live,exit,MNQ,,confirmed,http 200
2026-06-15T10:44:40.022884+00:00,ZB-6330481f0200d48fab1a,live,buy,MNQ,1,confirmed,http 200
2026-06-15T10:45:14.344781+00:00,ZB-492b40d20abd503d7c99,live,cancel,MNQ,,confirmed,http 200
2026-06-15T10:45:14.734036+00:00,ZB-4132ac6ada0071b211a0,live,exit,MNQ,,confirmed,http 200
2026-06-15T18:30:10.650980+00:00,ZB-45eb7f1b9b4a6b300189,dry-run,cancel,MNQ,,logged,
2026-06-15T18:30:10.653727+00:00,ZB-5ed65018604c3759e423,dry-run,exit,MNQ,,logged,
2026-06-16T14:46:12.743948+00:00,ZB-1eac4ea1db561b4ccf49,dry-run,sell,MNQ,3,logged,
2026-06-16T18:30:02.749764+00:00,ZB-182cd255c2ced484d0ef,dry-run,cancel,MNQ,,logged,
