surface,budget,cap,eligible_starts,pass_pct,bust_pct,exp_pct,pass_count,mean_terminal_days,funded_per_slot_year,attempts_per_pass,e_cost_per_attempt,fee_per_pass,slippage_flip_R,block_length_L,pass_ci_lo,pass_ci_hi,bust_ci_lo,bust_ci_hi,exp_ci_lo,exp_ci_hi,n_eff_tiling,n_eff_iac,n_eff_headline,trading_day_span,mirage_flag
kept_exit3,700,2,525,1.71,0.0,98.29,9,29.952,0.209,58.333,131.0,7641.67,>0.1 (not observed within tested grid),30,0.0,4.0,0.0,0.0,96.0,100.0,17.9,179.2,17.9,537,False
kept_exit3,700,3,525,4.38,0.0,95.62,23,29.64,0.5399,22.826,131.0,2990.22,>0.1 (not observed within tested grid),30,0.19,9.71,0.0,0.0,90.29,99.81,18.1,75.1,18.1,537,False
kept_exit3,700,4,525,6.86,0.38,92.76,36,29.352,0.8533,14.583,131.0,1910.42,0.0902,29,0.57,15.24,0.0,0.95,84.57,98.86,18.3,28.0,18.3,537,False
kept_exit3,700,5,525,9.9,3.62,86.48,52,28.756,1.2581,10.096,131.0,1322.6,0.0538,29,2.86,18.48,0.76,6.67,76.57,94.67,18.7,32.4,18.7,537,False
kept_exit3,700,6,525,11.62,9.52,78.86,61,28.147,1.5078,8.607,131.0,1127.46,0.0214,28,4.38,20.19,4.0,15.62,68.38,88.0,19.1,35.5,19.1,537,False
kept_exit3,700,8,525,16.76,14.86,68.38,88,26.783,2.2859,5.966,131.0,781.53,0.0189,27,9.14,25.71,8.0,22.48,58.28,78.29,20.1,89.4,20.1,537,False
kept_exit3,700,10,525,20.57,18.86,60.57,108,25.653,2.9289,4.861,131.0,636.81,0.0082,26,14.1,27.81,12.19,25.9,51.43,69.71,20.9,107.9,20.9,537,False
kept_exit3,700,12,525,22.1,20.76,57.14,116,25.139,3.2103,4.526,131.0,592.89,0.0047,25,16.19,29.14,13.71,27.43,47.81,66.29,21.4,111.5,21.4,537,False
kept_exit3,700,15,525,23.43,23.62,52.95,123,24.37,3.5115,4.268,131.0,559.15,already <=0 at baseline,24,16.76,30.29,16.19,31.43,44.57,62.29,22.0,109.1,22.0,537,False
kept_exit3,800,2,525,2.67,0.0,97.33,14,29.901,0.3257,37.5,131.0,4912.5,>0.1 (not observed within tested grid),30,0.0,6.1,0.0,0.0,93.9,100.0,18.0,104.7,18.0,537,False
