a_budget,a_cap,v_budget,v_cap,pf_dollar,eligible_starts,pass_count,bust_count,exp_count,pass_pct,bust_pct,exp_pct,med_days_pass,mean_days_all,worst_day_usd,funded_per_slot_year,trades_wk_total,trades_wk_a,trades_wk_v,trades_per_eval,e_dollar,attempts_per_slot_yr,fee_drag_usd,mean_risk_usd,mean_contracts,probe_015_pass_gt_bust,probe_030_pass_gt_bust,probe_046_pass_gt_bust,classification,hard_reject_flag,is_baseline,same_day_corr,dl_freq_pct,tl_freq_pct,same_day_joint_loss_count
250,2,150,1,1.493,500,0,0,500,0.0,0.0,100.0,,30.0,-441.0,0.0,2.56,2.08,0.51,10.97,-131.0,12.175,1594.9,97.54,1.594,False,False,False,RED,False,False,0.172,9.3,53.9,65
250,2,150,2,1.489,500,0,0,500,0.0,0.0,100.0,,30.0,-441.0,0.0,2.56,2.08,0.51,10.97,-131.0,12.175,1594.9,97.54,1.608,False,False,False,RED,False,False,0.172,9.3,53.9,65
250,2,150,3,1.49,500,0,0,500,0.0,0.0,100.0,,30.0,-441.0,0.0,2.56,2.08,0.51,10.97,-131.0,12.175,1594.9,97.54,1.613,False,False,False,RED,False,False,0.172,9.3,53.9,65
250,2,150,4,1.491,500,0,0,500,0.0,0.0,100.0,,30.0,-441.0,0.0,2.56,2.08,0.51,10.97,-131.0,12.175,1594.9,97.54,1.618,False,False,False,RED,False,False,0.172,9.3,53.9,65
250,2,150,5,1.492,500,0,0,500,0.0,0.0,100.0,,30.0,-441.0,0.0,2.56,2.08,0.51,10.97,-131.0,12.175,1594.9,97.54,1.623,False,False,False,RED,False,False,0.172,9.3,53.9,65
250,2,150,6,1.492,500,0,0,500,0.0,0.0,100.0,,30.0,-441.0,0.0,2.56,2.08,0.51,10.97,-131.0,12.175,1594.9,97.54,1.625,False,False,False,RED,False,False,0.172,9.3,53.9,65
250,2,200,1,1.39,564,0,0,564,0.0,0.0,100.0,,30.0,-580.0,0.0,2.98,2.08,0.91,12.77,-131.0,12.175,1594.9,108.48,1.51,False,False,False,RED,False,False,0.172,9.3,53.9,65
250,2,200,2,1.397,564,0,0,564,0.0,0.0,100.0,,30.0,-580.0,0.0,2.98,2.08,0.91,12.77,-131.0,12.175,1594.9,108.48,1.543,False,False,False,RED,False,False,0.172,9.3,53.9,65
250,2,200,3,1.396,564,0,0,564,0.0,0.0,100.0,,30.0,-580.0,0.0,2.98,2.08,0.91,12.77,-131.0,12.175,1594.9,108.48,1.551,False,False,False,RED,False,False,0.172,9.3,53.9,65
250,2,200,4,1.397,564,0,0,564,0.0,0.0,100.0,,30.0,-580.0,0.0,2.98,2.08,0.91,12.77,-131.0,12.175,1594.9,108.48,1.555,False,False,False,RED,False,False,0.172,9.3,53.9,65
250,2,200,5,1.397,564,0,0,564,0.0,0.0,100.0,,30.0,-580.0,0.0,2.98,2.08,0.91,12.77,-131.0,12.175,1594.9,108.48,1.559,False,False,False,RED,False,False,0.172,9.3,53.9,65
250,2,200,6,1.398,564,0,0,564,0.0,0.0,100.0,,30.0,-580.0,0.0,2.98,2.08,0.91,12.77,-131.0,12.175,1594.9,108.48,1.564,False,False,False,RED,False,False,0.172,9.3,53.9,65
250,2,250,1,1.418,610,0,0,610,0.0,0.0,100.0,,30.0,-580.0,0.0,3.34,2.08,1.28,14.31,-131.0,12.175,1594.9,121.07,1.455,False,False,False,RED,False,False,0.172,9.3,53.9,65
