variant_group,variant,shared_stop,budget_a,cap_a,budget_v,cap_v,max_losses,no_new_after_loss,e_dollar,trades_per_week,trades_per_week_lost_to_gate,dll_touch_freq_pct,eligible_starts,pass_count,bust_count,exp_count,pass_pct,bust_pct,exp_pct,med_days_pass,worst_day_usd,funded_per_slot_year,denominator_artifact_flag,slip0.015_pass_pct,slip0.015_bust_pct,slip0.03_pass_pct,slip0.03_bust_pct,slip0.046_pass_pct,slip0.046_bust_pct
shared_stop,shared_stop=400,400.0,600,6,600,4,,,2312,3.94,0.0,0.1,684,189,91,404,27.6,13.3,59.1,18.0,-1000.0,3.98,True,25.9,14.2,24.7,16.2,22.7,17.4
shared_stop,shared_stop=500,500.0,600,6,600,4,,,2407,3.94,0.0,0.4,684,196,97,391,28.7,14.2,57.2,19.0,-1000.0,4.17,True,26.5,15.2,24.9,16.8,23.0,18.0
shared_stop,shared_stop=550,550.0,600,6,600,4,,,2407,3.94,0.0,1.1,684,196,116,372,28.7,17.0,54.4,18.0,-1000.0,4.22,False,26.5,17.8,24.9,17.8,23.0,18.6
shared_stop,shared_stop=600,600.0,600,6,600,4,,,2424,3.94,0.0,1.7,684,198,140,346,28.9,20.5,50.6,18.0,-1000.0,4.33,False,26.6,20.3,25.1,20.8,22.5,22.2
shared_stop,shared_stop=700,700.0,600,6,600,4,,,2424,3.94,0.0,1.7,684,198,140,346,28.9,20.5,50.6,18.0,-1000.0,4.33,False,26.5,22.2,25.0,22.7,22.8,24.4
shared_stop,shared_stop=800,800.0,600,6,600,4,,,2424,3.94,0.0,1.7,684,198,140,346,28.9,20.5,50.6,18.0,-1000.0,4.33,False,26.5,22.2,25.0,22.7,22.8,24.4
lane_caps,A@300/6+VPC@200/4,550.0,300,6,200,4,,,-68,3.05,0.0,0.0,576,0,0,576,0.0,0.0,100.0,,-580.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
lane_caps,A@300/6+VPC@300/4,550.0,300,6,300,4,,,191,3.62,0.0,0.0,644,19,0,625,3.0,0.0,97.0,23.0,-748.0,0.36,True,2.6,0.2,2.6,0.5,2.3,0.6
lane_caps,A@300/6+VPC@400/4,550.0,300,6,400,4,,,536,3.81,0.0,0.1,671,47,11,613,7.0,1.6,91.4,22.0,-1000.0,0.88,True,6.3,1.6,5.5,1.8,5.5,2.1
lane_caps,A@300/6+VPC@500/4,550.0,300,6,500,4,,,1002,3.86,0.0,0.3,678,84,19,575,12.4,2.8,84.8,20.0,-1000.0,1.59,True,11.7,4.0,10.9,5.5,10.3,5.8
lane_caps,A@400/6+VPC@200/4,550.0,400,6,200,4,,,62,3.09,0.0,0.0,584,9,1,574,1.5,0.2,98.3,29.0,-703.0,0.19,True,1.4,0.2,0.7,0.2,0.3,0.9
lane_caps,A@400/6+VPC@300/4,550.0,400,6,300,4,,,476,3.66,0.0,0.0,650,41,4,605,6.3,0.6,93.1,24.0,-703.0,0.78,True,5.7,1.7,5.1,3.2,4.6,3.4
lane_caps,A@400/6+VPC@400/4,550.0,400,6,400,4,,,829,3.85,0.0,0.1,675,70,26,579,10.4,3.9,85.8,20.0,-1000.0,1.32,True,9.3,4.1,8.6,4.1,8.6,4.3
lane_caps,A@400/6+VPC@500/4,550.0,400,6,500,4,,,1390,3.9,0.0,0.1,682,115,34,533,16.9,5.0,78.2,20.0,-1000.0,2.22,True,15.7,5.7,14.8,6.2,13.6,7.2
lane_caps,A@500/6+VPC@200/4,550.0,500,6,200,4,,,476,3.11,0.0,0.0,588,37,7,544,6.3,1.2,92.5,24.0,-882.0,0.78,True,5.3,1.2,4.8,1.2,4.1,1.7
lane_caps,A@500/6+VPC@300/4,550.0,500,6,300,4,,,984,3.68,0.0,0.0,654,80,29,545,12.2,4.4,83.3,22.0,-882.0,1.55,True,10.7,5.0,9.9,5.5,9.3,6.0
