a_variant,window,named_combo,n_a,n_v,trades_wk_a,trades_wk_v,pf_dollar,eligible_starts,pass_count,bust_count,exp_count,pass_pct,bust_pct,exp_pct,med_days_pass,worst_day_usd,funded_per_slot_year,e_dollar_placeholder,joint_loss_days,joint_loss_pct,py2022_n,py2022_pass_pct,py2023_n,py2023_pass_pct,py2024_n,py2024_pass_pct,py2025_n,py2025_pass_pct,py2026_n,py2026_pass_pct,one_year_concentration_flag,slip0.015_pass_pct,slip0.015_bust_pct,slip0.03_pass_pct,slip0.03_bust_pct,slip0.046_pass_pct,slip0.046_bust_pct
A-current (all trades),10:00-15:00 (full),False,513,408,2.208,1.767,1.377,684,196,116,372,28.7,17.0,54.4,18,-1000.0,4.22,2165.0,65,9.3,151,22.5,160,20.6,152,21.7,160,43.1,61,44.3,False,26.5,17.8,24.9,17.8,23.0,18.6
A-first-signal-of-day-only,10:00-15:00 (full),False,475,408,2.045,1.767,1.403,684,198,108,378,28.9,15.8,55.3,19,-1000.0,4.23,2181.0,63,9.0,151,23.2,160,23.1,152,16.4,160,46.2,61,44.3,False,27.2,16.4,25.7,16.4,24.3,17.0
A-max-1/day,10:00-15:00 (full),False,475,408,2.045,1.767,1.403,684,198,108,378,28.9,15.8,55.3,19,-1000.0,4.23,2181.0,63,9.0,151,23.2,160,23.1,152,16.4,160,46.2,61,44.3,False,27.2,16.4,25.7,16.4,24.3,17.0
A-max-2/day,10:00-15:00 (full),False,513,408,2.208,1.767,1.377,684,196,116,372,28.7,17.0,54.4,18,-1000.0,4.22,2165.0,65,9.3,151,22.5,160,20.6,152,21.7,160,43.1,61,44.3,False,26.5,17.8,24.9,17.8,23.0,18.6
A-current (all trades),10:00-14:00,False,513,400,2.208,1.733,1.391,680,197,109,374,29.0,16.0,55.0,19,-1000.0,4.25,2189.0,64,9.2,150,24.0,159,20.8,152,23.7,158,41.1,61,44.3,False,26.5,16.9,24.9,17.9,22.9,18.7
A-first-signal-of-day-only,10:00-14:00,False,475,400,2.045,1.733,1.418,680,199,108,373,29.3,15.9,54.9,19,-1000.0,4.27,2213.0,62,8.9,150,24.7,159,23.3,152,19.1,158,43.7,61,44.3,False,27.2,16.5,26.0,16.5,24.6,17.1
A-max-1/day,10:00-14:00,False,475,400,2.045,1.733,1.418,680,199,108,373,29.3,15.9,54.9,19,-1000.0,4.27,2213.0,62,8.9,150,24.7,159,23.3,152,19.1,158,43.7,61,44.3,False,27.2,16.5,26.0,16.5,24.6,17.1
A-max-2/day,10:00-14:00,False,513,400,2.208,1.733,1.391,680,197,109,374,29.0,16.0,55.0,19,-1000.0,4.25,2189.0,64,9.2,150,24.0,159,20.8,152,23.7,158,41.1,61,44.3,False,26.5,16.9,24.9,17.9,22.9,18.7
A-current (all trades),10:00-13:00,False,513,390,2.208,1.689,1.393,674,191,109,374,28.3,16.2,55.5,18,-1000.0,4.16,2133.0,64,9.3,149,23.5,158,19.0,151,23.8,155,40.6,61,44.3,False,25.5,17.2,24.2,18.1,22.7,18.8
A-first-signal-of-day-only,10:00-13:00,False,475,390,2.045,1.689,1.421,674,194,108,372,28.8,16.0,55.2,19,-1000.0,4.2,2173.0,62,9.0,149,22.8,158,21.5,151,19.2,155,45.2,61,44.3,False,26.6,16.6,25.4,16.6,24.2,17.1
