label,n_a,n_v,pf_dollar,pf_r,wr_pct,totR,maxdd_usd,eligible_starts,pass_count,bust_count,exp_count,pass_pct,bust_pct,exp_pct,med_days_pass,worst_day_usd,funded_per_slot_year,e_dollar_placeholder,slip0.015_pass_pct,slip0.015_bust_pct,slip0.03_pass_pct,slip0.03_bust_pct,slip0.046_pass_pct,slip0.046_bust_pct,dimension
"BASELINE (A=exit3-current, VPC=current-5.0xATR, overlay=none)",513,408,1.377,1.364,45.2,136.5,4189.0,684,197,112,375,28.8,16.4,54.8,18,-1055.0,4.23,2173.0,26.5,17.7,24.9,17.4,23.0,17.8,baseline
A-leg=fixed-1.5R (VPC=current-5.0xATR),513,408,1.381,1.372,47.4,150.2,4353.0,684,222,131,331,32.5,19.2,48.4,18,-1068.0,4.96,2469.0,30.7,19.9,29.4,20.8,27.8,21.3,A-leg
A-leg=fixed-2R (VPC=current-5.0xATR),513,408,1.374,1.371,44.6,159.4,6408.0,684,259,140,285,37.9,20.5,41.7,16,-1068.0,6.07,2901.0,36.5,21.8,34.4,22.4,33.0,23.4,A-leg
VPC-leg=tighter-4.0xATR (A=exit3-current),513,408,1.35,1.342,44.7,125.9,4676.0,684,185,82,417,27.0,12.0,61.0,20,-1055.0,3.85,2029.0,25.7,14.5,23.8,14.8,21.3,16.7,VPC-leg
VPC-leg=looser-6.0xATR (A=exit3-current),513,408,1.365,1.354,45.7,136.0,4374.0,684,192,111,381,28.1,16.2,55.7,18,-1055.0,4.11,2117.0,26.5,16.8,24.7,17.0,22.2,17.3,VPC-leg
VPC-leg=fixed-2R-target (A=exit3-current),513,408,1.3,1.301,46.4,119.2,5551.0,684,181,135,368,26.5,19.7,53.8,18,-1087.0,3.87,1989.0,25.0,19.9,22.1,18.9,20.5,19.2,VPC-leg
VPC-leg=trail-armed-after-1R (A=exit3-current),513,408,1.366,1.354,47.1,136.4,4170.0,684,201,118,365,29.4,17.3,53.4,17,-1087.0,4.37,2221.0,27.3,17.8,25.6,16.7,23.7,17.3,VPC-leg
VPC-leg=time-stop-120min (A=exit3-current),513,408,1.331,1.324,48.3,113.6,4376.0,684,154,84,446,22.5,12.3,65.2,21,-1055.0,3.08,1669.0,20.2,14.0,18.4,14.0,16.5,15.8,VPC-leg
overlay=flatten-VPC-by-14:30 (A=exit3-current),513,408,1.297,1.274,45.4,72.4,4233.0,684,57,46,581,8.3,6.7,84.9,25,-1052.0,1.05,533.0,7.2,7.6,6.7,7.9,5.3,9.6,overlay
overlay=stop-day-after-portfolio>=+1.0R,488,358,1.273,1.252,43.4,89.3,5051.0,684,125,108,451,18.3,15.8,65.9,20,-1055.0,2.52,1333.0,16.5,17.3,15.2,17.5,14.3,17.8,overlay
overlay=stop-day-after-portfolio>=+1.5R,497,376,1.311,1.295,44.0,106.8,4946.0,684,146,105,433,21.3,15.4,63.3,19,-1055.0,3.0,1573.0,19.0,16.7,18.0,17.7,17.0,18.4,overlay
overlay=stop-day-after-portfolio>=+2.0R,509,405,1.352,1.342,44.9,127.7,4946.0,684,181,117,386,26.5,17.1,56.4,19,-1055.0,3.83,1989.0,24.4,18.1,23.0,18.0,21.3,18.3,overlay
BEST-A(fixed-1.5R) x BEST-VPC(current-5.0xATR) combined,513,408,1.381,1.372,47.4,150.2,4353.0,684,222,131,331,32.5,19.2,48.4,18,-1068.0,4.96,2469.0,30.7,19.9,29.4,20.8,27.8,21.3,best-combo
