config_id,tags,a_budget,a_cap,v_budget,v_cap,a_variant,v_window,n_a,n_v,pf_dollar,eligible_starts,pass_count,bust_count,exp_count,pass_pct,bust_pct,exp_pct,funded_per_slot_year,slip0.005_pass_pct,slip0.005_bust_pct,slip0.01_pass_pct,slip0.01_bust_pct,slip0.015_pass_pct,slip0.015_bust_pct,slip0.02_pass_pct,slip0.02_bust_pct,slip0.03_pass_pct,slip0.03_bust_pct,slip0.04_pass_pct,slip0.04_bust_pct,slip0.046_pass_pct,slip0.046_bust_pct,slip0.05_pass_pct,slip0.05_bust_pct,slip0.075_pass_pct,slip0.075_bust_pct,slip0.1_pass_pct,slip0.1_bust_pct,flip_point_R,cost2x_pass_pct,cost2x_bust_pct,cost2x_verdict_pass_gt_bust,cost3x_pass_pct,cost3x_bust_pct,cost3x_verdict_pass_gt_bust,wf75_pass_pct,wf75_bust_pct,wf75_verdict_pass_gt_bust,wf50_pass_pct,wf50_bust_pct,wf50_verdict_pass_gt_bust,wf25_pass_pct,wf25_bust_pct,wf25_verdict_pass_gt_bust,a_retest1tk_pass_pct,a_retest1tk_bust_pct,a_retest1tk_verdict_pass_gt_bust,a_retest2tk_pass_pct,a_retest2tk_bust_pct,a_retest2tk_verdict_pass_gt_bust,v_chase0.5pt_pass_pct,v_chase0.5pt_bust_pct,v_chase0.5pt_verdict_pass_gt_bust,v_chase1.0pt_pass_pct,v_chase1.0pt_bust_pct,v_chase1.0pt_verdict_pass_gt_bust,reject_dies_at_0.015R,reject_dies_at_winners75,reject_flip_lt_0.025R,REJECT,reject_dies_at_2x_costs,REJECT_v2_config_only,SURVIVES_PREFERRED
F01,baseline,600,6,600,4,current,full,513,408,1.377,684,196,116,372,28.7,17.0,54.4,4.22,28.1,17.3,26.9,17.5,26.5,17.8,26.2,18.0,24.9,17.8,24.1,18.6,23.0,18.6,22.1,20.9,19.0,23.4,17.4,27.8,0.0554,26.0,16.5,True,23.7,20.0,True,9.2,19.9,False,0.3,29.4,False,0.0,43.7,False,28.5,17.1,True,27.5,17.5,True,28.5,17.0,True,28.2,17.3,True,False,True,False,True,False,False,False
F02,top-green-pass_pct,900,6,700,3,current,full,513,408,1.434,684,269,134,281,39.3,19.6,41.1,6.37,38.7,19.6,37.9,19.7,37.1,20.0,36.8,20.2,35.5,21.2,34.2,21.8,32.5,22.1,31.7,23.8,28.9,28.7,26.0,32.3,0.0758,36.7,20.2,True,32.3,22.7,True,15.4,24.7,False,2.3,33.3,False,0.0,51.5,False,38.9,19.6,True,38.6,19.6,True,38.9,19.6,True,38.7,19.6,True,False,True,False,True,False,False,False
F03,top-green-pass_pct,1000,6,600,3,current,full,513,408,1.424,684,267,127,290,39.0,18.6,42.4,6.28,38.5,18.7,37.3,20.2,36.4,20.8,34.4,22.2,33.6,23.8,32.6,24.6,31.1,25.7,30.1,27.6,26.3,31.0,23.1,34.6,0.0587,34.1,23.0,True,30.3,26.2,True,13.2,25.7,False,1.3,31.9,False,0.0,47.1,False,38.6,18.7,True,38.0,19.9,True,38.7,18.6,True,38.6,19.7,True,False,True,False,True,False,False,False
F04,top-green-pass_pct,600,10,800,4,current,full,513,408,1.367,685,262,136,287,38.2,19.9,41.9,6.18,37.7,20.3,36.8,21.3,36.2,21.5,35.3,22.9,34.5,23.2,33.4,23.5,32.1,23.9,31.4,26.0,27.9,28.3,24.2,34.6,0.0733,35.6,20.1,True,33.7,23.6,True,13.6,26.6,False,0.6,37.8,False,0.0,61.8,False,38.0,20.3,True,37.5,20.9,True,38.0,20.0,True,37.7,20.3,True,False,True,False,True,False,False,False
F05,top-green-pass_pct,700,4,800,5,current,full,513,408,1.43,685,260,136,289,38.0,19.9,42.2,6.1,36.5,20.4,35.9,20.6,35.6,20.9,33.7,21.3,31.8,23.5,30.4,23.6,29.8,23.6,29.2,25.3,26.3,30.4,25.1,34.2,0.0622,34.3,21.5,True,30.9,23.2,True,14.5,24.5,False,1.0,32.1,False,0.0,46.7,False,36.8,20.3,True,36.5,20.3,True,36.5,20.4,True,36.4,20.4,True,False,True,False,True,False,False,False
F06,top-green-pass_pct,800,6,600,6,current,full,513,408,1.426,684,260,136,288,38.0,19.9,42.1,5.97,37.6,20.2,36.5,20.6,35.2,22.1,34.9,22.7,33.9,23.2,32.5,24.9,30.6,25.3,29.4,27.3,27.2,29.5,24.6,30.8,0.0619,34.9,22.1,True,30.6,26.5,True,13.0,25.4,False,1.3,31.7,False,0.0,47.4,False,37.7,20.2,True,37.3,20.9,True,37.9,20.2,True,37.7,20.3,True,False,True,False,True,False,False,False
F07,top-green-pass_pct,800,6,600,5,current,full,513,408,1.424,684,257,136,291,37.6,19.9,42.5,5.89,37.1,20.2,35.7,20.5,34.6,21.6,34.1,22.4,33.3,23.1,32.2,24.7,30.1,24.7,28.8,26.9,26.3,28.9,24.0,30.4,0.0606,34.2,21.6,True,30.3,26.3,True,12.9,25.6,False,1.3,31.7,False,0.0,46.6,False,37.3,20.2,True,36.8,20.9,True,37.4,20.2,True,37.1,20.2,True,False,True,False,True,False,False,False
F08,top-green-pass_pct,900,6,600,3,current,full,513,408,1.408,684,256,123,305,37.4,18.0,44.6,5.89,36.8,18.1,36.0,19.3,35.1,19.6,34.6,19.6,34.1,20.8,32.6,21.3,30.6,21.9,29.2,24.3,26.2,28.1,22.7,30.4,0.068,34.4,19.7,True,30.1,23.0,True,11.8,24.6,False,0.9,31.4,False,0.0,45.5,False,37.0,18.1,True,36.5,19.2,True,37.0,18.0,True,37.0,19.2,True,False,True,False,True,False,False,False
F09,top-green-pass_pct,1000,6,500,5,current,full,513,408,1.457,683,254,125,304,37.2,18.3,44.5,5.81,36.7,18.6,35.7,18.9,34.8,19.5,33.2,22.4,32.4,22.8,31.8,24.3,30.2,25.5,28.7,27.2,26.9,29.4,22.8,33.7,0.0594,33.2,22.0,True,29.7,26.6,True,14.1,22.3,False,1.5,28.1,False,0.0,44.8,False,36.9,18.6,True,36.3,18.6,True,37.2,18.3,True,36.7,18.3,True,False,True,False,True,False,False,False
F10,top-green-pass_pct,1000,6,500,6,current,full,513,408,1.458,683,254,125,304,37.2,18.3,44.5,5.82,36.7,18.6,35.7,18.9,34.8,19.5,33.2,22.4,32.5,22.8,31.8,24.3,30.2,25.5,28.7,27.2,26.9,29.6,23.0,33.2,0.0589,33.2,22.0,True,29.7,26.6,True,14.2,22.3,False,1.5,28.3,False,0.0,44.8,False,36.9,18.6,True,36.3,18.6,True,37.2,18.3,True,36.7,18.3,True,False,True,False,True,False,False,False
