budget,cap,n_starts,e_paid,med_paid,med_months,bust_pct,closed_max_pct,data_end_pct,safety_net_pct,med_days_to_safety_net,worst_day,payout_dist_0_pct,payout_dist_1_pct,payout_dist_2_pct,payout_dist_3_pct,payout_dist_4_pct,payout_dist_5_pct,payout_dist_6_pct
150,2,49,276,0,36.6,0.0,0.0,100.0,89.8,716.5,-273.0,81.6,18.4,0.0,0.0,0.0,0.0,0.0
200,2,49,1491,1100,36.6,0.0,0.0,100.0,100.0,580.0,-291.0,8.2,51.0,22.4,16.3,2.0,0.0,0.0
250,4,49,7230,7236,32.4,0.0,73.5,26.5,100.0,285.0,-446.0,0.0,0.0,0.0,6.1,12.2,8.2,73.5
300,4,49,8174,8585,30.4,8.2,81.6,10.2,100.0,236.0,-547.0,0.0,2.0,0.0,8.2,4.1,4.1,81.6
400,4,49,8277,10175,18.9,20.4,73.5,6.1,87.8,190.0,-661.0,16.3,4.1,0.0,2.0,4.1,0.0,73.5
480,4,49,8554,10257,18.4,22.4,75.5,2.0,87.8,171.0,-882.0,12.2,8.2,2.0,0.0,0.0,2.0,75.5
600,6,49,5531,970,8.4,57.1,42.9,0.0,63.3,66.0,-1000.0,38.8,18.4,0.0,0.0,0.0,0.0,42.9
640,4,49,6131,4403,12.4,55.1,42.9,2.0,75.5,132.0,-882.0,28.6,16.3,4.1,6.1,0.0,2.0,42.9
480,5,49,7820,10000,17.3,46.9,49.0,4.1,87.8,131.0,-882.0,16.3,10.2,0.0,8.2,8.2,8.2,49.0
640,5,49,6422,4727,11.4,53.1,46.9,0.0,73.5,91.0,-1000.0,26.5,16.3,4.1,6.1,0.0,0.0,46.9
