ts,direction,entry,stop,target,risk_usd,R,mae_r,kept,drift_sign,eval_ts
2021-06-25T10:25:00-04:00,short,14368.67,14390.75,14324.51,44.159999999999854,1.5,-0.1847826086956495,True,-1,2021-06-25T10:25:00-04:00
2021-06-29T10:15:00-04:00,long,14488.5,14470.0,14525.51,37.0,,,False,-1,2021-06-29T10:15:00-04:00
2021-06-30T09:55:00-04:00,long,14540.66,14524.0,14573.98,33.31999999999971,,,False,-1,2021-06-30T09:55:00-04:00
2021-06-30T11:15:00-04:00,long,14552.17,14540.75,14575.02,22.840000000000146,,,False,-1,2021-06-30T11:15:00-04:00
2021-07-01T09:55:00-04:00,long,14531.78,14514.75,14565.84,34.06000000000131,-0.014679976512037007,-1.3963593658249995,True,1,2021-07-01T09:55:00-04:00
2021-07-06T11:10:00-04:00,short,14752.94,14777.5,14703.8,49.11999999999898,,,False,1,2021-07-06T11:10:00-04:00
2021-07-07T09:55:00-04:00,short,14842.81,14884.25,14759.94,82.88000000000102,1.4998793436293192,-0.08301158301159428,True,-1,2021-07-07T09:55:00-04:00
2021-07-08T10:35:00-04:00,long,14602.04,14540.0,14726.1,124.08000000000175,1.4998388136685827,-0.5809155383623528,True,1,2021-07-08T10:35:00-04:00
2021-07-09T09:40:00-04:00,short,14704.25,14722.75,14667.24,37.0,-1.027027027027027,-1.1216216216216217,True,-1,2021-07-09T09:40:00-04:00
2021-07-12T10:05:00-04:00,short,14823.12,14858.5,14752.36,70.7599999999984,-0.5053702656868175,-0.9717354437535324,True,-1,2021-07-12T10:05:00-04:00
2021-07-15T09:55:00-04:00,short,14870.6,14902.75,14806.31,64.29999999999927,1.4998444790046905,-0.7822706065318793,True,-1,2021-07-15T09:55:00-04:00
2021-07-16T10:50:00-04:00,short,14779.94,14816.5,14706.82,73.11999999999898,1.5000000000000249,-0.18626914660830377,True,-1,2021-07-16T10:50:00-04:00
2021-07-23T09:45:00-04:00,short,14974.37,14994.5,14934.12,40.2599999999984,-1.0248385494287144,-1.1241927471435718,True,-1,2021-07-23T09:45:00-04:00
2021-07-27T09:50:00-04:00,short,15067.46,15107.5,14987.38,80.08000000000175,1.4999999999999774,-0.1008991008991205,True,-1,2021-07-27T09:50:00-04:00
2021-07-28T10:00:00-04:00,short,14992.59,15022.75,14932.28,60.31999999999971,-1.01657824933687,-1.0497347480106103,True,-1,2021-07-28T10:00:00-04:00
2021-07-30T10:25:00-04:00,long,14935.44,14890.5,15025.31,89.88000000000102,0.28504672897194805,-0.5605251446372992,True,1,2021-07-30T10:25:00-04:00
2021-08-02T09:55:00-04:00,short,14973.32,15045.0,14829.97,143.36000000000058,-1.0069754464285714,-1.0313895089285714,True,-1,2021-08-02T09:55:00-04:00
2021-08-03T10:20:00-04:00,short,14922.41,15009.25,14748.74,173.6800000000003,-1.0057577153385537,-1.0863657300783047,True,-1,2021-08-03T10:20:00-04:00
2021-08-04T10:00:00-04:00,long,15033.04,15018.0,15063.11,30.080000000001746,-0.0166223404255309,-1.0498670212765928,True,1,2021-08-04T10:00:00-04:00
2021-08-09T09:45:00-04:00,short,15102.96,15139.25,15030.36,72.58000000000175,-0.4213281895839213,-0.9793331496279972,True,-1,2021-08-09T09:45:00-04:00
2021-08-10T09:45:00-04:00,short,15141.2,15154.25,15115.11,26.099999999998545,-1.0383141762452128,-1.2298850574712772,True,-1,2021-08-10T09:45:00-04:00
2021-08-11T12:00:00-04:00,short,15001.5,15044.5,14915.5,86.0,-0.47093023255813954,-0.7151162790697675,True,-1,2021-08-11T12:00:00-04:00
2021-08-16T09:45:00-04:00,long,15087.79,15076.0,15111.38,23.580000000001746,-1.0424088210347722,-1.1272264631043163,True,1,2021-08-16T09:45:00-04:00
2021-08-18T10:40:00-04:00,long,14999.96,14974.5,15050.87,50.919999999998254,-1.019638648860959,-1.019638648860959,True,1,2021-08-18T10:40:00-04:00
2021-08-19T09:40:00-04:00,long,14786.99,14763.25,14834.47,47.47999999999956,1.5,-0.5787700084245959,True,1,2021-08-19T09:40:00-04:00
2021-08-24T09:50:00-04:00,long,15327.02,15320.5,15340.06,13.040000000000873,1.4999999999998606,-0.8849693251533819,True,1,2021-08-24T09:50:00-04:00
2021-08-25T10:15:00-04:00,short,15377.75,15397.5,15338.25,39.5,,,False,1,2021-08-25T10:15:00-04:00
2021-08-26T09:40:00-04:00,long,15344.38,15328.0,15377.12,32.7599999999984,-0.015262515262515985,-1.6105006105006403,True,1,2021-08-26T09:40:00-04:00
2021-08-26T10:35:00-04:00,short,15304.14,15351.0,15210.43,93.72000000000116,-0.0053350405463080675,-1.0053350405463082,True,-1,2021-08-26T10:35:00-04:00
2021-09-02T10:25:00-04:00,short,15633.8,15661.5,15578.42,55.400000000001455,1.4996389891696342,-0.8104693140794273,True,-1,2021-09-02T10:25:00-04:00
2021-09-03T10:35:00-04:00,long,15610.43,15570.75,15689.78,79.36000000000058,1.0301159274193474,-0.16834677419355448,True,1,2021-09-03T10:35:00-04:00
2021-09-10T10:25:00-04:00,short,15618.22,15657.5,15539.66,78.56000000000131,1.499999999999977,-0.06440936863545348,True,-1,2021-09-10T10:25:00-04:00
2021-09-15T09:50:00-04:00,short,15360.09,15434.0,15212.28,147.8199999999997,-1.0067649844405357,-1.0710323366256258,True,-1,2021-09-15T09:50:00-04:00
2021-09-21T10:00:00-04:00,long,15061.14,15028.25,15126.9,65.77999999999884,,,False,-1,2021-09-21T10:00:00-04:00
2021-09-22T09:55:00-04:00,short,15053.66,15074.5,15011.98,41.68000000000029,-1.0239923224568137,-1.1439539347408818,True,-1,2021-09-22T09:55:00-04:00
2021-09-22T10:10:00-04:00,long,15088.06,15025.25,15213.69,125.61999999999898,1.1303932494825757,-0.07259990447380238,True,1,2021-09-22T10:10:00-04:00
2021-09-23T11:05:00-04:00,long,15292.81,15271.5,15335.43,42.61999999999898,-1.0234631628343507,-1.0821210699202273,True,1,2021-09-23T11:05:00-04:00
2021-09-24T09:45:00-04:00,long,15207.38,15189.25,15243.66,36.2599999999984,1.5005515719802056,-0.5449531163816678,True,1,2021-09-24T09:45:00-04:00
2021-09-24T10:30:00-04:00,long,15228.62,15200.75,15284.36,55.7400000000016,1.4999999999999674,-0.8475062791532157,True,1,2021-09-24T10:30:00-04:00
2021-09-27T11:05:00-04:00,long,15186.08,15139.5,15279.23,93.15999999999985,-1.0107342206955776,-1.021468441391155,True,1,2021-09-27T11:05:00-04:00
2021-09-29T10:30:00-04:00,long,14821.8,14802.0,14861.41,39.599999999998545,1.5002525252525767,-0.12878787878784678,True,1,2021-09-29T10:30:00-04:00
2021-09-30T09:40:00-04:00,long,14828.0,14780.5,14923.0,95.0,-0.0052631578947368585,-1.1894736842105262,True,1,2021-09-30T09:40:00-04:00
2021-10-01T09:50:00-04:00,short,14649.1,14736.0,14475.29,173.79999999999927,-0.0028768699654775354,-1.005753739930955,True,-1,2021-10-01T09:50:00-04:00
2021-10-06T09:55:00-04:00,long,14543.07,14511.0,14607.22,64.13999999999942,-1.0155908949173684,-1.1481135017149997,True,1,2021-10-06T09:55:00-04:00
2021-10-08T09:40:00-04:00,short,14912.98,14948.5,14841.92,71.04000000000087,1.5002815315315121,-0.3102477477477562,True,-1,2021-10-08T09:40:00-04:00
