classifier,trigger,stop_type,exit_type,n,tr_wk,wr,pf,expR,totR,maxDD_R,flag
flat_vwap_slope_or30,or_boundary_touch,beyond_range_extreme,vwap,2474,4.565,0.3242,0.3116,-0.7687,-1901.851,-1901.794,dead
flat_vwap_slope_or30,or_boundary_touch,beyond_range_extreme,range_midpoint,2922,5.391,0.3628,0.3991,-0.6875,-2008.915,-2009.545,dead
flat_vwap_slope_or30,or_boundary_touch,beyond_range_extreme,1R,3149,5.81,0.402,0.2155,-0.7417,-2335.728,-2336.416,dead
flat_vwap_slope_or30,or_boundary_touch,beyond_range_extreme,time_stop_60m,3149,5.81,0.2337,0.4699,-0.7284,-2293.618,-2297.871,dead
flat_vwap_slope_or30,or_boundary_touch,1.0xATR,vwap,2474,4.565,0.4794,0.4076,-0.3199,-791.351,-797.857,dead
flat_vwap_slope_or30,or_boundary_touch,1.0xATR,range_midpoint,2922,5.391,0.5082,0.4989,-0.3095,-904.406,-920.514,dead
flat_vwap_slope_or30,or_boundary_touch,1.0xATR,1R,3149,5.81,0.5475,0.5692,-0.2674,-842.117,-851.237,dead
flat_vwap_slope_or30,or_boundary_touch,1.0xATR,time_stop_60m,3149,5.81,0.3433,0.5739,-0.3544,-1115.897,-1123.308,dead
flat_vwap_slope_or30,failed_breakout_reclaim,beyond_range_extreme,vwap,728,1.343,0.2624,0.222,-1.0046,-731.385,-731.185,dead
flat_vwap_slope_or30,failed_breakout_reclaim,beyond_range_extreme,range_midpoint,850,1.568,0.3035,0.3494,-0.8683,-738.097,-738.596,dead
flat_vwap_slope_or30,failed_breakout_reclaim,beyond_range_extreme,1R,889,1.64,0.3093,0.1308,-0.9742,-866.093,-866.598,dead
flat_vwap_slope_or30,failed_breakout_reclaim,beyond_range_extreme,time_stop_60m,889,1.64,0.2058,0.5368,-0.6967,-619.375,-629.125,dead
flat_vwap_slope_or30,failed_breakout_reclaim,1.0xATR,vwap,728,1.343,0.4162,0.2846,-0.4736,-344.763,-345.657,dead
flat_vwap_slope_or30,failed_breakout_reclaim,1.0xATR,range_midpoint,850,1.568,0.44,0.3941,-0.4691,-398.709,-401.288,dead
flat_vwap_slope_or30,failed_breakout_reclaim,1.0xATR,1R,889,1.64,0.4769,0.4035,-0.4344,-386.222,-387.471,dead
flat_vwap_slope_or30,failed_breakout_reclaim,1.0xATR,time_stop_60m,889,1.64,0.3105,0.5257,-0.4482,-398.431,-401.886,dead
vwap_crosses_ge3_by_1100,or_boundary_touch,beyond_range_extreme,vwap,10091,18.618,0.3336,0.419,-0.6491,-6550.23,-6551.396,dead
vwap_crosses_ge3_by_1100,or_boundary_touch,beyond_range_extreme,range_midpoint,12507,23.076,0.3673,0.5333,-0.5226,-6535.836,-6542.284,dead
vwap_crosses_ge3_by_1100,or_boundary_touch,beyond_range_extreme,1R,13436,24.79,0.4356,0.2752,-0.6471,-8694.992,-8697.622,dead
vwap_crosses_ge3_by_1100,or_boundary_touch,beyond_range_extreme,time_stop_60m,13436,24.79,0.2501,0.6363,-0.4732,-6357.684,-6362.152,dead
vwap_crosses_ge3_by_1100,or_boundary_touch,1.0xATR,vwap,10092,18.62,0.4977,0.5552,-0.2285,-2306.392,-2341.442,dead
vwap_crosses_ge3_by_1100,or_boundary_touch,1.0xATR,range_midpoint,12508,23.077,0.5172,0.6567,-0.198,-2477.102,-2529.694,dead
vwap_crosses_ge3_by_1100,or_boundary_touch,1.0xATR,1R,13437,24.792,0.5607,0.6952,-0.1734,-2330.09,-2365.052,dead
vwap_crosses_ge3_by_1100,or_boundary_touch,1.0xATR,time_stop_60m,13437,24.792,0.3682,0.7423,-0.1946,-2614.508,-2649.172,dead
vwap_crosses_ge3_by_1100,failed_breakout_reclaim,beyond_range_extreme,vwap,3148,5.808,0.2684,0.3091,-0.9088,-2860.95,-2862.445,dead
vwap_crosses_ge3_by_1100,failed_breakout_reclaim,beyond_range_extreme,range_midpoint,3883,7.164,0.2871,0.4179,-0.7833,-3041.728,-3044.962,dead
vwap_crosses_ge3_by_1100,failed_breakout_reclaim,beyond_range_extreme,1R,4013,7.404,0.3454,0.1631,-0.9111,-3656.359,-3657.836,dead
vwap_crosses_ge3_by_1100,failed_breakout_reclaim,beyond_range_extreme,time_stop_60m,4013,7.404,0.1976,0.5455,-0.6718,-2695.916,-2706.289,dead
vwap_crosses_ge3_by_1100,failed_breakout_reclaim,1.0xATR,vwap,3148,5.808,0.4574,0.4722,-0.309,-972.801,-981.826,dead
vwap_crosses_ge3_by_1100,failed_breakout_reclaim,1.0xATR,range_midpoint,3883,7.164,0.4558,0.5593,-0.3054,-1185.703,-1195.128,dead
vwap_crosses_ge3_by_1100,failed_breakout_reclaim,1.0xATR,1R,4013,7.404,0.5001,0.5224,-0.3116,-1250.377,-1253.63,dead
vwap_crosses_ge3_by_1100,failed_breakout_reclaim,1.0xATR,time_stop_60m,4013,7.404,0.3337,0.6603,-0.2815,-1129.798,-1134.27,dead
inside_prior_day_range_at_1100,or_boundary_touch,beyond_range_extreme,vwap,4279,7.895,0.3162,0.3695,-0.7254,-3104.05,-3105.26,dead
inside_prior_day_range_at_1100,or_boundary_touch,beyond_range_extreme,range_midpoint,5384,9.934,0.3618,0.4655,-0.6151,-3311.509,-3319.514,dead
inside_prior_day_range_at_1100,or_boundary_touch,beyond_range_extreme,1R,5773,10.651,0.4209,0.254,-0.6888,-3976.325,-3978.355,dead
inside_prior_day_range_at_1100,or_boundary_touch,beyond_range_extreme,time_stop_60m,5773,10.651,0.251,0.6232,-0.4981,-2875.321,-2883.586,dead
inside_prior_day_range_at_1100,or_boundary_touch,1.0xATR,vwap,4279,7.895,0.4711,0.4922,-0.2775,-1187.587,-1213.084,dead
inside_prior_day_range_at_1100,or_boundary_touch,1.0xATR,range_midpoint,5384,9.934,0.4998,0.5619,-0.271,-1458.938,-1476.574,dead
inside_prior_day_range_at_1100,or_boundary_touch,1.0xATR,1R,5773,10.651,0.5328,0.6034,-0.2436,-1406.373,-1422.459,dead
inside_prior_day_range_at_1100,or_boundary_touch,1.0xATR,time_stop_60m,5773,10.651,0.3556,0.6826,-0.2517,-1453.139,-1464.936,dead
inside_prior_day_range_at_1100,failed_breakout_reclaim,beyond_range_extreme,vwap,1342,2.476,0.2593,0.2785,-0.9453,-1268.616,-1269.304,dead
inside_prior_day_range_at_1100,failed_breakout_reclaim,beyond_range_extreme,range_midpoint,1683,3.105,0.2864,0.389,-0.8216,-1382.689,-1385.171,dead
inside_prior_day_range_at_1100,failed_breakout_reclaim,beyond_range_extreme,1R,1749,3.227,0.335,0.1543,-0.9262,-1619.852,-1619.973,dead
inside_prior_day_range_at_1100,failed_breakout_reclaim,beyond_range_extreme,time_stop_60m,1749,3.227,0.1921,0.505,-0.7306,-1277.822,-1278.563,dead
inside_prior_day_range_at_1100,failed_breakout_reclaim,1.0xATR,vwap,1342,2.476,0.4173,0.403,-0.3761,-504.741,-510.631,dead
inside_prior_day_range_at_1100,failed_breakout_reclaim,1.0xATR,range_midpoint,1683,3.105,0.4272,0.4619,-0.4047,-681.164,-688.245,dead
inside_prior_day_range_at_1100,failed_breakout_reclaim,1.0xATR,1R,1749,3.227,0.4534,0.4204,-0.4225,-738.909,-745.209,dead
inside_prior_day_range_at_1100,failed_breakout_reclaim,1.0xATR,time_stop_60m,1749,3.227,0.3053,0.5537,-0.3982,-696.39,-697.214,dead
