cell,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_long,n_short,slip_0.015R_pf,slip_0.03R_pf,labels,per_year_pf,per_year_n,classifier,trigger,entry,stop,exit,kill_gate_verdict
C1_first30m_trend|T1_first_touch_1030|E1_next_open|ST1_swing|X1_R2,40,0.078,35.0,0.434,-0.5794,-23.176,22.999,17,23,0.425,0.416,-,"{2016: 0.927, 2017: 0.0, 2019: 0.392, 2020: 0.0, 2021: 0.592, 2022: 0.0, 2023: 0.0, 2024: 0.483, 2025: 0.315, 2026: 0.507}","{2016: 4, 2017: 1, 2019: 7, 2020: 2, 2021: 10, 2022: 1, 2023: 1, 2024: 4, 2025: 6, 2026: 4}",C1_first30m_trend,T1_first_touch_1030,E1_next_open,ST1_swing,X1_R2,DEAD
C1_first30m_trend|T1_first_touch_1030|E1_next_open|ST1_swing|X2_trail3.5,40,0.078,17.5,0.576,-0.6337,-25.348,32.523,17,23,0.569,0.563,-,"{2016: 2.049, 2017: 0.0, 2019: 0.344, 2020: 0.0, 2021: 0.245, 2022: 0.0, 2023: 0.0, 2024: 1.085, 2025: 0.599, 2026: 1.034}","{2016: 4, 2017: 1, 2019: 7, 2020: 2, 2021: 10, 2022: 1, 2023: 1, 2024: 4, 2025: 6, 2026: 4}",C1_first30m_trend,T1_first_touch_1030,E1_next_open,ST1_swing,X2_trail3.5,DEAD
C1_first30m_trend|T1_first_touch_1030|E1_next_open|ST1_swing|X3_new_extreme,40,0.078,25.0,0.434,-0.7948,-31.792,31.126,17,23,0.428,0.422,-,"{2016: 0.862, 2017: 0.0, 2019: 0.332, 2020: 0.413, 2021: 0.834, 2022: 0.0, 2023: 0.0, 2024: 0.435, 2025: 0.194, 2026: 0.26}","{2016: 4, 2017: 1, 2019: 7, 2020: 2, 2021: 10, 2022: 1, 2023: 1, 2024: 4, 2025: 6, 2026: 4}",C1_first30m_trend,T1_first_touch_1030,E1_next_open,ST1_swing,X3_new_extreme,DEAD
C1_first30m_trend|T1_first_touch_1030|E1_next_open|ST2_atr1.5|X1_R2,40,0.078,45.0,1.117,0.0718,2.873,6.657,17,23,1.091,1.066,WATCHLIST_ONE_REGIME,"{2016: 1.275, 2017: 0.0, 2019: 0.801, 2020: 0.0, 2021: 4.204, 2022: 0.0, 2023: 0.0, 2024: 0.581, 2025: 1.011, 2026: 1.821}","{2016: 4, 2017: 1, 2019: 7, 2020: 2, 2021: 10, 2022: 1, 2023: 1, 2024: 4, 2025: 6, 2026: 4}",C1_first30m_trend,T1_first_touch_1030,E1_next_open,ST2_atr1.5,X1_R2,DEAD
C1_first30m_trend|T1_first_touch_1030|E1_next_open|ST2_atr1.5|X2_trail3.5,40,0.078,32.5,1.02,0.0128,0.514,8.697,17,23,0.997,0.974,"REJECTED_FILL_MIRAGE,WATCHLIST_ONE_REGIME","{2016: 2.204, 2017: 0.0, 2019: 0.416, 2020: 0.0, 2021: 2.204, 2022: 0.0, 2023: 0.0, 2024: 0.8, 2025: 1.17, 2026: 1.478}","{2016: 4, 2017: 1, 2019: 7, 2020: 2, 2021: 10, 2022: 1, 2023: 1, 2024: 4, 2025: 6, 2026: 4}",C1_first30m_trend,T1_first_touch_1030,E1_next_open,ST2_atr1.5,X2_trail3.5,DEAD
C1_first30m_trend|T1_first_touch_1030|E1_next_open|ST2_atr1.5|X3_new_extreme,40,0.078,45.0,0.718,-0.1738,-6.95,8.122,17,23,0.697,0.677,-,"{2016: 0.761, 2017: 0.0, 2019: 0.299, 2020: 0.927, 2021: 3.07, 2022: 0.0, 2023: 0.0, 2024: 0.306, 2025: 0.66, 2026: 0.653}","{2016: 4, 2017: 1, 2019: 7, 2020: 2, 2021: 10, 2022: 1, 2023: 1, 2024: 4, 2025: 6, 2026: 4}",C1_first30m_trend,T1_first_touch_1030,E1_next_open,ST2_atr1.5,X3_new_extreme,DEAD
C1_first30m_trend|T1_first_touch_1030|E2_break_pullback|ST1_swing|X1_R2,21,0.042,57.1,2.093,0.5148,10.81,2.372,11,10,2.047,2.002,WATCHLIST_ONE_REGIME,"{2016: 2.333, 2019: 0.833, 2020: 0.0, 2021: 18.721, 2024: 1.662, 2025: 0.836, 2026: inf}","{2016: 3, 2019: 5, 2020: 1, 2021: 5, 2024: 2, 2025: 3, 2026: 2}",C1_first30m_trend,T1_first_touch_1030,E2_break_pullback,ST1_swing,X1_R2,"FREEZE+FLAG (PF>1.8, verify before trusting)"
C1_first30m_trend|T1_first_touch_1030|E2_break_pullback|ST1_swing|X2_trail3.5,21,0.042,33.3,1.471,0.3401,7.141,7.689,11,10,1.444,1.418,WATCHLIST_ONE_REGIME,"{2016: 2.963, 2019: 0.57, 2020: 0.0, 2021: 0.474, 2024: 2.82, 2025: 1.105, 2026: inf}","{2016: 3, 2019: 5, 2020: 1, 2021: 5, 2024: 2, 2025: 3, 2026: 2}",C1_first30m_trend,T1_first_touch_1030,E2_break_pullback,ST1_swing,X2_trail3.5,SURVIVOR
C1_first30m_trend|T1_first_touch_1030|E2_break_pullback|ST1_swing|X3_new_extreme,21,0.042,61.9,1.329,0.1503,3.156,3.729,11,10,1.293,1.257,WATCHLIST_ONE_REGIME,"{2016: 1.093, 2019: 0.548, 2020: inf, 2021: inf, 2024: 1.03, 2025: 0.208, 2026: inf}","{2016: 3, 2019: 5, 2020: 1, 2021: 5, 2024: 2, 2025: 3, 2026: 2}",C1_first30m_trend,T1_first_touch_1030,E2_break_pullback,ST1_swing,X3_new_extreme,SURVIVOR
C1_first30m_trend|T1_first_touch_1030|E2_break_pullback|ST2_atr1.5|X1_R2,21,0.042,47.6,1.305,0.1698,3.567,5.039,11,10,1.274,1.244,WATCHLIST_ONE_REGIME,"{2016: 0.558, 2019: 0.358, 2020: 0.0, 2021: 1.978, 2024: 1.7, 2025: inf, 2026: inf}","{2016: 3, 2019: 5, 2020: 1, 2021: 5, 2024: 2, 2025: 3, 2026: 2}",C1_first30m_trend,T1_first_touch_1030,E2_break_pullback,ST2_atr1.5,X1_R2,SURVIVOR
