cell,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_long,n_short,slip_0.015R_pf,slip_0.03R_pf,labels,per_year_pf,per_year_n,window,morning_state,entry,exit,kill_gate_verdict
WA_1200_1400|MS1_trend_2h|E1_break_morning_hl|ST_atr1.5|X1_R1.5,292,0.544,45.2,0.86,-0.0905,-26.418,35.529,148,144,0.839,0.818,-,"{2016: 0.764, 2017: 0.797, 2018: 0.736, 2019: 0.506, 2020: 1.034, 2021: 0.617, 2022: 1.56, 2023: 0.798, 2024: 1.14, 2025: 1.256, 2026: 0.536}","{2016: 25, 2017: 24, 2018: 33, 2019: 24, 2020: 20, 2021: 36, 2022: 30, 2023: 31, 2024: 27, 2025: 30, 2026: 12}",WA_1200_1400,MS1_trend_2h,E1_break_morning_hl,X1_R1.5,DEAD
WA_1200_1400|MS1_trend_2h|E1_break_morning_hl|ST_atr1.5|X2_R2,292,0.544,41.4,0.98,-0.0138,-4.026,32.15,148,144,0.959,0.938,-,"{2016: 1.11, 2017: 0.931, 2018: 0.801, 2019: 0.707, 2020: 1.33, 2021: 0.404, 2022: 1.923, 2023: 1.059, 2024: 0.983, 2025: 1.539, 2026: 0.716}","{2016: 25, 2017: 24, 2018: 33, 2019: 24, 2020: 20, 2021: 36, 2022: 30, 2023: 31, 2024: 27, 2025: 30, 2026: 12}",WA_1200_1400,MS1_trend_2h,E1_break_morning_hl,X2_R2,DEAD
WA_1200_1400|MS1_trend_2h|E1_break_morning_hl|ST_atr1.5|X3_flatten1545,292,0.544,34.2,1.033,0.0245,7.158,49.45,148,144,1.013,0.993,WATCHLIST_ONE_REGIME,"{2016: 1.648, 2017: 0.499, 2018: 0.746, 2019: 0.415, 2020: 1.353, 2021: 0.396, 2022: 2.023, 2023: 0.932, 2024: 1.529, 2025: 1.915, 2026: 0.568}","{2016: 25, 2017: 24, 2018: 33, 2019: 24, 2020: 20, 2021: 36, 2022: 30, 2023: 31, 2024: 27, 2025: 30, 2026: 12}",WA_1200_1400,MS1_trend_2h,E1_break_morning_hl,X3_flatten1545,DEAD
WA_1200_1400|MS1_trend_2h|E2_pullback_vwap|ST_atr1.5|X1_R1.5,219,0.408,39.7,0.711,-0.2065,-45.232,47.886,75,144,0.693,0.677,-,"{2016: 0.285, 2017: 0.337, 2018: 0.86, 2019: 1.55, 2020: 0.589, 2021: 0.612, 2022: 1.448, 2023: 0.682, 2024: 0.543, 2025: 1.09, 2026: 1.011}","{2016: 20, 2017: 23, 2018: 18, 2019: 20, 2020: 22, 2021: 26, 2022: 22, 2023: 17, 2024: 20, 2025: 22, 2026: 9}",WA_1200_1400,MS1_trend_2h,E2_pullback_vwap,X1_R1.5,DEAD
WA_1200_1400|MS1_trend_2h|E2_pullback_vwap|ST_atr1.5|X2_R2,219,0.408,33.8,0.757,-0.1894,-41.475,54.709,75,144,0.741,0.725,-,"{2016: 0.406, 2017: 0.234, 2018: 0.95, 2019: 0.645, 2020: 0.653, 2021: 0.84, 2022: 1.616, 2023: 0.91, 2024: 0.575, 2025: 1.463, 2026: 1.34}","{2016: 20, 2017: 23, 2018: 18, 2019: 20, 2020: 22, 2021: 26, 2022: 22, 2023: 17, 2024: 20, 2025: 22, 2026: 9}",WA_1200_1400,MS1_trend_2h,E2_pullback_vwap,X2_R2,DEAD
WA_1200_1400|MS1_trend_2h|E2_pullback_vwap|ST_atr1.5|X3_flatten1545,219,0.408,30.1,0.812,-0.1532,-33.558,65.302,75,144,0.796,0.781,-,"{2016: 0.341, 2017: 0.247, 2018: 0.789, 2019: 0.569, 2020: 0.446, 2021: 0.908, 2022: 2.117, 2023: 1.282, 2024: 0.461, 2025: 1.791, 2026: 1.854}","{2016: 20, 2017: 23, 2018: 18, 2019: 20, 2020: 22, 2021: 26, 2022: 22, 2023: 17, 2024: 20, 2025: 22, 2026: 9}",WA_1200_1400,MS1_trend_2h,E2_pullback_vwap,X3_flatten1545,DEAD
WA_1200_1400|MS2_price_vs_vwap_open|E1_break_morning_hl|ST_atr1.5|X1_R1.5,1554,2.87,42.4,0.742,-0.1813,-281.768,287.674,908,646,0.724,0.707,-,"{2016: 0.589, 2017: 0.443, 2018: 0.753, 2019: 0.499, 2020: 1.05, 2021: 0.795, 2022: 0.998, 2023: 0.897, 2024: 0.783, 2025: 0.87, 2026: 0.491}","{2016: 146, 2017: 129, 2018: 151, 2019: 133, 2020: 137, 2021: 152, 2022: 149, 2023: 168, 2024: 164, 2025: 158, 2026: 67}",WA_1200_1400,MS2_price_vs_vwap_open,E1_break_morning_hl,X1_R1.5,DEAD
WA_1200_1400|MS2_price_vs_vwap_open|E1_break_morning_hl|ST_atr1.5|X2_R2,1554,2.87,36.5,0.773,-0.175,-271.993,277.136,908,646,0.757,0.741,-,"{2016: 0.712, 2017: 0.432, 2018: 0.801, 2019: 0.576, 2020: 1.118, 2021: 0.806, 2022: 0.99, 2023: 0.832, 2024: 0.837, 2025: 0.884, 2026: 0.51}","{2016: 146, 2017: 129, 2018: 151, 2019: 133, 2020: 137, 2021: 152, 2022: 149, 2023: 168, 2024: 164, 2025: 158, 2026: 67}",WA_1200_1400,MS2_price_vs_vwap_open,E1_break_morning_hl,X2_R2,DEAD
WA_1200_1400|MS2_price_vs_vwap_open|E1_break_morning_hl|ST_atr1.5|X3_flatten1545,1554,2.87,30.9,0.827,-0.1413,-219.605,227.85,908,646,0.811,0.796,-,"{2016: 0.836, 2017: 0.66, 2018: 0.947, 2019: 0.385, 2020: 1.187, 2021: 0.69, 2022: 1.141, 2023: 0.882, 2024: 0.958, 2025: 0.786, 2026: 0.634}","{2016: 146, 2017: 129, 2018: 151, 2019: 133, 2020: 137, 2021: 152, 2022: 149, 2023: 168, 2024: 164, 2025: 158, 2026: 67}",WA_1200_1400,MS2_price_vs_vwap_open,E1_break_morning_hl,X3_flatten1545,DEAD
WA_1200_1400|MS2_price_vs_vwap_open|E2_pullback_vwap|ST_atr1.5|X1_R1.5,1552,2.866,39.9,0.639,-0.2715,-421.303,424.745,783,769,0.624,0.609,-,"{2016: 0.411, 2017: 0.324, 2018: 0.556, 2019: 0.609, 2020: 0.704, 2021: 0.729, 2022: 0.939, 2023: 0.741, 2024: 0.677, 2025: 0.873, 2026: 0.86}","{2016: 154, 2017: 144, 2018: 140, 2019: 155, 2020: 157, 2021: 142, 2022: 162, 2023: 146, 2024: 149, 2025: 146, 2026: 57}",WA_1200_1400,MS2_price_vs_vwap_open,E2_pullback_vwap,X1_R1.5,DEAD
