group,year,n,mean_rth_range_atr,median_rth_range_atr,mean_first30m_ret_atr_abs,pct_trend_days
NQ-active,2022,151,0.8908322353986515,0.8108524959771941,0.16442763747451547,1.3245033112582782
NQ-quiet,2022,107,0.9577707756376911,0.893957490291717,0.19326978405928993,1.8691588785046727
NQ-active,2023,159,0.8816957230174512,0.8307867747360279,0.15370582584633985,1.257861635220126
NQ-quiet,2023,97,0.935402248295605,0.8725939505041204,0.1589170899552035,1.0309278350515463
NQ-active,2024,152,0.8984036686062638,0.8453354352918636,0.15077427495174703,3.289473684210526
NQ-quiet,2024,107,0.9728841572379806,0.8588581089420647,0.14752306553333858,2.803738317757009
NQ-active,2025,161,0.9410079177058175,0.7716954700848583,0.16979623601616914,4.968944099378882
NQ-quiet,2025,96,0.8472138181930413,0.7365283357430212,0.1982433376628133,6.25
NQ-active,2026,62,0.8816037361805752,0.8477279643610915,0.2214483389370384,4.838709677419355
NQ-quiet,2026,39,0.9108736140931608,0.8501635029607217,0.19226225406235903,5.128205128205128
