scope,feature,stamp,label,bin,is_hit,is_n,oos_hit,oos_n,monotone
single,last_15m_ret_atr,1000,L1_next30m_dir,Q1,0.5069637883008357,359,0.5508982035928144,167,False
single,last_15m_ret_atr,1000,L1_next30m_dir,Q2,0.5502793296089385,358,0.4634146341463415,164,False
single,last_15m_ret_atr,1000,L1_next30m_dir,Q3,0.5195530726256983,358,0.544973544973545,189,False
single,last_15m_ret_atr,1000,L1_next30m_dir,Q4,0.5307262569832403,358,0.5222222222222223,180,False
single,last_15m_ret_atr,1000,L1_next30m_dir,Q5,0.5307262569832403,358,0.5953757225433526,173,False
single,last_15m_ret_atr,1000,L2_next60m_dir,Q1,0.5348189415041783,359,0.49700598802395207,167,False
single,last_15m_ret_atr,1000,L2_next60m_dir,Q2,0.5223463687150838,358,0.5060975609756098,164,False
single,last_15m_ret_atr,1000,L2_next60m_dir,Q3,0.5307262569832403,358,0.5714285714285714,189,False
single,last_15m_ret_atr,1000,L2_next60m_dir,Q4,0.5446927374301676,358,0.5166666666666667,180,False
single,last_15m_ret_atr,1000,L2_next60m_dir,Q5,0.553072625698324,358,0.5722543352601156,173,False
single,last_15m_ret_atr,1000,L3_race_1R,Q1,0.4823529411764706,255,0.5,116,False
single,last_15m_ret_atr,1000,L3_race_1R,Q2,0.45714285714285713,175,0.4117647058823529,102,False
single,last_15m_ret_atr,1000,L3_race_1R,Q3,0.4514285714285714,175,0.5268817204301075,93,False
single,last_15m_ret_atr,1000,L3_race_1R,Q4,0.5,172,0.5360824742268041,97,False
single,last_15m_ret_atr,1000,L3_race_1R,Q5,0.4885844748858447,219,0.5263157894736842,114,False
single,last_15m_ret_atr,1030,L1_next30m_dir,Q1,0.5041782729805014,359,0.4972067039106145,179,False
single,last_15m_ret_atr,1030,L1_next30m_dir,Q2,0.5698324022346368,358,0.4528301886792453,159,False
single,last_15m_ret_atr,1030,L1_next30m_dir,Q3,0.5558659217877095,358,0.5,172,False
single,last_15m_ret_atr,1030,L1_next30m_dir,Q4,0.5167597765363129,358,0.569060773480663,181,False
single,last_15m_ret_atr,1030,L1_next30m_dir,Q5,0.4748603351955307,358,0.5164835164835165,182,False
single,last_15m_ret_atr,1030,L2_next60m_dir,Q1,0.5251396648044693,358,0.5224719101123596,178,False
single,last_15m_ret_atr,1030,L2_next60m_dir,Q2,0.5893854748603352,358,0.46540880503144655,159,False
single,last_15m_ret_atr,1030,L2_next60m_dir,Q3,0.5378151260504201,357,0.5672514619883041,171,False
single,last_15m_ret_atr,1030,L2_next60m_dir,Q4,0.5605633802816902,355,0.5414364640883977,181,False
single,last_15m_ret_atr,1030,L2_next60m_dir,Q5,0.4972067039106145,358,0.5,182,False
single,last_15m_ret_atr,1030,L3_race_1R,Q1,0.4713656387665198,227,0.5083333333333333,120,False
single,last_15m_ret_atr,1030,L3_race_1R,Q2,0.5029940119760479,167,0.4235294117647059,85,False
single,last_15m_ret_atr,1030,L3_race_1R,Q3,0.4642857142857143,140,0.38571428571428573,70,False
single,last_15m_ret_atr,1030,L3_race_1R,Q4,0.4764705882352941,170,0.47058823529411764,85,False
single,last_15m_ret_atr,1030,L3_race_1R,Q5,0.42424242424242425,198,0.4948453608247423,97,False
single,last_15m_ret_atr,1100,L1_next30m_dir,Q1,0.4958217270194986,359,0.5510204081632653,196,False
single,last_15m_ret_atr,1100,L1_next30m_dir,Q2,0.5561797752808989,356,0.5316455696202531,158,False
single,last_15m_ret_atr,1100,L1_next30m_dir,Q3,0.5446927374301676,358,0.553763440860215,186,False
single,last_15m_ret_atr,1100,L1_next30m_dir,Q4,0.5826330532212886,357,0.4858757062146893,177,False
single,last_15m_ret_atr,1100,L1_next30m_dir,Q5,0.5617977528089888,356,0.5454545454545454,154,False
single,last_15m_ret_atr,1100,L2_next60m_dir,Q1,0.5515320334261838,359,0.4846938775510204,196,False
single,last_15m_ret_atr,1100,L2_next60m_dir,Q2,0.5365168539325843,356,0.5189873417721519,158,False
single,last_15m_ret_atr,1100,L2_next60m_dir,Q3,0.5502793296089385,358,0.5645161290322581,186,False
single,last_15m_ret_atr,1100,L2_next60m_dir,Q4,0.5449438202247191,356,0.5254237288135594,177,False
single,last_15m_ret_atr,1100,L2_next60m_dir,Q5,0.5674157303370787,356,0.5454545454545454,154,False
single,last_15m_ret_atr,1100,L3_race_1R,Q1,0.4577114427860697,201,0.4661016949152542,118,False
single,last_15m_ret_atr,1100,L3_race_1R,Q2,0.4503311258278146,151,0.5384615384615384,65,False
single,last_15m_ret_atr,1100,L3_race_1R,Q3,0.4132231404958678,121,0.5,78,False
single,last_15m_ret_atr,1100,L3_race_1R,Q4,0.45774647887323944,142,0.5571428571428572,70,False
single,last_15m_ret_atr,1100,L3_race_1R,Q5,0.5502645502645502,189,0.4146341463414634,82,False
single,last_15m_ret_atr,1300,L1_next30m_dir,Q1,0.5391304347826087,345,0.5124378109452736,201,False
single,last_15m_ret_atr,1300,L1_next30m_dir,Q2,0.4672364672364672,351,0.5714285714285714,133,False
single,last_15m_ret_atr,1300,L1_next30m_dir,Q3,0.5294117647058824,340,0.5362318840579711,138,False
single,last_15m_ret_atr,1300,L1_next30m_dir,Q4,0.49137931034482757,348,0.5524861878453039,181,False
single,last_15m_ret_atr,1300,L1_next30m_dir,Q5,0.4610951008645533,347,0.5508021390374331,187,False
single,last_15m_ret_atr,1300,L2_next60m_dir,Q1,0.5449275362318841,345,0.5174129353233831,201,False
single,last_15m_ret_atr,1300,L2_next60m_dir,Q2,0.49714285714285716,350,0.5789473684210527,133,False
single,last_15m_ret_atr,1300,L2_next60m_dir,Q3,0.5705882352941176,340,0.5072463768115942,138,False
single,last_15m_ret_atr,1300,L2_next60m_dir,Q4,0.5431034482758621,348,0.5966850828729282,181,False
single,last_15m_ret_atr,1300,L2_next60m_dir,Q5,0.5100864553314121,347,0.4919786096256685,187,False
single,last_15m_ret_atr,1300,L3_race_1R,Q1,0.4768211920529801,151,0.4155844155844156,77,False
single,last_15m_ret_atr,1300,L3_race_1R,Q2,0.3493975903614458,83,0.5454545454545454,44,False
single,last_15m_ret_atr,1300,L3_race_1R,Q3,0.5070422535211268,71,0.4117647058823529,34,False
single,last_15m_ret_atr,1300,L3_race_1R,Q4,0.48484848484848486,66,0.4888888888888889,45,False
single,last_15m_ret_atr,1300,L3_race_1R,Q5,0.42424242424242425,132,0.45901639344262296,61,False
single,last_30m_ret_atr,1030,L1_next30m_dir,Q1,0.467966573816156,359,0.42780748663101603,187,False
single,last_30m_ret_atr,1030,L1_next30m_dir,Q2,0.5279329608938548,358,0.47435897435897434,156,False
single,last_30m_ret_atr,1030,L1_next30m_dir,Q3,0.5670391061452514,358,0.5406976744186046,172,False
single,last_30m_ret_atr,1030,L1_next30m_dir,Q4,0.553072625698324,358,0.5652173913043478,161,False
single,last_30m_ret_atr,1030,L1_next30m_dir,Q5,0.505586592178771,358,0.5380710659898477,197,False
single,last_30m_ret_atr,1030,L2_next60m_dir,Q1,0.5139664804469274,358,0.45161290322580644,186,False
single,last_30m_ret_atr,1030,L2_next60m_dir,Q2,0.5714285714285714,357,0.4774193548387097,155,False
single,last_30m_ret_atr,1030,L2_next60m_dir,Q3,0.5686274509803921,357,0.5581395348837209,172,False
single,last_30m_ret_atr,1030,L2_next60m_dir,Q4,0.5393258426966292,356,0.6149068322981367,161,False
single,last_30m_ret_atr,1030,L2_next60m_dir,Q5,0.5167597765363129,358,0.5076142131979695,197,False
single,last_30m_ret_atr,1030,L3_race_1R,Q1,0.4641350210970464,237,0.44715447154471544,123,False
single,last_30m_ret_atr,1030,L3_race_1R,Q2,0.5029585798816568,169,0.4857142857142857,70,False
single,last_30m_ret_atr,1030,L3_race_1R,Q3,0.4097222222222222,144,0.5168539325842697,89,False
single,last_30m_ret_atr,1030,L3_race_1R,Q4,0.512987012987013,154,0.4027777777777778,72,False
single,last_30m_ret_atr,1030,L3_race_1R,Q5,0.4444444444444444,198,0.46601941747572817,103,False
single,last_30m_ret_atr,1100,L1_next30m_dir,Q1,0.532033426183844,359,0.5388888888888889,180,False
single,last_30m_ret_atr,1100,L1_next30m_dir,Q2,0.5533707865168539,356,0.5656565656565656,198,False
single,last_30m_ret_atr,1100,L1_next30m_dir,Q3,0.5798319327731093,357,0.49645390070921985,141,False
single,last_30m_ret_atr,1100,L1_next30m_dir,Q4,0.5195530726256983,358,0.5142857142857142,175,False
single,last_30m_ret_atr,1100,L1_next30m_dir,Q5,0.5561797752808989,356,0.5423728813559322,177,False
single,last_30m_ret_atr,1100,L2_next60m_dir,Q1,0.5431754874651811,359,0.4722222222222222,180,False
single,last_30m_ret_atr,1100,L2_next60m_dir,Q2,0.5252808988764045,356,0.5303030303030303,198,False
single,last_30m_ret_atr,1100,L2_next60m_dir,Q3,0.5798319327731093,357,0.5035460992907801,141,False
single,last_30m_ret_atr,1100,L2_next60m_dir,Q4,0.5322128851540616,357,0.5714285714285714,175,False
single,last_30m_ret_atr,1100,L2_next60m_dir,Q5,0.5702247191011236,356,0.5536723163841808,177,False
single,last_30m_ret_atr,1100,L3_race_1R,Q1,0.45662100456621,219,0.49107142857142855,112,False
single,last_30m_ret_atr,1100,L3_race_1R,Q2,0.37857142857142856,140,0.4827586206896552,87,False
single,last_30m_ret_atr,1100,L3_race_1R,Q3,0.48760330578512395,121,0.47058823529411764,51,False
single,last_30m_ret_atr,1100,L3_race_1R,Q4,0.5,138,0.5189873417721519,79,False
single,last_30m_ret_atr,1100,L3_race_1R,Q5,0.5268817204301075,186,0.47619047619047616,84,False
single,last_30m_ret_atr,1300,L1_next30m_dir,Q1,0.5300859598853869,349,0.5311004784688995,209,False
single,last_30m_ret_atr,1300,L1_next30m_dir,Q2,0.4780058651026393,341,0.4880952380952381,168,False
single,last_30m_ret_atr,1300,L1_next30m_dir,Q3,0.4766081871345029,342,0.5285714285714286,140,False
single,last_30m_ret_atr,1300,L1_next30m_dir,Q4,0.5258620689655172,348,0.5869565217391305,138,False
single,last_30m_ret_atr,1300,L1_next30m_dir,Q5,0.4757834757834758,351,0.5837837837837838,185,False
single,last_30m_ret_atr,1300,L2_next60m_dir,Q1,0.5558739255014327,349,0.5215311004784688,209,False
single,last_30m_ret_atr,1300,L2_next60m_dir,Q2,0.5395894428152492,341,0.5476190476190477,168,False
single,last_30m_ret_atr,1300,L2_next60m_dir,Q3,0.5175438596491229,342,0.5714285714285714,140,False
single,last_30m_ret_atr,1300,L2_next60m_dir,Q4,0.5287356321839081,348,0.572463768115942,138,False
single,last_30m_ret_atr,1300,L2_next60m_dir,Q5,0.5228571428571429,350,0.4918918918918919,185,False
single,last_30m_ret_atr,1300,L3_race_1R,Q1,0.4967741935483871,155,0.449438202247191,89,False
single,last_30m_ret_atr,1300,L3_race_1R,Q2,0.38461538461538464,78,0.37037037037037035,54,False
single,last_30m_ret_atr,1300,L3_race_1R,Q3,0.3188405797101449,69,0.4482758620689655,29,False
single,last_30m_ret_atr,1300,L3_race_1R,Q4,0.525,80,0.5833333333333334,36,False
