stage,or_def,breakout,entry,stop,exit,filt,n_events,n_retest_missed,n,tr_per_wk,wr,pf,exp_r,tot_r,maxdd_r,n_long,n_short
A-coarse,5m,close_outside,immediate,opposite_or_side,1.5R,none,2639,0,2625,4.847006067000791,0.4045714285714286,0.7662247759220102,-0.15710028993187908,-412.38826107118257,-414.7843492622735,1375,1250
A-coarse,5m,close_outside,immediate,inside_range_0.5atr,1.5R,none,2639,0,2625,4.847006067000791,0.456,0.9146288560293766,-0.03537124435117344,-92.84951642183029,-100.30016111885548,1375,1250
A-coarse,5m,close_outside,immediate,atr_1.5,1.5R,none,2639,0,2625,4.847006067000791,0.4838095238095238,0.9437793213845961,-0.008434546659778578,-22.140684981918767,-37.89479840878735,1375,1250
A-coarse,5m,close_outside,retest,opposite_or_side,1.5R,none,2639,501,2124,3.9219203376417835,0.3983050847457627,0.7054795541776182,-0.2121132903183374,-450.52862863614865,-450.43875707327294,1094,1030
A-coarse,5m,close_outside,retest,inside_range_0.5atr,1.5R,none,2639,501,2124,3.9219203376417835,0.4515065913370998,0.9016355568689152,-0.04044766035558379,-85.91083059525997,-88.91293615815206,1094,1030
A-coarse,5m,close_outside,retest,atr_1.5,1.5R,none,2639,501,2124,3.9219203376417835,0.4778719397363465,0.9591529250019336,-0.006003232722550719,-12.750866302697727,-24.4908043620302,1094,1030
A-coarse,5m,two_closes_outside,immediate,opposite_or_side,1.5R,none,2636,0,2622,4.841466631495647,0.41304347826086957,0.8106788877112265,-0.11928065803516401,-312.75388536820003,-316.6531817579601,1371,1251
A-coarse,5m,two_closes_outside,immediate,inside_range_0.5atr,1.5R,none,2636,0,2622,4.841466631495647,0.45308924485125857,0.9147273432590631,-0.034600505413400394,-90.72252519393584,-110.54532411885064,1371,1251
A-coarse,5m,two_closes_outside,immediate,atr_1.5,1.5R,none,2636,0,2622,4.841466631495647,0.4744469870327994,0.9290419582824438,-0.010553155995210393,-27.67037501944165,-36.8186129398972,1371,1251
A-coarse,5m,two_closes_outside,retest,opposite_or_side,1.5R,none,2636,815,1807,3.336586652598259,0.41228555617044826,0.7506978655337581,-0.17415806693483066,-314.703626951239,-322.09864848946216,904,903
A-coarse,5m,two_closes_outside,retest,inside_range_0.5atr,1.5R,none,2636,815,1807,3.336586652598259,0.4465965688987272,0.8924496717767967,-0.04282088437983208,-77.37733807435657,-85.75336910207277,904,903
A-coarse,5m,two_closes_outside,retest,atr_1.5,1.5R,none,2636,815,1807,3.336586652598259,0.4676258992805755,0.9397102621444668,-0.008500627864012514,-15.360634550270614,-25.61602550338837,904,903
A-coarse,5m,body_ratio,immediate,opposite_or_side,1.5R,none,2639,0,2625,4.847006067000791,0.42247619047619045,0.8273474821869626,-0.1087694015400466,-285.51967904262233,-291.4026607380115,1365,1260
A-coarse,5m,body_ratio,immediate,inside_range_0.5atr,1.5R,none,2639,0,2625,4.847006067000791,0.4632380952380952,0.9242173760595963,-0.030700904073861408,-80.58987319388619,-98.85738015185281,1365,1260
A-coarse,5m,body_ratio,immediate,atr_1.5,1.5R,none,2639,0,2625,4.847006067000791,0.48495238095238097,0.9351998449882218,-0.009600902074043115,-25.202367944363175,-50.849321413148765,1365,1260
A-coarse,5m,body_ratio,retest,opposite_or_side,1.5R,none,2639,770,1855,3.4252176206805593,0.4048517520215633,0.728178160388266,-0.1922597452729188,-356.6418274812644,-361.5516228319097,928,927
A-coarse,5m,body_ratio,retest,inside_range_0.5atr,1.5R,none,2639,770,1855,3.4252176206805593,0.4463611859838275,0.8649448272757891,-0.05467876362104611,-101.42910651704054,-115.87354366486508,928,927
A-coarse,5m,body_ratio,retest,atr_1.5,1.5R,none,2639,770,1855,3.4252176206805593,0.4668463611859838,0.9024276078877546,-0.014119252524260937,-26.19121343250404,-40.89491852273371,928,927
A-coarse,15m,close_outside,immediate,opposite_or_side,1.5R,none,2635,0,2621,4.839620152993933,0.43265929034719575,0.872290612808505,-0.07295681794624109,-191.2198198370979,-230.00745936018524,1372,1249
A-coarse,15m,close_outside,immediate,inside_range_0.5atr,1.5R,none,2635,0,2621,4.839620152993933,0.46661579549790155,0.9448868983218982,-0.021735268629309842,-56.9681390774211,-109.32545859236025,1372,1249
