level,side,event_type,entry_type,stop_type,exit_type,filter,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_no_retest_skip,flag
pdh,upper,break_and_retest,next_bar_open,beyond_extreme_2tk,vwap,none,348,0.642,0.2184,0.2795,-0.7848,-273.127,-286.41,0,dead
pdh,upper,break_and_retest,next_bar_open,beyond_extreme_2tk,vwap,ny_am_only,149,0.275,0.2013,0.117,-0.9191,-136.945,-136.638,0,sub_floor
pdh,upper,break_and_retest,next_bar_open,beyond_extreme_2tk,vwap,vwap_slope_agreement,61,0.113,0.1639,0.0781,-0.9616,-58.655,-58.228,0,sub_floor
pdh,upper,break_and_retest,next_bar_open,beyond_extreme_2tk,prior_day_mid,none,0,0.0,,,,0.0,0.0,0,insufficient_n
pdh,upper,break_and_retest,next_bar_open,beyond_extreme_2tk,prior_day_mid,ny_am_only,0,0.0,,,,0.0,0.0,0,insufficient_n
pdh,upper,break_and_retest,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,0,0.0,,,,0.0,0.0,0,insufficient_n
pdh,upper,break_and_retest,next_bar_open,beyond_extreme_2tk,1.5R,none,1362,2.513,0.3899,0.3646,-0.6193,-843.515,-846.179,0,dead
pdh,upper,break_and_retest,next_bar_open,beyond_extreme_2tk,1.5R,ny_am_only,554,1.022,0.3863,0.3916,-0.58,-321.307,-321.478,0,dead
pdh,upper,break_and_retest,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,874,1.613,0.3982,0.3761,-0.606,-529.633,-532.163,0,dead
pdh,upper,break_and_retest,next_bar_open,beyond_extreme_2tk,2R,none,1362,2.513,0.3524,0.4404,-0.5901,-803.766,-808.431,0,dead
pdh,upper,break_and_retest,next_bar_open,beyond_extreme_2tk,2R,ny_am_only,554,1.022,0.3448,0.47,-0.5458,-302.385,-303.556,0,dead
pdh,upper,break_and_retest,next_bar_open,beyond_extreme_2tk,2R,vwap_slope_agreement,874,1.613,0.3604,0.4566,-0.5695,-497.737,-502.267,0,dead
pdh,upper,break_and_retest,next_bar_open,1.0xATR,vwap,none,348,0.642,0.3075,0.3348,-0.4345,-151.211,-159.067,0,dead
pdh,upper,break_and_retest,next_bar_open,1.0xATR,vwap,ny_am_only,149,0.275,0.2819,0.1551,-0.488,-72.707,-72.782,0,sub_floor
pdh,upper,break_and_retest,next_bar_open,1.0xATR,vwap,vwap_slope_agreement,61,0.113,0.1967,0.0994,-0.5411,-33.005,-32.934,0,sub_floor
pdh,upper,break_and_retest,next_bar_open,1.0xATR,prior_day_mid,none,0,0.0,,,,0.0,0.0,0,insufficient_n
pdh,upper,break_and_retest,next_bar_open,1.0xATR,prior_day_mid,ny_am_only,0,0.0,,,,0.0,0.0,0,insufficient_n
pdh,upper,break_and_retest,next_bar_open,1.0xATR,prior_day_mid,vwap_slope_agreement,0,0.0,,,,0.0,0.0,0,insufficient_n
pdh,upper,break_and_retest,next_bar_open,1.0xATR,1.5R,none,1362,2.513,0.406,0.5407,-0.3763,-512.467,-520.362,0,dead
pdh,upper,break_and_retest,next_bar_open,1.0xATR,1.5R,ny_am_only,554,1.022,0.3845,0.5555,-0.3569,-197.749,-202.081,0,dead
pdh,upper,break_and_retest,next_bar_open,1.0xATR,1.5R,vwap_slope_agreement,874,1.613,0.4222,0.5663,-0.3469,-303.227,-310.416,0,dead
pdh,upper,break_and_retest,next_bar_open,1.0xATR,2R,none,1362,2.513,0.3532,0.61,-0.3476,-473.49,-484.478,0,dead
pdh,upper,break_and_retest,next_bar_open,1.0xATR,2R,ny_am_only,554,1.022,0.3213,0.598,-0.3568,-197.648,-203.575,0,dead
pdh,upper,break_and_retest,next_bar_open,1.0xATR,2R,vwap_slope_agreement,874,1.613,0.3719,0.6449,-0.3093,-270.348,-278.58,0,dead
pdh,upper,break_and_retest,retest_limit,beyond_extreme_2tk,vwap,none,391,0.721,0.2276,0.3382,-0.7706,-301.321,-325.471,221,dead
pdh,upper,break_and_retest,retest_limit,beyond_extreme_2tk,vwap,ny_am_only,177,0.327,0.2655,0.213,-0.8312,-147.118,-146.429,84,dead
pdh,upper,break_and_retest,retest_limit,beyond_extreme_2tk,vwap,vwap_slope_agreement,80,0.148,0.25,0.113,-0.8242,-65.935,-65.003,154,sub_floor
pdh,upper,break_and_retest,retest_limit,beyond_extreme_2tk,prior_day_mid,none,0,0.0,,,,0.0,0.0,221,insufficient_n
pdh,upper,break_and_retest,retest_limit,beyond_extreme_2tk,prior_day_mid,ny_am_only,0,0.0,,,,0.0,0.0,84,insufficient_n
pdh,upper,break_and_retest,retest_limit,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,0,0.0,,,,0.0,0.0,154,insufficient_n
pdh,upper,break_and_retest,retest_limit,beyond_extreme_2tk,1.5R,none,1166,2.151,0.44,0.3303,-0.5866,-683.937,-687.644,221,dead
pdh,upper,break_and_retest,retest_limit,beyond_extreme_2tk,1.5R,ny_am_only,470,0.867,0.4681,0.3866,-0.506,-237.843,-238.402,84,dead
pdh,upper,break_and_retest,retest_limit,beyond_extreme_2tk,1.5R,vwap_slope_agreement,736,1.358,0.4293,0.3338,-0.5708,-420.131,-424.531,154,dead
pdh,upper,break_and_retest,retest_limit,beyond_extreme_2tk,2R,none,1166,2.151,0.4545,0.4173,-0.6012,-701.05,-704.993,221,dead
pdh,upper,break_and_retest,retest_limit,beyond_extreme_2tk,2R,ny_am_only,470,0.867,0.4617,0.4582,-0.538,-252.843,-255.402,84,dead
