level,side,event_type,window,entry_type,stop_type,exit_type,filter,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_no_retest_skip,flag
on_hi,upper,break_and_retest,0930_1030,next_bar_open,beyond_extreme_2tk,vwap,none,77,0.142,0.2338,0.1149,-0.7087,-54.567,-54.226,0,sub_floor
on_hi,upper,break_and_retest,0930_1030,next_bar_open,beyond_extreme_2tk,vwap,vwap_slope_agreement,23,0.042,0.1304,0.0798,-0.7914,-18.201,-16.262,0,sub_floor
on_hi,upper,break_and_retest,0930_1030,next_bar_open,beyond_extreme_2tk,prior_day_mid,none,66,0.122,0.2273,0.5746,-0.4598,-30.349,-41.039,0,sub_floor
on_hi,upper,break_and_retest,0930_1030,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,30,0.055,0.3,1.0755,0.0716,2.148,-8.16,0,sub_floor
on_hi,upper,break_and_retest,0930_1030,next_bar_open,beyond_extreme_2tk,1.5R,none,366,0.675,0.3962,0.447,-0.5114,-187.176,-186.745,0,dead
on_hi,upper,break_and_retest,0930_1030,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,142,0.262,0.3662,0.3654,-0.6485,-92.09,-93.049,0,sub_floor
on_hi,upper,break_and_retest,0930_1030,next_bar_open,beyond_extreme_2tk,2R,none,366,0.675,0.3361,0.4926,-0.5168,-189.131,-189.199,0,dead
on_hi,upper,break_and_retest,0930_1030,next_bar_open,beyond_extreme_2tk,2R,vwap_slope_agreement,142,0.262,0.3099,0.4181,-0.6391,-90.754,-92.213,0,sub_floor
on_hi,upper,break_and_retest,0930_1030,next_bar_open,1.0xATR,vwap,none,77,0.142,0.2987,0.137,-0.3934,-30.293,-30.05,0,sub_floor
on_hi,upper,break_and_retest,0930_1030,next_bar_open,1.0xATR,vwap,vwap_slope_agreement,23,0.042,0.2174,0.1165,-0.4179,-9.612,-8.727,0,sub_floor
on_hi,upper,break_and_retest,0930_1030,next_bar_open,1.0xATR,prior_day_mid,none,66,0.122,0.3182,0.6179,-0.2871,-18.95,-26.126,0,sub_floor
on_hi,upper,break_and_retest,0930_1030,next_bar_open,1.0xATR,prior_day_mid,vwap_slope_agreement,30,0.055,0.4333,1.0604,0.0381,1.144,-8.634,0,sub_floor
on_hi,upper,break_and_retest,0930_1030,next_bar_open,1.0xATR,1.5R,none,366,0.675,0.3907,0.6164,-0.2987,-109.312,-109.335,0,dead
on_hi,upper,break_and_retest,0930_1030,next_bar_open,1.0xATR,1.5R,vwap_slope_agreement,142,0.262,0.3944,0.617,-0.3003,-42.639,-44.424,0,sub_floor
on_hi,upper,break_and_retest,0930_1030,next_bar_open,1.0xATR,2R,none,366,0.675,0.3306,0.6676,-0.2842,-104.032,-105.341,0,dead
on_hi,upper,break_and_retest,0930_1030,next_bar_open,1.0xATR,2R,vwap_slope_agreement,142,0.262,0.3239,0.6394,-0.3144,-44.639,-47.014,0,sub_floor
on_hi,upper,break_and_retest,0930_1030,retest_limit,beyond_extreme_2tk,vwap,none,104,0.192,0.3462,0.6082,-0.2838,-29.518,-34.327,53,sub_floor
on_hi,upper,break_and_retest,0930_1030,retest_limit,beyond_extreme_2tk,vwap,vwap_slope_agreement,35,0.065,0.3429,0.3388,-0.475,-16.623,-14.592,19,sub_floor
on_hi,upper,break_and_retest,0930_1030,retest_limit,beyond_extreme_2tk,prior_day_mid,none,69,0.127,0.1594,0.465,-0.7487,-51.663,-67.974,53,sub_floor
on_hi,upper,break_and_retest,0930_1030,retest_limit,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,29,0.054,0.1034,0.5707,-0.6683,-19.381,-33.911,19,sub_floor
on_hi,upper,break_and_retest,0930_1030,retest_limit,beyond_extreme_2tk,1.5R,none,313,0.577,0.5208,0.4632,-0.4252,-133.082,-133.476,53,dead
on_hi,upper,break_and_retest,0930_1030,retest_limit,beyond_extreme_2tk,1.5R,vwap_slope_agreement,123,0.227,0.5366,0.441,-0.4563,-56.12,-58.704,19,sub_floor
on_hi,upper,break_and_retest,0930_1030,retest_limit,beyond_extreme_2tk,2R,none,313,0.577,0.4569,0.5099,-0.4987,-156.082,-161.535,53,dead
on_hi,upper,break_and_retest,0930_1030,retest_limit,beyond_extreme_2tk,2R,vwap_slope_agreement,123,0.227,0.4146,0.4289,-0.6514,-80.12,-84.704,19,sub_floor
on_hi,upper,break_and_retest,0930_1030,retest_limit,1.0xATR,vwap,none,104,0.192,0.4231,0.384,-0.1899,-19.752,-20.74,53,sub_floor
on_hi,upper,break_and_retest,0930_1030,retest_limit,1.0xATR,vwap,vwap_slope_agreement,35,0.065,0.4,0.309,-0.2343,-8.2,-7.553,19,sub_floor
on_hi,upper,break_and_retest,0930_1030,retest_limit,1.0xATR,prior_day_mid,none,69,0.127,0.3333,0.6983,-0.206,-14.213,-18.989,53,sub_floor
on_hi,upper,break_and_retest,0930_1030,retest_limit,1.0xATR,prior_day_mid,vwap_slope_agreement,29,0.054,0.3793,1.0038,0.0025,0.073,-7.422,19,sub_floor
on_hi,upper,break_and_retest,0930_1030,retest_limit,1.0xATR,1.5R,none,313,0.577,0.4153,0.6707,-0.245,-76.688,-75.41,53,dead
on_hi,upper,break_and_retest,0930_1030,retest_limit,1.0xATR,1.5R,vwap_slope_agreement,123,0.227,0.4553,0.7672,-0.1613,-19.842,-18.642,19,sub_floor
on_hi,upper,break_and_retest,0930_1030,retest_limit,1.0xATR,2R,none,313,0.577,0.3227,0.6376,-0.3121,-97.685,-96.407,53,dead
on_hi,upper,break_and_retest,0930_1030,retest_limit,1.0xATR,2R,vwap_slope_agreement,123,0.227,0.3252,0.6267,-0.3239,-39.842,-39.217,19,sub_floor
on_hi,upper,break_and_retest,1000_1130,next_bar_open,beyond_extreme_2tk,vwap,none,140,0.258,0.2929,0.3068,-0.604,-84.566,-88.415,0,sub_floor
on_hi,upper,break_and_retest,1000_1130,next_bar_open,beyond_extreme_2tk,vwap,vwap_slope_agreement,49,0.09,0.2245,0.1223,-0.7707,-37.765,-36.828,0,sub_floor
on_hi,upper,break_and_retest,1000_1130,next_bar_open,beyond_extreme_2tk,prior_day_mid,none,121,0.223,0.2727,0.5892,-0.4517,-54.655,-69.452,0,sub_floor
on_hi,upper,break_and_retest,1000_1130,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,92,0.17,0.2717,0.5969,-0.433,-39.832,-49.536,0,sub_floor
on_hi,upper,break_and_retest,1000_1130,next_bar_open,beyond_extreme_2tk,1.5R,none,598,1.103,0.3696,0.3562,-0.658,-393.471,-396.356,0,dead
on_hi,upper,break_and_retest,1000_1130,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,436,0.804,0.3624,0.3384,-0.6829,-297.739,-299.559,0,dead
on_hi,upper,break_and_retest,1000_1130,next_bar_open,beyond_extreme_2tk,2R,none,598,1.103,0.3328,0.4316,-0.6174,-369.21,-372.595,0,dead
on_hi,upper,break_and_retest,1000_1130,next_bar_open,beyond_extreme_2tk,2R,vwap_slope_agreement,436,0.804,0.3349,0.4338,-0.6117,-266.689,-271.508,0,dead
on_hi,upper,break_and_retest,1000_1130,next_bar_open,1.0xATR,vwap,none,140,0.258,0.4,0.3475,-0.3073,-43.016,-45.72,0,sub_floor
on_hi,upper,break_and_retest,1000_1130,next_bar_open,1.0xATR,vwap,vwap_slope_agreement,49,0.09,0.3061,0.1352,-0.4047,-19.829,-19.742,0,sub_floor
on_hi,upper,break_and_retest,1000_1130,next_bar_open,1.0xATR,prior_day_mid,none,121,0.223,0.4132,0.7926,-0.14,-16.945,-28.863,0,sub_floor
on_hi,upper,break_and_retest,1000_1130,next_bar_open,1.0xATR,prior_day_mid,vwap_slope_agreement,92,0.17,0.4348,0.8406,-0.1037,-9.544,-18.101,0,sub_floor
on_hi,upper,break_and_retest,1000_1130,next_bar_open,1.0xATR,1.5R,none,598,1.103,0.4331,0.6696,-0.2493,-149.098,-166.234,0,dead
on_hi,upper,break_and_retest,1000_1130,next_bar_open,1.0xATR,1.5R,vwap_slope_agreement,436,0.804,0.4472,0.6986,-0.2242,-97.767,-123.831,0,dead
on_hi,upper,break_and_retest,1000_1130,next_bar_open,1.0xATR,2R,none,598,1.103,0.3696,0.7268,-0.2289,-136.879,-162.014,0,dead
on_hi,upper,break_and_retest,1000_1130,next_bar_open,1.0xATR,2R,vwap_slope_agreement,436,0.804,0.3807,0.7529,-0.2056,-89.621,-113.62,0,dead
on_hi,upper,break_and_retest,1000_1130,retest_limit,beyond_extreme_2tk,vwap,none,170,0.314,0.3647,0.7097,-0.2431,-41.322,-60.087,73,dead
on_hi,upper,break_and_retest,1000_1130,retest_limit,beyond_extreme_2tk,vwap,vwap_slope_agreement,64,0.118,0.3125,0.2894,-0.6007,-38.442,-39.565,57,sub_floor
on_hi,upper,break_and_retest,1000_1130,retest_limit,beyond_extreme_2tk,prior_day_mid,none,124,0.229,0.2339,0.602,-0.5471,-67.839,-99.139,73,sub_floor
