bucket,tod,outcome,n,share,n_years_match,n_years_total,consistent
1.0-1.5,mid_1100_1330,revert,11365,0.3423,11,11,True
1.0-1.5,mid_1100_1330,extend,11365,0.5739,11,11,True
1.0-1.5,mid_1100_1330,neither,11365,0.0788,11,11,True
1.0-1.5,mid_1100_1330,tie,11365,0.0051,11,11,True
1.0-1.5,post_1330,revert,8240,0.3107,11,11,True
1.0-1.5,post_1330,extend,8240,0.5642,11,11,True
1.0-1.5,post_1330,neither,8240,0.1163,11,11,True
1.0-1.5,post_1330,tie,8240,0.0089,11,11,True
1.0-1.5,pre_1100,revert,7376,0.4012,11,11,True
1.0-1.5,pre_1100,extend,7376,0.487,11,11,True
1.0-1.5,pre_1100,neither,7376,0.1093,11,11,True
1.0-1.5,pre_1100,tie,7376,0.0026,11,11,True
1.5-2.0,mid_1100_1330,revert,9692,0.2438,8,11,True
1.5-2.0,mid_1100_1330,extend,9692,0.5938,11,11,True
1.5-2.0,mid_1100_1330,neither,9692,0.1601,11,11,True
1.5-2.0,mid_1100_1330,tie,9692,0.0023,11,11,True
1.5-2.0,post_1330,revert,7745,0.2338,8,11,True
1.5-2.0,post_1330,extend,7745,0.5872,11,11,True
1.5-2.0,post_1330,neither,7745,0.1751,11,11,True
1.5-2.0,post_1330,tie,7745,0.0039,11,11,True
1.5-2.0,pre_1100,revert,4196,0.3051,11,11,True
1.5-2.0,pre_1100,extend,4196,0.4643,11,11,True
1.5-2.0,pre_1100,neither,4196,0.2293,6,11,False
1.5-2.0,pre_1100,tie,4196,0.0014,11,11,True
2.0-2.5,mid_1100_1330,revert,8116,0.1707,11,11,True
2.0-2.5,mid_1100_1330,extend,8116,0.6012,11,11,True
2.0-2.5,mid_1100_1330,neither,8116,0.2266,8,11,True
2.0-2.5,mid_1100_1330,tie,8116,0.0016,11,11,True
2.0-2.5,post_1330,revert,7056,0.181,11,11,True
2.0-2.5,post_1330,extend,7056,0.5999,11,11,True
2.0-2.5,post_1330,neither,7056,0.2177,9,11,True
2.0-2.5,post_1330,tie,7056,0.0014,11,11,True
2.0-2.5,pre_1100,revert,2091,0.2181,7,11,False
2.0-2.5,pre_1100,extend,2091,0.4232,11,11,True
2.0-2.5,pre_1100,neither,2091,0.3587,9,11,True
2.0-2.5,pre_1100,tie,2091,0.0,11,11,True
>2.5,mid_1100_1330,revert,24493,0.0717,11,11,True
>2.5,mid_1100_1330,extend,24493,0.5851,11,11,True
>2.5,mid_1100_1330,neither,24493,0.3421,11,11,True
>2.5,mid_1100_1330,tie,24493,0.0011,11,11,True
>2.5,post_1330,revert,36513,0.0635,11,11,True
>2.5,post_1330,extend,36513,0.5941,11,11,True
>2.5,post_1330,neither,36513,0.3417,11,11,True
>2.5,post_1330,tie,36513,0.0007,11,11,True
>2.5,pre_1100,revert,1510,0.1205,11,11,True
>2.5,pre_1100,extend,1510,0.4318,11,11,True
>2.5,pre_1100,neither,1510,0.4477,11,11,True
>2.5,pre_1100,tie,1510,0.0,11,11,True
