bucket,tod,year,n,revert_share,extend_share
1.0-1.5,mid_1100_1330,2016,1094,0.3693,0.543
1.0-1.5,mid_1100_1330,2017,1169,0.3362,0.5466
1.0-1.5,mid_1100_1330,2018,1083,0.3675,0.5568
1.0-1.5,mid_1100_1330,2019,1059,0.3494,0.5477
1.0-1.5,mid_1100_1330,2020,1132,0.3286,0.5998
1.0-1.5,mid_1100_1330,2021,1028,0.3463,0.5778
1.0-1.5,mid_1100_1330,2022,1060,0.3632,0.5708
1.0-1.5,mid_1100_1330,2023,1163,0.3259,0.6002
1.0-1.5,mid_1100_1330,2024,1093,0.3102,0.5974
1.0-1.5,mid_1100_1330,2025,1099,0.3285,0.6033
1.0-1.5,mid_1100_1330,2026,385,0.3455,0.5558
1.0-1.5,post_1330,2016,883,0.2537,0.5991
1.0-1.5,post_1330,2017,859,0.3143,0.5576
1.0-1.5,post_1330,2018,733,0.3329,0.5321
1.0-1.5,post_1330,2019,826,0.345,0.54
1.0-1.5,post_1330,2020,847,0.3259,0.5939
1.0-1.5,post_1330,2021,762,0.3176,0.6024
1.0-1.5,post_1330,2022,779,0.3107,0.5764
1.0-1.5,post_1330,2023,730,0.2877,0.5479
1.0-1.5,post_1330,2024,838,0.2852,0.5823
1.0-1.5,post_1330,2025,666,0.3228,0.527
1.0-1.5,post_1330,2026,317,0.3565,0.489
1.0-1.5,pre_1100,2016,655,0.4183,0.4763
1.0-1.5,pre_1100,2017,662,0.4199,0.4517
1.0-1.5,pre_1100,2018,708,0.4393,0.5
1.0-1.5,pre_1100,2019,683,0.3953,0.47
1.0-1.5,pre_1100,2020,691,0.3878,0.5022
1.0-1.5,pre_1100,2021,741,0.4197,0.4737
1.0-1.5,pre_1100,2022,765,0.417,0.4562
1.0-1.5,pre_1100,2023,735,0.4041,0.4993
1.0-1.5,pre_1100,2024,718,0.344,0.5585
1.0-1.5,pre_1100,2025,719,0.3936,0.484
1.0-1.5,pre_1100,2026,299,0.3378,0.4783
1.5-2.0,mid_1100_1330,2016,1025,0.2761,0.5551
1.5-2.0,mid_1100_1330,2017,920,0.2315,0.5652
1.5-2.0,mid_1100_1330,2018,935,0.2417,0.6257
1.5-2.0,mid_1100_1330,2019,859,0.2771,0.5623
1.5-2.0,mid_1100_1330,2020,949,0.2529,0.588
1.5-2.0,mid_1100_1330,2021,795,0.2314,0.6164
1.5-2.0,mid_1100_1330,2022,1005,0.2428,0.6159
1.5-2.0,mid_1100_1330,2023,965,0.1969,0.6073
1.5-2.0,mid_1100_1330,2024,955,0.245,0.5853
1.5-2.0,mid_1100_1330,2025,928,0.2414,0.6185
1.5-2.0,mid_1100_1330,2026,356,0.2444,0.5955
1.5-2.0,post_1330,2016,862,0.1972,0.5893
1.5-2.0,post_1330,2017,784,0.2679,0.5663
1.5-2.0,post_1330,2018,714,0.2507,0.5574
1.5-2.0,post_1330,2019,765,0.2353,0.6183
1.5-2.0,post_1330,2020,760,0.2342,0.6105
1.5-2.0,post_1330,2021,737,0.2185,0.6404
1.5-2.0,post_1330,2022,741,0.251,0.5587
1.5-2.0,post_1330,2023,728,0.2376,0.5742
1.5-2.0,post_1330,2024,752,0.2101,0.5798
1.5-2.0,post_1330,2025,636,0.2453,0.5881
1.5-2.0,post_1330,2026,266,0.2256,0.5526
1.5-2.0,pre_1100,2016,338,0.2899,0.429
1.5-2.0,pre_1100,2017,366,0.3743,0.4426
1.5-2.0,pre_1100,2018,418,0.3947,0.4809
1.5-2.0,pre_1100,2019,407,0.3022,0.4865
1.5-2.0,pre_1100,2020,415,0.2747,0.4699
1.5-2.0,pre_1100,2021,403,0.2605,0.4367
1.5-2.0,pre_1100,2022,444,0.3266,0.4054
1.5-2.0,pre_1100,2023,389,0.2956,0.5039
1.5-2.0,pre_1100,2024,422,0.2796,0.5071
1.5-2.0,pre_1100,2025,421,0.2637,0.4941
1.5-2.0,pre_1100,2026,173,0.2832,0.422
2.0-2.5,mid_1100_1330,2016,793,0.1488,0.5876
2.0-2.5,mid_1100_1330,2017,767,0.1578,0.5802
2.0-2.5,mid_1100_1330,2018,758,0.1715,0.6148
2.0-2.5,mid_1100_1330,2019,717,0.1841,0.5941
2.0-2.5,mid_1100_1330,2020,784,0.1735,0.6008
2.0-2.5,mid_1100_1330,2021,716,0.1816,0.5866
2.0-2.5,mid_1100_1330,2022,801,0.1561,0.6117
2.0-2.5,mid_1100_1330,2023,812,0.1675,0.601
2.0-2.5,mid_1100_1330,2024,792,0.2197,0.572
2.0-2.5,mid_1100_1330,2025,833,0.1765,0.6411
2.0-2.5,mid_1100_1330,2026,343,0.105,0.6414
2.0-2.5,post_1330,2016,696,0.1451,0.5718
2.0-2.5,post_1330,2017,722,0.1801,0.6122
2.0-2.5,post_1330,2018,690,0.1768,0.5986
2.0-2.5,post_1330,2019,699,0.2074,0.5966
2.0-2.5,post_1330,2020,696,0.2055,0.6164
2.0-2.5,post_1330,2021,682,0.2067,0.6114
2.0-2.5,post_1330,2022,591,0.1574,0.6481
2.0-2.5,post_1330,2023,661,0.18,0.5976
2.0-2.5,post_1330,2024,751,0.1771,0.5885
2.0-2.5,post_1330,2025,641,0.1794,0.5772
2.0-2.5,post_1330,2026,227,0.1542,0.5595
2.0-2.5,pre_1100,2016,158,0.2595,0.3608
2.0-2.5,pre_1100,2017,196,0.2092,0.449
2.0-2.5,pre_1100,2018,186,0.3495,0.4409
2.0-2.5,pre_1100,2019,190,0.1895,0.5842
2.0-2.5,pre_1100,2020,201,0.2736,0.4428
2.0-2.5,pre_1100,2021,222,0.1667,0.4234
2.0-2.5,pre_1100,2022,206,0.1796,0.3204
2.0-2.5,pre_1100,2023,203,0.2365,0.335
2.0-2.5,pre_1100,2024,214,0.1776,0.4673
2.0-2.5,pre_1100,2025,246,0.1626,0.4268
2.0-2.5,pre_1100,2026,69,0.2609,0.3623
>2.5,mid_1100_1330,2016,2134,0.0562,0.5515
>2.5,mid_1100_1330,2017,2062,0.0718,0.6067
>2.5,mid_1100_1330,2018,2454,0.0652,0.6043
>2.5,mid_1100_1330,2019,2407,0.0594,0.565
>2.5,mid_1100_1330,2020,2206,0.0807,0.6038
>2.5,mid_1100_1330,2021,2646,0.068,0.5975
>2.5,mid_1100_1330,2022,2328,0.0863,0.5696
>2.5,mid_1100_1330,2023,2401,0.0604,0.5868
>2.5,mid_1100_1330,2024,2355,0.0807,0.6072
>2.5,mid_1100_1330,2025,2467,0.0827,0.5703
>2.5,mid_1100_1330,2026,1033,0.0833,0.5557
>2.5,post_1330,2016,3087,0.0651,0.5675
>2.5,post_1330,2017,3064,0.0796,0.579
>2.5,post_1330,2018,3556,0.0621,0.6288
>2.5,post_1330,2019,3443,0.0712,0.5983
>2.5,post_1330,2020,3407,0.0678,0.6334
>2.5,post_1330,2021,3662,0.0639,0.5969
>2.5,post_1330,2022,3854,0.0555,0.6484
>2.5,post_1330,2023,3703,0.0648,0.5903
>2.5,post_1330,2024,3339,0.0566,0.5606
>2.5,post_1330,2025,3975,0.0521,0.5449
