model,confirm,entry,filter,bucket,stop,exit,n,tr_wk,wr,pf,expR,totR,maxDD_R,flag,mirage
fill,conf5,next_open,none,0.25-0.75,open_buffer,prior_close,581,1.072,0.4596,0.8543,-0.0863,-50.149,-71.403,dead,False
fill,conf5,next_open,none,0.25-0.75,open_buffer,half_gap,581,1.072,0.5181,0.6496,-0.143,-83.084,-87.139,dead,True
fill,conf5,next_open,none,0.25-0.75,open_buffer,1.5R,581,1.072,0.4269,0.8702,-0.0814,-47.319,-61.03,dead,False
fill,conf5,next_open,none,0.25-0.75,open_buffer,2R,581,1.072,0.3787,0.9202,-0.0541,-31.458,-59.317,dead,False
fill,conf5,next_open,none,0.25-0.75,atr1.0,prior_close,581,1.072,0.6007,0.7878,-0.0416,-24.157,-30.99,dead,True
fill,conf5,next_open,none,0.25-0.75,atr1.0,half_gap,581,1.072,0.6575,0.6431,-0.0413,-24.02,-27.582,dead,True
fill,conf5,next_open,none,0.25-0.75,atr1.0,1.5R,581,1.072,0.4785,0.9853,-0.0035,-2.055,-14.047,dead,False
fill,conf5,next_open,none,0.25-0.75,atr1.0,2R,581,1.072,0.4768,0.9675,-0.0078,-4.55,-14.504,dead,False
fill,conf5,next_open,none,0.25-0.75,atr1.5,prior_close,581,1.072,0.6007,0.7794,-0.0291,-16.925,-21.797,dead,False
fill,conf5,next_open,none,0.25-0.75,atr1.5,half_gap,581,1.072,0.6575,0.6255,-0.0297,-17.275,-19.792,dead,False
fill,conf5,next_open,none,0.25-0.75,atr1.5,1.5R,581,1.072,0.4768,0.9564,-0.0071,-4.131,-11.538,dead,False
fill,conf5,next_open,none,0.25-0.75,atr1.5,2R,581,1.072,0.4768,0.9484,-0.0084,-4.891,-11.917,dead,False
fill,conf5,next_open,none,0.75-1.25,open_buffer,prior_close,110,0.203,0.3545,1.046,0.0328,3.61,-20.541,sub_floor,False
fill,conf5,next_open,none,0.75-1.25,open_buffer,half_gap,110,0.203,0.4636,0.9185,-0.0479,-5.265,-17.355,sub_floor,False
