compression_def,breakout,entry,stop,exit,n_events,flags,n,tr_per_wk,wr,pf,exp_r,tot_r,maxdd_r,n_long,n_short
overnight_range_pctile<30,first_break_continuation,immediate,opposite_compression_side,range_projection_1.0x,817,,817,1.5085729359008178,0.5348837209302325,0.7298476102182737,-0.12991888717549108,-106.14373082237621,-112.00769294990043,425,392
overnight_range_pctile<30,first_break_continuation,immediate,opposite_compression_side,1.5R,817,,817,1.5085729359008178,0.4357405140758874,0.8503714547721385,-0.08576546940040547,-70.07038850013127,-85.39824927911657,425,392
overnight_range_pctile<30,first_break_continuation,immediate,opposite_compression_side,trail_3.5xATR,817,,817,1.5085729359008178,0.38922888616891066,0.945705014613472,-0.02737188445378038,-22.36282959873857,-51.45208013579043,425,392
overnight_range_pctile<30,first_break_continuation,immediate,atr_1.0,range_projection_1.0x,817,,817,1.5085729359008178,0.6450428396572827,0.8122855355488331,-0.025793840829234263,-21.073567957484393,-22.453895590085065,425,392
overnight_range_pctile<30,first_break_continuation,immediate,atr_1.0,1.5R,817,,817,1.5085729359008178,0.49571603427172584,1.0929964720757914,0.016392356954850106,13.392555632112536,-9.444837272211728,425,392
overnight_range_pctile<30,first_break_continuation,immediate,atr_1.0,trail_3.5xATR,817,,817,1.5085729359008178,0.4112607099143207,0.9643814337180261,-0.004964794330226111,-4.0562369677947325,-12.775971534165116,425,392
overnight_range_pctile<30,first_break_continuation,retest,opposite_compression_side,range_projection_1.0x,817,,656,1.2112898971247692,0.4954268292682927,0.7213609132293527,-0.1549056373005356,-101.61809806915136,-106.2029813394636,346,310
overnight_range_pctile<30,first_break_continuation,retest,opposite_compression_side,1.5R,817,,656,1.2112898971247692,0.4115853658536585,0.7540157373125882,-0.1561811357405547,-102.45482504580389,-110.35515611144938,346,310
overnight_range_pctile<30,first_break_continuation,retest,opposite_compression_side,trail_3.5xATR,817,,656,1.2112898971247692,0.3490853658536585,0.8807092718505865,-0.06934604123005791,-45.491003046917996,-61.9628757191346,346,310
overnight_range_pctile<30,first_break_continuation,retest,atr_1.0,range_projection_1.0x,817,,656,1.2112898971247692,0.635670731707317,0.7921263996029994,-0.02906058765275746,-19.063745500208896,-20.315255792096277,346,310
overnight_range_pctile<30,first_break_continuation,retest,atr_1.0,1.5R,817,WATCHLIST_ONE_REGIME,656,1.2112898971247692,0.4817073170731707,1.0443997081352787,0.0078113865560532035,5.1242695807709016,-7.337531842681363,346,310
overnight_range_pctile<30,first_break_continuation,retest,atr_1.0,trail_3.5xATR,817,,656,1.2112898971247692,0.38871951219512196,0.8787505887808051,-0.016391531659526032,-10.752844768649076,-11.435359080923545,346,310
overnight_range_pctile<30,break_retest,immediate,opposite_compression_side,range_projection_1.0x,656,,656,1.2112898971247692,0.46189024390243905,0.5548511765131797,-0.2528712441475301,-165.88353616077976,-169.51304650453355,346,310
overnight_range_pctile<30,break_retest,immediate,opposite_compression_side,1.5R,656,,656,1.2112898971247692,0.3643292682926829,0.6011827365589298,-0.2630077631838757,-172.53309264862247,-174.85397465653455,346,310
overnight_range_pctile<30,break_retest,immediate,opposite_compression_side,trail_3.5xATR,656,,656,1.2112898971247692,0.3125,0.6410482047044183,-0.2108654259536703,-138.3277194256077,-139.60466227552885,346,310
overnight_range_pctile<30,break_retest,immediate,atr_1.0,range_projection_1.0x,656,,656,1.2112898971247692,0.5960365853658537,0.6241697199765979,-0.0604625149790696,-39.66340982626966,-40.85666975278167,346,310
overnight_range_pctile<30,break_retest,immediate,atr_1.0,1.5R,656,,656,1.2112898971247692,0.4527439024390244,0.8299756148448034,-0.03378985034143422,-22.166141823980848,-23.272830710393514,346,310
overnight_range_pctile<30,break_retest,immediate,atr_1.0,trail_3.5xATR,656,,656,1.2112898971247692,0.3399390243902439,0.6355100557991313,-0.058611220427063494,-38.448960600153654,-38.85349129251401,346,310
overnight_range_pctile<30,break_retest,retest,opposite_compression_side,range_projection_1.0x,656,,656,1.2112898971247692,0.4954268292682927,0.7213609132293527,-0.1549056373005356,-101.61809806915136,-106.2029813394636,346,310
overnight_range_pctile<30,break_retest,retest,opposite_compression_side,1.5R,656,,656,1.2112898971247692,0.4115853658536585,0.7540157373125882,-0.1561811357405547,-102.45482504580389,-110.35515611144938,346,310
overnight_range_pctile<30,break_retest,retest,opposite_compression_side,trail_3.5xATR,656,,656,1.2112898971247692,0.3490853658536585,0.8807092718505865,-0.06934604123005791,-45.491003046917996,-61.9628757191346,346,310
overnight_range_pctile<30,break_retest,retest,atr_1.0,range_projection_1.0x,656,,656,1.2112898971247692,0.635670731707317,0.7921263996029994,-0.02906058765275746,-19.063745500208896,-20.315255792096277,346,310
overnight_range_pctile<30,break_retest,retest,atr_1.0,1.5R,656,WATCHLIST_ONE_REGIME,656,1.2112898971247692,0.4817073170731707,1.0443997081352787,0.0078113865560532035,5.1242695807709016,-7.337531842681363,346,310
overnight_range_pctile<30,break_retest,retest,atr_1.0,trail_3.5xATR,656,,656,1.2112898971247692,0.38871951219512196,0.8787505887808051,-0.016391531659526032,-10.752844768649076,-11.435359080923545,346,310
overnight_range_pctile<30,second_break,immediate,opposite_compression_side,range_projection_1.0x,467,,466,0.8604589817989976,0.4892703862660944,0.6257411150723121,-0.19433149632841776,-90.55847728904267,-95.37807580132542,247,219
overnight_range_pctile<30,second_break,immediate,opposite_compression_side,1.5R,467,,466,0.8604589817989976,0.3969957081545064,0.7207546683668316,-0.16687789292304533,-77.76509810213912,-81.31047032101775,247,219
overnight_range_pctile<30,second_break,immediate,opposite_compression_side,trail_3.5xATR,467,,466,0.8604589817989976,0.3605150214592275,0.8327988885709188,-0.08620581597471405,-40.17191024421675,-50.936834570661745,247,219
overnight_range_pctile<30,second_break,immediate,atr_1.0,range_projection_1.0x,467,,466,0.8604589817989976,0.6137339055793991,0.734822946493627,-0.03658887061271665,-17.05041370552596,-19.784777061391477,247,219
overnight_range_pctile<30,second_break,immediate,atr_1.0,1.5R,467,,466,0.8604589817989976,0.48283261802575106,1.0521996229075365,0.008970770956495079,4.180379265726707,-9.747210862439267,247,219
overnight_range_pctile<30,second_break,immediate,atr_1.0,trail_3.5xATR,467,,466,0.8604589817989976,0.38412017167381973,0.8585199021993962,-0.018655501096773587,-8.69346351109649,-10.464101161170419,247,219
overnight_range_pctile<30,second_break,retest,opposite_compression_side,range_projection_1.0x,467,,381,0.7035083091532577,0.4435695538057743,0.58481497394954,-0.246063706344557,-93.75027211727621,-97.55518703703247,199,182
overnight_range_pctile<30,second_break,retest,opposite_compression_side,1.5R,467,,381,0.7035083091532577,0.3805774278215223,0.6531673936962503,-0.2253070539661711,-85.84198756111118,-90.05952401518041,199,182
overnight_range_pctile<30,second_break,retest,opposite_compression_side,trail_3.5xATR,467,,381,0.7035083091532577,0.32545931758530183,0.7730560515139784,-0.133414080531277,-50.83076468241654,-57.13277386714662,199,182
overnight_range_pctile<30,second_break,retest,atr_1.0,range_projection_1.0x,467,,381,0.7035083091532577,0.5879265091863517,0.6631500621215061,-0.04767308047368701,-18.16344366047475,-19.08505970641031,199,182
overnight_range_pctile<30,second_break,retest,atr_1.0,1.5R,467,,381,0.7035083091532577,0.4776902887139108,1.1202250764497799,0.019777180627307194,7.535105819004041,-9.212196523467844,199,182
overnight_range_pctile<30,second_break,retest,atr_1.0,trail_3.5xATR,467,,381,0.7035083091532577,0.36220472440944884,0.8144227511146273,-0.0239922050937354,-9.141030140713188,-10.179487862505317,199,182
atr14_contraction_pctile<30,first_break_continuation,immediate,opposite_compression_side,range_projection_1.0x,958,,958,1.7689264046425746,0.534446764091858,0.7593831597742574,-0.11401036880195543,-109.22193331227331,-120.65441794010572,513,445
atr14_contraction_pctile<30,first_break_continuation,immediate,opposite_compression_side,1.5R,958,,958,1.7689264046425746,0.42275574112734865,0.8408618312113287,-0.09262218300074919,-88.73205131471772,-115.75989673874814,513,445
atr14_contraction_pctile<30,first_break_continuation,immediate,opposite_compression_side,trail_3.5xATR,958,,958,1.7689264046425746,0.37891440501043844,0.9432576284786557,-0.028469721922245318,-27.273993601511016,-74.85204692480774,513,445
atr14_contraction_pctile<30,first_break_continuation,immediate,atr_1.0,range_projection_1.0x,958,,958,1.7689264046425746,0.6325678496868476,0.7880606114683821,-0.03547321624245714,-33.98334116027394,-38.14319730034577,513,445
atr14_contraction_pctile<30,first_break_continuation,immediate,atr_1.0,1.5R,958,,958,1.7689264046425746,0.4718162839248434,0.9766401290664893,-0.005196435856690372,-4.978185550709377,-28.17952140575124,513,445
atr14_contraction_pctile<30,first_break_continuation,immediate,atr_1.0,trail_3.5xATR,958,,958,1.7689264046425746,0.4091858037578288,0.9372701115037105,-0.010318331425693977,-9.884961505814829,-23.106235885511072,513,445
atr14_contraction_pctile<30,first_break_continuation,retest,opposite_compression_side,range_projection_1.0x,958,,751,1.386705354787655,0.4940079893475366,0.7257936330247053,-0.15100169593819446,-113.40227364958405,-114.54423169726732,405,346
atr14_contraction_pctile<30,first_break_continuation,retest,opposite_compression_side,1.5R,958,,751,1.386705354787655,0.40612516644474034,0.7395423259443362,-0.16639710247414582,-124.96422395808351,-139.9061879055759,405,346
atr14_contraction_pctile<30,first_break_continuation,retest,opposite_compression_side,trail_3.5xATR,958,,751,1.386705354787655,0.35153129161118507,0.8797409643922817,-0.07054926428988285,-52.982497481702026,-85.17237649210301,405,346
atr14_contraction_pctile<30,first_break_continuation,retest,atr_1.0,range_projection_1.0x,958,,751,1.386705354787655,0.6271637816245007,0.8006732742128445,-0.031979002676409435,-24.016231009983485,-26.737429763388946,405,346
atr14_contraction_pctile<30,first_break_continuation,retest,atr_1.0,1.5R,958,,751,1.386705354787655,0.4673768308921438,0.9508456114209872,-0.010491818202732399,-7.879355470252031,-24.69226837817782,405,346
atr14_contraction_pctile<30,first_break_continuation,retest,atr_1.0,trail_3.5xATR,958,,751,1.386705354787655,0.4047936085219707,0.8578959779148735,-0.022977488403570445,-17.256093791081405,-22.79820541193938,405,346
atr14_contraction_pctile<30,break_retest,immediate,opposite_compression_side,range_projection_1.0x,751,,751,1.386705354787655,0.45006657789613846,0.5501570463312369,-0.2571596335690684,-193.12688481037037,-193.55142729714998,405,346
atr14_contraction_pctile<30,break_retest,immediate,opposite_compression_side,1.5R,751,,751,1.386705354787655,0.35286284953395475,0.5941987157007061,-0.26914237106153843,-202.12592066721538,-202.55046315399494,405,346
atr14_contraction_pctile<30,break_retest,immediate,opposite_compression_side,trail_3.5xATR,751,,751,1.386705354787655,0.3062583222370173,0.6414837955372747,-0.21276097825971124,-159.78349467304315,-161.1212420731736,405,346
atr14_contraction_pctile<30,break_retest,immediate,atr_1.0,range_projection_1.0x,751,,751,1.386705354787655,0.5712383488681758,0.5836944762990409,-0.08209709887887694,-61.65492125803658,-61.92010778082845,405,346
atr14_contraction_pctile<30,break_retest,immediate,atr_1.0,1.5R,751,,751,1.386705354787655,0.43009320905459386,0.7453247006013752,-0.06223036733400207,-46.735005867835554,-48.812610186555254,405,346
atr14_contraction_pctile<30,break_retest,immediate,atr_1.0,trail_3.5xATR,751,,751,1.386705354787655,0.3448735019973369,0.6139435886397248,-0.07429806053723004,-55.797843463459756,-56.28175277875529,405,346
atr14_contraction_pctile<30,break_retest,retest,opposite_compression_side,range_projection_1.0x,751,,751,1.386705354787655,0.4940079893475366,0.7257936330247053,-0.15100169593819446,-113.40227364958405,-114.54423169726732,405,346
atr14_contraction_pctile<30,break_retest,retest,opposite_compression_side,1.5R,751,,751,1.386705354787655,0.40612516644474034,0.7395423259443362,-0.16639710247414582,-124.96422395808351,-139.9061879055759,405,346
atr14_contraction_pctile<30,break_retest,retest,opposite_compression_side,trail_3.5xATR,751,,751,1.386705354787655,0.35153129161118507,0.8797409643922817,-0.07054926428988285,-52.982497481702026,-85.17237649210301,405,346
atr14_contraction_pctile<30,break_retest,retest,atr_1.0,range_projection_1.0x,751,,751,1.386705354787655,0.6271637816245007,0.8006732742128445,-0.031979002676409435,-24.016231009983485,-26.737429763388946,405,346
atr14_contraction_pctile<30,break_retest,retest,atr_1.0,1.5R,751,,751,1.386705354787655,0.4673768308921438,0.9508456114209872,-0.010491818202732399,-7.879355470252031,-24.69226837817782,405,346
atr14_contraction_pctile<30,break_retest,retest,atr_1.0,trail_3.5xATR,751,,751,1.386705354787655,0.4047936085219707,0.8578959779148735,-0.022977488403570445,-17.256093791081405,-22.79820541193938,405,346
atr14_contraction_pctile<30,second_break,immediate,opposite_compression_side,range_projection_1.0x,505,,503,0.9287786863624374,0.5029821073558648,0.6595229742086753,-0.17003138007801047,-85.52578417923927,-90.35462280137978,277,226
atr14_contraction_pctile<30,second_break,immediate,opposite_compression_side,1.5R,505,,503,0.9287786863624374,0.40755467196819084,0.7289582272223873,-0.15669526406630896,-78.81771782535341,-81.10455434169539,277,226
atr14_contraction_pctile<30,second_break,immediate,opposite_compression_side,trail_3.5xATR,505,,503,0.9287786863624374,0.3658051689860835,0.8838816595066983,-0.05611674831571005,-28.226724402802155,-50.95912370863477,277,226
atr14_contraction_pctile<30,second_break,immediate,atr_1.0,range_projection_1.0x,505,,503,0.9287786863624374,0.6123260437375746,0.7593793187339708,-0.03709587443870266,-18.659224842667438,-26.436966429771406,277,226
atr14_contraction_pctile<30,second_break,immediate,atr_1.0,1.5R,505,,503,0.9287786863624374,0.47514910536779326,0.947832355141759,-0.010223815372469233,-5.142579132352024,-14.977779038353496,277,226
atr14_contraction_pctile<30,second_break,immediate,atr_1.0,trail_3.5xATR,505,,503,0.9287786863624374,0.39165009940357853,0.8311021971577288,-0.025036575362717552,-12.593397407446929,-17.84743878869723,277,226
atr14_contraction_pctile<30,second_break,retest,opposite_compression_side,range_projection_1.0x,505,,406,0.7496702716961224,0.47044334975369456,0.6807173022301405,-0.17531086687674674,-71.17621195195917,-73.88027493034251,218,188
atr14_contraction_pctile<30,second_break,retest,opposite_compression_side,1.5R,505,,406,0.7496702716961224,0.39655172413793105,0.6988418645154832,-0.18755003537142712,-76.1453143607994,-77.42775896256772,218,188
atr14_contraction_pctile<30,second_break,retest,opposite_compression_side,trail_3.5xATR,505,,406,0.7496702716961224,0.3399014778325123,0.8678208344596327,-0.07181016720968006,-29.154927887130103,-39.6374921992726,218,188
atr14_contraction_pctile<30,second_break,retest,atr_1.0,range_projection_1.0x,505,,406,0.7496702716961224,0.5960591133004927,0.7971488804404899,-0.029650435630733395,-12.038076866077759,-16.323878145772685,218,188
atr14_contraction_pctile<30,second_break,retest,atr_1.0,1.5R,505,,406,0.7496702716961224,0.47783251231527096,1.0614496118635577,0.011315745495236899,4.594192671066181,-8.386985119882281,218,188
