signal_id,class_,ts,direction,gap_sm,gap_mf,status,emitted,entry_ref,entry_emit,entry_ok,stop_ref,stop_emit,stop_ok,target_ref,target_emit,target_ok,direction_ok,emit_ts,mss_ts,emit_is_k,mss_before_fill,mss_bar,fill_bar,R
A-0001-20210701T0955,DELAYED,2021-07-01 09:55:00-04:00,long,1,4,MATCH-AT-K,True,14531.78,14531.78,True,14514.75,14514.75,True,14565.84,14565.84,True,True,2021-07-01 09:35:00-04:00,2021-07-01 09:35:00-04:00,True,True,1810,1814,-0.014679976512037
A-0032-20210924T1030,FULLY-AVAILABLE,2021-09-24 10:30:00-04:00,long,4,2,MATCH-AT-K,True,15228.62,15228.62,True,15200.75,15200.75,True,15284.36,15284.36,True,True,2021-09-24 10:20:00-04:00,2021-09-24 10:20:00-04:00,True,True,18559,18561,1.4999999999999674
A-0062-20211216T0950,DELAYED,2021-12-16 09:50:00-05:00,short,1,1,MATCH-AT-K,True,16258.37,16258.37,True,16342.5,16342.5,True,16090.1,16090.1,True,True,2021-12-16 09:45:00-05:00,2021-12-16 09:45:00-05:00,True,True,34743,34744,1.500059431831701
A-0093-20220302T1025,FULLY-AVAILABLE,2022-03-02 10:25:00-05:00,short,7,4,MATCH-AT-K,True,14080.62,14080.62,True,14088.75,14088.75,True,14064.37,14064.37,True,True,2022-03-02 10:05:00-05:00,2022-03-02 10:05:00-05:00,True,True,49279,49283,-1.061500615006156
A-0123-20220614T1000,FULLY-AVAILABLE,2022-06-14 10:00:00-04:00,short,1,5,MATCH-AT-K,True,11387.12,11387.12,True,11426.5,11426.5,True,11308.36,11308.36,True,True,2022-06-14 09:35:00-04:00,2022-06-14 09:35:00-04:00,True,True,69373,69378,1.500000000000023
A-0154-20220914T1035,FULLY-AVAILABLE,2022-09-14 10:35:00-04:00,short,11,2,MATCH-AT-K,True,12178.0,12178.0,True,12180.25,12180.25,True,12173.5,12173.5,True,True,2022-09-14 10:25:00-04:00,2022-09-14 10:25:00-04:00,True,True,87455,87457,-1.2222222222222223
A-0184-20230112T1010,FULLY-AVAILABLE,2023-01-12 10:10:00-05:00,short,2,6,MATCH-AT-K,True,11468.81,11468.81,True,11519.25,11519.25,True,11367.94,11367.94,True,True,2023-01-12 09:40:00-05:00,2023-01-12 09:40:00-05:00,True,True,110537,110543,-0.0049563838223631
A-0215-20230406T1020,DELAYED,2023-04-06 10:20:00-04:00,long,1,1,MATCH-AT-K,True,13034.67,13034.67,True,12981.25,12981.25,True,13141.52,13141.52,True,True,2023-04-06 10:15:00-04:00,2023-04-06 10:15:00-04:00,True,True,127008,127009,1.500093597903409
A-0245-20230710T1005,FULLY-AVAILABLE,2023-07-10 10:05:00-04:00,short,1,3,MATCH-AT-K,True,15154.36,15154.36,True,15212.25,15212.25,True,15038.58,15038.58,True,True,2023-07-10 09:50:00-04:00,2023-07-10 09:50:00-04:00,True,True,145213,145216,0.6520988080843044
A-0276-20231002T0950,FULLY-AVAILABLE,2023-10-02 09:50:00-04:00,long,1,2,MATCH-AT-K,True,14920.7,14920.7,True,14847.25,14847.25,True,15067.6,15067.6,True,True,2023-10-02 09:40:00-04:00,2023-10-02 09:40:00-04:00,True,True,161723,161725,0.4577944179714046
