start,yr,ev,paid,po,f_out,f_days
2021-06-25 00:00:00-04:00,2021,PASS,0.0,0,BUST,41.0
2021-07-07 00:00:00-04:00,2021,PASS,0.0,0,BUST,34.0
2021-07-15 00:00:00-04:00,2021,BUST,0.0,0,,
2021-07-23 00:00:00-04:00,2021,BUST,0.0,0,,
2021-07-30 00:00:00-04:00,2021,BUST,0.0,0,,
2021-08-09 00:00:00-04:00,2021,EXPIRE,0.0,0,,
2021-08-16 00:00:00-04:00,2021,EXPIRE,0.0,0,,
2021-08-24 00:00:00-04:00,2021,PASS,11693.599999999875,6,LADDER_COMPLETE,1129.0
2021-09-02 00:00:00-04:00,2021,PASS,999.870000000039,1,BUST,179.0
2021-09-10 00:00:00-04:00,2021,BUST,0.0,0,,
2021-09-22 00:00:00-04:00,2021,BUST,0.0,0,,
2021-09-29 00:00:00-04:00,2021,BUST,0.0,0,,
2021-10-06 00:00:00-04:00,2021,EXPIRE,0.0,0,,
2021-10-15 00:00:00-04:00,2021,EXPIRE,0.0,0,,
2021-10-25 00:00:00-04:00,2021,EXPIRE,0.0,0,,
2021-11-01 00:00:00-04:00,2021,BUST,0.0,0,,
2021-11-08 00:00:00-05:00,2021,BUST,0.0,0,,
2021-11-17 00:00:00-05:00,2021,BUST,0.0,0,,
2021-11-25 00:00:00-05:00,2021,BUST,0.0,0,,
2021-12-02 00:00:00-05:00,2021,BUST,0.0,0,,
2021-12-09 00:00:00-05:00,2021,PASS,0.0,0,BUST,85.0
2021-12-16 00:00:00-05:00,2021,PASS,0.0,0,BUST,85.0
2021-12-28 00:00:00-05:00,2021,BUST,0.0,0,,
2022-01-04 00:00:00-05:00,2022,BUST,0.0,0,,
2022-01-12 00:00:00-05:00,2022,BUST,0.0,0,,
2022-01-19 00:00:00-05:00,2022,BUST,0.0,0,,
2022-01-27 00:00:00-05:00,2022,EXPIRE,0.0,0,,
2022-02-03 00:00:00-05:00,2022,PASS,0.0,0,BUST,22.0
2022-02-10 00:00:00-05:00,2022,PASS,0.0,0,BUST,23.0
2022-02-22 00:00:00-05:00,2022,BUST,0.0,0,,
2022-03-01 00:00:00-05:00,2022,BUST,0.0,0,,
2022-03-09 00:00:00-05:00,2022,BUST,0.0,0,,
2022-03-17 00:00:00-04:00,2022,EXPIRE,0.0,0,,
2022-03-24 00:00:00-04:00,2022,PASS,0.0,0,BUST,227.0
2022-04-01 00:00:00-04:00,2022,EXPIRE,0.0,0,,
2022-04-13 00:00:00-04:00,2022,BUST,0.0,0,,
2022-04-22 00:00:00-04:00,2022,BUST,0.0,0,,
2022-04-29 00:00:00-04:00,2022,BUST,0.0,0,,
2022-05-09 00:00:00-04:00,2022,BUST,0.0,0,,
2022-05-16 00:00:00-04:00,2022,EXPIRE,0.0,0,,
2022-05-23 00:00:00-04:00,2022,EXPIRE,0.0,0,,
2022-06-06 00:00:00-04:00,2022,BUST,0.0,0,,
2022-06-14 00:00:00-04:00,2022,BUST,0.0,0,,
2022-06-22 00:00:00-04:00,2022,BUST,0.0,0,,
2022-06-29 00:00:00-04:00,2022,BUST,0.0,0,,
2022-07-06 00:00:00-04:00,2022,PASS,0.0,0,BUST,125.0
2022-07-13 00:00:00-04:00,2022,PASS,0.0,0,BUST,125.0
2022-07-20 00:00:00-04:00,2022,EXPIRE,0.0,0,,
2022-07-28 00:00:00-04:00,2022,EXPIRE,0.0,0,,
2022-08-04 00:00:00-04:00,2022,BUST,0.0,0,,
2022-08-11 00:00:00-04:00,2022,BUST,0.0,0,,
2022-08-18 00:00:00-04:00,2022,BUST,0.0,0,,
2022-08-25 00:00:00-04:00,2022,BUST,0.0,0,,
2022-09-01 00:00:00-04:00,2022,BUST,0.0,0,,
2022-09-08 00:00:00-04:00,2022,BUST,0.0,0,,
2022-09-19 00:00:00-04:00,2022,PASS,0.0,0,BUST,50.0
2022-10-06 00:00:00-04:00,2022,BUST,0.0,0,,
2022-10-18 00:00:00-04:00,2022,BUST,0.0,0,,
2022-10-27 00:00:00-04:00,2022,PASS,0.0,0,BUST,21.0
2022-11-08 00:00:00-05:00,2022,BUST,0.0,0,,
2022-11-18 00:00:00-05:00,2022,BUST,0.0,0,,
2022-11-28 00:00:00-05:00,2022,BUST,0.0,0,,
2022-12-07 00:00:00-05:00,2022,BUST,0.0,0,,
2022-12-16 00:00:00-05:00,2022,EXPIRE,0.0,0,,
2022-12-23 00:00:00-05:00,2022,EXPIRE,0.0,0,,
2023-01-10 00:00:00-05:00,2023,BUST,0.0,0,,
2023-01-17 00:00:00-05:00,2023,BUST,0.0,0,,
