key,achievable,missing,fill_instant,exit_instant,hold_time_min,first_surface_poll,first_tail3_poll,staleness_min,freshness_passed,pushed_out_of_tail3,direction,backtest_R,r_1mtruth,win
2021-06-25T10:25:00-04:00,False,True,2021-06-25 10:25:00-04:00,2021-06-25 12:25:00-04:00,120.0,2021-07-02 09:30:00-04:00,,,False,False,short,1.49,,True
2021-06-29T10:15:00-04:00,False,True,2021-06-29 10:15:00-04:00,2021-06-29 10:45:00-04:00,30.0,2021-07-02 09:30:00-04:00,,,False,False,long,1.488,,True
2021-06-30T09:55:00-04:00,False,True,2021-06-30 09:55:00-04:00,2021-06-30 09:55:00-04:00,0.0,2021-07-02 09:30:00-04:00,,,False,False,long,-1.046,,False
2021-06-30T11:15:00-04:00,False,True,2021-06-30 11:15:00-04:00,2021-06-30 11:35:00-04:00,20.0,2021-07-02 09:30:00-04:00,,,False,False,long,-1.071,,False
2021-07-01T09:55:00-04:00,False,True,2021-07-01 09:55:00-04:00,2021-07-01 10:20:00-04:00,25.0,2021-07-02 09:30:00-04:00,2021-07-02 09:30:00-04:00,1415.0,False,False,long,-0.029,,False
2021-07-06T11:10:00-04:00,True,False,2021-07-06 11:10:00-04:00,2021-07-06 11:45:00-04:00,35.0,2021-07-06 11:10:00-04:00,2021-07-06 11:10:00-04:00,0.0,True,False,short,1.491,,True
2021-07-07T09:55:00-04:00,False,True,2021-07-07 09:55:00-04:00,2021-07-07 10:40:00-04:00,45.0,2021-07-07 10:35:00-04:00,2021-07-07 10:35:00-04:00,40.0,False,False,short,1.495,,True
2021-07-08T10:35:00-04:00,True,False,2021-07-08 10:35:00-04:00,2021-07-08 12:55:00-04:00,140.0,2021-07-08 10:35:00-04:00,2021-07-08 10:35:00-04:00,0.0,True,False,long,1.497,,True
2021-07-09T09:40:00-04:00,True,False,2021-07-09 09:40:00-04:00,2021-07-09 09:45:00-04:00,5.0,2021-07-09 09:40:00-04:00,2021-07-09 09:40:00-04:00,0.0,True,False,short,-0.026,,False
2021-07-12T10:05:00-04:00,False,True,2021-07-12 10:05:00-04:00,2021-07-12 14:00:00-04:00,235.0,2021-07-12 10:50:00-04:00,2021-07-12 10:50:00-04:00,45.0,False,False,short,-0.489,,False
2021-07-15T09:55:00-04:00,True,False,2021-07-15 09:55:00-04:00,2021-07-15 10:25:00-04:00,30.0,2021-07-15 09:55:00-04:00,2021-07-15 09:55:00-04:00,0.0,True,False,short,1.493,,True
2021-07-16T10:50:00-04:00,False,True,2021-07-16 10:50:00-04:00,2021-07-16 11:25:00-04:00,35.0,2021-07-16 11:10:00-04:00,2021-07-16 11:10:00-04:00,20.0,False,False,short,1.494,,True
2021-07-23T09:45:00-04:00,True,False,2021-07-23 09:45:00-04:00,2021-07-23 10:15:00-04:00,30.0,2021-07-23 09:45:00-04:00,2021-07-23 09:45:00-04:00,0.0,True,False,short,-0.024,,False
2021-07-27T09:50:00-04:00,False,True,2021-07-27 09:50:00-04:00,2021-07-27 10:10:00-04:00,20.0,2021-07-27 10:35:00-04:00,2021-07-27 10:35:00-04:00,45.0,False,False,short,1.495,,True
2021-07-28T10:00:00-04:00,True,False,2021-07-28 10:00:00-04:00,2021-07-28 10:10:00-04:00,10.0,2021-07-28 10:00:00-04:00,2021-07-28 10:00:00-04:00,0.0,True,False,short,-1.024,,False
