key,achievable,missing,fill_instant,exit_instant,hold_time_min,first_surface_poll,first_tail3_poll,staleness_min,freshness_passed,pushed_out_of_tail3,direction,backtest_R,r_1mtruth,win
2025-06-05T10:25:00-04:00,True,False,2025-06-05 10:25:00-04:00,2025-06-05 10:35:00-04:00,10.0,2025-06-05 10:25:00-04:00,2025-06-05 10:25:00-04:00,0.0,True,False,short,1.496,,True
2025-06-06T11:50:00-04:00,False,True,2025-06-06 11:50:00-04:00,2025-06-06 12:55:00-04:00,65.0,2025-06-06 12:05:00-04:00,2025-06-06 12:05:00-04:00,15.0,False,False,short,1.496,,True
2025-06-09T09:40:00-04:00,True,False,2025-06-09 09:40:00-04:00,2025-06-09 09:50:00-04:00,10.0,2025-06-09 09:40:00-04:00,2025-06-09 09:40:00-04:00,0.0,True,False,short,-0.023,,False
2025-06-11T10:10:00-04:00,True,False,2025-06-11 10:10:00-04:00,2025-06-11 10:25:00-04:00,15.0,2025-06-11 10:10:00-04:00,2025-06-11 10:10:00-04:00,0.0,True,False,short,-1.025,,False
2025-06-12T12:00:00-04:00,True,False,2025-06-12 12:00:00-04:00,2025-06-12 15:55:00-04:00,235.0,2025-06-12 12:00:00-04:00,2025-06-12 12:00:00-04:00,0.0,True,False,short,0.443,,True
2025-06-13T10:10:00-04:00,True,False,2025-06-13 10:10:00-04:00,2025-06-13 10:25:00-04:00,15.0,2025-06-13 10:10:00-04:00,2025-06-13 10:10:00-04:00,0.0,True,False,long,-1.01,,False
2025-06-18T09:40:00-04:00,True,False,2025-06-18 09:40:00-04:00,2025-06-18 09:50:00-04:00,10.0,2025-06-18 09:40:00-04:00,2025-06-18 09:40:00-04:00,0.0,True,False,short,-1.017,,False
2025-06-20T11:10:00-04:00,False,True,2025-06-20 11:10:00-04:00,2025-06-20 15:05:00-04:00,235.0,2025-06-20 11:45:00-04:00,2025-06-20 11:45:00-04:00,35.0,False,False,short,0.155,,True
2025-06-24T09:55:00-04:00,True,False,2025-06-24 09:55:00-04:00,2025-06-24 10:15:00-04:00,20.0,2025-06-24 09:55:00-04:00,2025-06-24 09:55:00-04:00,0.0,True,False,long,1.49,,True
2025-06-26T09:55:00-04:00,True,False,2025-06-26 09:55:00-04:00,2025-06-26 10:00:00-04:00,5.0,2025-06-26 09:55:00-04:00,2025-06-26 09:55:00-04:00,0.0,True,False,short,-0.021,,False
2025-06-30T09:55:00-04:00,False,True,2025-06-30 09:55:00-04:00,2025-06-30 13:50:00-04:00,235.0,2025-06-30 10:35:00-04:00,2025-06-30 10:35:00-04:00,40.0,False,False,short,-0.03,,False
2025-07-01T10:00:00-04:00,True,False,2025-07-01 10:00:00-04:00,2025-07-01 10:20:00-04:00,20.0,2025-07-01 10:00:00-04:00,2025-07-01 10:00:00-04:00,0.0,True,False,long,-0.019,,False
2025-07-07T09:40:00-04:00,True,False,2025-07-07 09:40:00-04:00,2025-07-07 09:50:00-04:00,10.0,2025-07-07 09:40:00-04:00,2025-07-07 09:40:00-04:00,0.0,True,False,short,-0.019,,False
2025-07-08T10:35:00-04:00,True,False,2025-07-08 10:35:00-04:00,2025-07-08 10:50:00-04:00,15.0,2025-07-08 10:35:00-04:00,2025-07-08 10:35:00-04:00,0.0,True,False,short,1.491,,True
2025-07-15T10:15:00-04:00,True,False,2025-07-15 10:15:00-04:00,2025-07-15 10:50:00-04:00,35.0,2025-07-15 10:15:00-04:00,2025-07-15 10:15:00-04:00,0.0,True,False,short,1.494,,True
2025-07-15T11:05:00-04:00,True,False,2025-07-15 11:05:00-04:00,2025-07-15 11:25:00-04:00,20.0,2025-07-15 11:05:00-04:00,2025-07-15 11:05:00-04:00,0.0,True,False,short,-1.014,,False
2025-07-16T10:30:00-04:00,True,False,2025-07-16 10:30:00-04:00,2025-07-16 11:20:00-04:00,50.0,2025-07-16 10:35:00-04:00,2025-07-16 10:35:00-04:00,5.0,True,False,short,1.497,,True
2025-07-24T10:50:00-04:00,True,False,2025-07-24 10:50:00-04:00,2025-07-24 11:50:00-04:00,60.0,2025-07-24 10:50:00-04:00,2025-07-24 10:50:00-04:00,0.0,True,False,short,-1.023,,False
2025-07-25T10:15:00-04:00,False,True,2025-07-25 10:15:00-04:00,2025-07-25 12:05:00-04:00,110.0,2025-07-25 10:55:00-04:00,2025-07-25 10:55:00-04:00,40.0,False,False,long,1.49,,True
2025-07-28T10:20:00-04:00,True,False,2025-07-28 10:20:00-04:00,2025-07-28 11:15:00-04:00,55.0,2025-07-28 10:20:00-04:00,2025-07-28 10:20:00-04:00,0.0,True,False,long,-0.023,,False
2025-07-29T11:45:00-04:00,False,True,2025-07-29 11:45:00-04:00,2025-07-29 15:40:00-04:00,235.0,2025-07-29 12:15:00-04:00,2025-07-29 12:15:00-04:00,30.0,False,False,short,1.059,,True
2025-07-30T10:00:00-04:00,True,False,2025-07-30 10:00:00-04:00,2025-07-30 10:20:00-04:00,20.0,2025-07-30 10:00:00-04:00,2025-07-30 10:00:00-04:00,0.0,True,False,long,1.489,,True
2025-07-31T09:50:00-04:00,False,True,2025-07-31 09:50:00-04:00,2025-07-31 13:25:00-04:00,215.0,2025-07-31 10:35:00-04:00,2025-07-31 10:35:00-04:00,45.0,False,False,short,1.498,,True
2025-08-06T10:20:00-04:00,True,False,2025-08-06 10:20:00-04:00,2025-08-06 10:20:00-04:00,0.0,2025-08-06 10:20:00-04:00,2025-08-06 10:20:00-04:00,0.0,True,False,long,1.49,,True
2025-08-07T10:45:00-04:00,True,False,2025-08-07 10:45:00-04:00,2025-08-07 10:55:00-04:00,10.0,2025-08-07 10:45:00-04:00,2025-08-07 10:45:00-04:00,0.0,True,False,short,1.494,,True
2025-08-13T10:35:00-04:00,False,True,2025-08-13 10:35:00-04:00,2025-08-13 11:15:00-04:00,40.0,2025-08-13 11:20:00-04:00,2025-08-13 11:20:00-04:00,45.0,False,False,short,1.495,,True
2025-08-14T11:20:00-04:00,True,False,2025-08-14 11:20:00-04:00,2025-08-14 11:25:00-04:00,5.0,2025-08-14 11:20:00-04:00,2025-08-14 11:20:00-04:00,0.0,True,False,long,-1.023,,False
2025-08-18T09:40:00-04:00,True,False,2025-08-18 09:40:00-04:00,2025-08-18 09:50:00-04:00,10.0,2025-08-18 09:40:00-04:00,2025-08-18 09:40:00-04:00,0.0,True,False,long,-0.02,,False
2025-08-25T09:45:00-04:00,True,False,2025-08-25 09:45:00-04:00,2025-08-25 09:55:00-04:00,10.0,2025-08-25 09:45:00-04:00,2025-08-25 09:45:00-04:00,0.0,True,False,long,1.491,,True
2025-08-25T10:20:00-04:00,True,False,2025-08-25 10:20:00-04:00,2025-08-25 14:15:00-04:00,235.0,2025-08-25 10:20:00-04:00,2025-08-25 10:20:00-04:00,0.0,True,False,long,0.93,,True
2025-08-26T09:50:00-04:00,True,False,2025-08-26 09:50:00-04:00,2025-08-26 09:50:00-04:00,0.0,2025-08-26 09:50:00-04:00,2025-08-26 09:50:00-04:00,0.0,True,False,short,1.492,,True
2025-08-26T12:00:00-04:00,True,False,2025-08-26 12:00:00-04:00,2025-08-26 12:15:00-04:00,15.0,2025-08-26 12:00:00-04:00,2025-08-26 12:00:00-04:00,0.0,True,False,short,-1.03,,False
2025-08-28T10:05:00-04:00,True,False,2025-08-28 10:05:00-04:00,2025-08-28 11:15:00-04:00,70.0,2025-08-28 10:05:00-04:00,2025-08-28 10:05:00-04:00,0.0,True,False,short,-0.007,,False
2025-09-03T09:50:00-04:00,True,False,2025-09-03 09:50:00-04:00,2025-09-03 10:05:00-04:00,15.0,2025-09-03 09:50:00-04:00,2025-09-03 09:50:00-04:00,0.0,True,False,short,-0.011,,False
2025-09-04T10:35:00-04:00,True,False,2025-09-04 10:35:00-04:00,2025-09-04 11:20:00-04:00,45.0,2025-09-04 10:35:00-04:00,2025-09-04 10:35:00-04:00,0.0,True,False,short,-1.019,,False
2025-09-05T11:35:00-04:00,True,False,2025-09-05 11:35:00-04:00,2025-09-05 15:30:00-04:00,235.0,2025-09-05 11:35:00-04:00,2025-09-05 11:35:00-04:00,0.0,True,False,short,-0.186,,False
2025-09-09T10:10:00-04:00,True,False,2025-09-09 10:10:00-04:00,2025-09-09 10:30:00-04:00,20.0,2025-09-09 10:10:00-04:00,2025-09-09 10:10:00-04:00,0.0,True,False,short,1.492,,True
2025-09-10T10:00:00-04:00,True,False,2025-09-10 10:00:00-04:00,2025-09-10 13:55:00-04:00,235.0,2025-09-10 10:00:00-04:00,2025-09-10 10:00:00-04:00,0.0,True,False,short,1.03,,True
2025-09-11T09:45:00-04:00,True,False,2025-09-11 09:45:00-04:00,2025-09-11 10:05:00-04:00,20.0,2025-09-11 09:45:00-04:00,2025-09-11 09:45:00-04:00,0.0,True,False,short,-0.013,,False
2025-09-12T09:55:00-04:00,True,False,2025-09-12 09:55:00-04:00,2025-09-12 10:20:00-04:00,25.0,2025-09-12 09:55:00-04:00,2025-09-12 09:55:00-04:00,0.0,True,False,short,-0.023,,False
2025-09-16T10:05:00-04:00,False,True,2025-09-16 10:05:00-04:00,2025-09-16 11:40:00-04:00,95.0,2025-09-16 10:40:00-04:00,2025-09-16 10:40:00-04:00,35.0,False,False,short,1.49,,True
2025-09-19T11:50:00-04:00,True,False,2025-09-19 11:50:00-04:00,2025-09-19 12:00:00-04:00,10.0,2025-09-19 11:50:00-04:00,2025-09-19 11:50:00-04:00,0.0,True,False,short,-1.038,,False
2025-09-22T09:40:00-04:00,True,False,2025-09-22 09:40:00-04:00,2025-09-22 09:50:00-04:00,10.0,2025-09-22 09:40:00-04:00,2025-09-22 09:40:00-04:00,0.0,True,False,long,1.49,,True
2025-09-23T10:40:00-04:00,True,False,2025-09-23 10:40:00-04:00,2025-09-23 13:25:00-04:00,165.0,2025-09-23 10:40:00-04:00,2025-09-23 10:40:00-04:00,0.0,True,False,short,1.495,,True
2025-09-24T10:00:00-04:00,False,True,2025-09-24 10:00:00-04:00,2025-09-24 11:55:00-04:00,115.0,2025-09-24 10:35:00-04:00,2025-09-24 10:35:00-04:00,35.0,False,False,short,1.497,,True
2025-09-30T09:45:00-04:00,True,False,2025-09-30 09:45:00-04:00,2025-09-30 09:50:00-04:00,5.0,2025-09-30 09:45:00-04:00,2025-09-30 09:45:00-04:00,0.0,True,False,short,1.493,,True
2025-09-30T11:25:00-04:00,True,False,2025-09-30 11:25:00-04:00,2025-09-30 12:20:00-04:00,55.0,2025-09-30 11:25:00-04:00,2025-09-30 11:25:00-04:00,0.0,True,False,long,1.495,,True
2025-10-01T09:45:00-04:00,True,False,2025-10-01 09:45:00-04:00,2025-10-01 09:45:00-04:00,0.0,2025-10-01 09:45:00-04:00,2025-10-01 09:45:00-04:00,0.0,True,False,long,-1.023,,False
2025-10-02T09:55:00-04:00,False,True,2025-10-02 09:55:00-04:00,2025-10-02 13:50:00-04:00,235.0,2025-10-02 10:40:00-04:00,2025-10-02 10:40:00-04:00,45.0,False,False,short,-0.461,,False
2025-10-03T09:55:00-04:00,True,False,2025-10-03 09:55:00-04:00,2025-10-03 09:55:00-04:00,0.0,2025-10-03 09:55:00-04:00,2025-10-03 09:55:00-04:00,0.0,True,False,long,-1.077,,False
2025-10-06T09:50:00-04:00,False,True,2025-10-06 09:50:00-04:00,2025-10-06 13:20:00-04:00,210.0,2025-10-06 10:35:00-04:00,2025-10-06 10:35:00-04:00,45.0,False,False,short,-1.012,,False
2025-10-07T11:15:00-04:00,False,True,2025-10-07 11:15:00-04:00,2025-10-07 15:10:00-04:00,235.0,2025-10-07 12:00:00-04:00,2025-10-07 12:00:00-04:00,45.0,False,False,short,1.02,,True
2025-10-10T10:00:00-04:00,True,False,2025-10-10 10:00:00-04:00,2025-10-10 10:00:00-04:00,0.0,2025-10-10 10:00:00-04:00,2025-10-10 10:00:00-04:00,0.0,True,False,long,1.492,,True
2025-10-13T09:40:00-04:00,True,False,2025-10-13 09:40:00-04:00,2025-10-13 09:55:00-04:00,15.0,2025-10-13 09:40:00-04:00,2025-10-13 09:40:00-04:00,0.0,True,False,short,-0.007,,False
2025-10-13T11:15:00-04:00,False,True,2025-10-13 11:15:00-04:00,2025-10-13 11:30:00-04:00,15.0,2025-10-13 11:30:00-04:00,2025-10-13 11:30:00-04:00,15.0,False,False,short,-1.018,,False
2025-10-15T09:45:00-04:00,True,False,2025-10-15 09:45:00-04:00,2025-10-15 09:45:00-04:00,0.0,2025-10-15 09:45:00-04:00,2025-10-15 09:45:00-04:00,0.0,True,False,short,1.495,,True
2025-10-16T10:20:00-04:00,True,False,2025-10-16 10:20:00-04:00,2025-10-16 10:35:00-04:00,15.0,2025-10-16 10:20:00-04:00,2025-10-16 10:20:00-04:00,0.0,True,False,short,-0.015,,False
2025-10-21T10:20:00-04:00,True,False,2025-10-21 10:20:00-04:00,2025-10-21 10:25:00-04:00,5.0,2025-10-21 10:20:00-04:00,2025-10-21 10:20:00-04:00,0.0,True,False,short,1.491,,True
2025-10-22T10:15:00-04:00,True,False,2025-10-22 10:15:00-04:00,2025-10-22 10:25:00-04:00,10.0,2025-10-22 10:15:00-04:00,2025-10-22 10:15:00-04:00,0.0,True,False,long,-0.013,,False
2025-10-23T10:10:00-04:00,False,True,2025-10-23 10:10:00-04:00,2025-10-23 14:05:00-04:00,235.0,2025-10-23 10:40:00-04:00,2025-10-23 10:40:00-04:00,30.0,False,False,long,1.277,,True
2025-10-29T10:05:00-04:00,False,True,2025-10-29 10:05:00-04:00,2025-10-29 10:50:00-04:00,45.0,2025-10-29 10:40:00-04:00,2025-10-29 10:40:00-04:00,35.0,False,False,long,-1.026,,False
2025-10-30T10:20:00-04:00,True,False,2025-10-30 10:20:00-04:00,2025-10-30 14:15:00-04:00,235.0,2025-10-30 10:20:00-04:00,2025-10-30 10:20:00-04:00,0.0,True,False,long,0.394,,True
2025-11-03T10:35:00-05:00,False,True,2025-11-03 10:35:00-05:00,2025-11-03 12:10:00-05:00,95.0,2025-11-03 11:20:00-05:00,2025-11-03 11:20:00-05:00,45.0,False,False,short,-1.011,,False
2025-11-05T10:20:00-05:00,False,True,2025-11-05 10:20:00-05:00,2025-11-05 13:50:00-05:00,210.0,2025-11-05 10:45:00-05:00,2025-11-05 10:45:00-05:00,25.0,False,False,long,1.498,,True
2025-11-12T10:05:00-05:00,False,True,2025-11-12 10:05:00-05:00,2025-11-12 14:00:00-05:00,235.0,2025-11-12 10:35:00-05:00,2025-11-12 10:35:00-05:00,30.0,False,False,short,0.671,,True
2025-11-17T10:00:00-05:00,False,True,2025-11-17 10:00:00-05:00,2025-11-17 11:15:00-05:00,75.0,2025-11-17 10:35:00-05:00,2025-11-17 10:35:00-05:00,35.0,False,False,long,-1.003,,False
2025-11-20T11:25:00-05:00,False,True,2025-11-20 11:25:00-05:00,2025-11-20 11:45:00-05:00,20.0,2025-11-20 12:10:00-05:00,2025-11-20 12:10:00-05:00,45.0,False,False,short,1.499,,True
2025-11-21T10:25:00-05:00,False,True,2025-11-21 10:25:00-05:00,2025-11-21 10:35:00-05:00,10.0,2025-11-21 11:00:00-05:00,2025-11-21 11:00:00-05:00,35.0,False,False,short,1.498,,True
2025-11-26T10:35:00-05:00,True,False,2025-11-26 10:35:00-05:00,2025-11-26 10:55:00-05:00,20.0,2025-11-26 10:35:00-05:00,2025-11-26 10:35:00-05:00,0.0,True,False,short,-0.016,,False
