section,cell,cell_desc,family,damage,pass_pct,bust_pct,exp_pct,pass_count,eligible_starts,funded_per_slot_year,pf_dollar,pass_gt_bust,n_starts,e_paid,med_months,med_paid,closed_max_pct,safety_net_pct
EVAL,C1,"A(600,6)+VPC(600,4)",baseline,0.0,27.8,15.5,56.7,190.0,684.0,4.04,1.362,True,,,,,,
EVAL,C1,"A(600,6)+VPC(600,4)",a_uniform_slip,0.01,24.7,17.1,58.2,169.0,684.0,3.56,1.333,True,,,,,,
EVAL,C1,"A(600,6)+VPC(600,4)",a_uniform_slip,0.02,23.4,17.4,59.2,160.0,684.0,3.35,1.304,True,,,,,,
EVAL,C1,"A(600,6)+VPC(600,4)",a_uniform_slip,0.03,22.1,18.3,59.6,151.0,684.0,3.17,1.276,True,,,,,,
EVAL,C1,"A(600,6)+VPC(600,4)",a_uniform_slip,0.05,20.0,22.5,57.5,137.0,684.0,2.91,1.222,False,,,,,,
EVAL,C1,"A(600,6)+VPC(600,4)",a_uniform_slip,0.075,17.0,24.4,58.6,116.0,684.0,2.45,1.158,False,,,,,,
EVAL,C1,"A(600,6)+VPC(600,4)",a_uniform_slip,0.1,15.6,27.6,56.7,107.0,684.0,2.29,1.099,False,,,,,,
EVAL,C1,"A(600,6)+VPC(600,4)",b_partial_fill,0.25,8.9,19.4,71.6,61.0,684.0,1.2,1.022,False,,,,,,
EVAL,C1,"A(600,6)+VPC(600,4)",b_partial_fill,0.5,0.4,28.4,71.2,3.0,684.0,0.06,0.681,False,,,,,,
EVAL,C1,"A(600,6)+VPC(600,4)",b_partial_fill,0.75,0.0,44.2,55.8,0.0,684.0,0.0,0.341,False,,,,,,
EVAL,C1,"A(600,6)+VPC(600,4)",c_vpc_chase,0.5,26.3,15.9,57.7,180.0,684.0,3.81,1.355,True,,,,,,
EVAL,C1,"A(600,6)+VPC(600,4)",c_vpc_chase,1.0,26.2,16.1,57.7,179.0,684.0,3.79,1.347,True,,,,,,
EVAL,C1,"A(600,6)+VPC(600,4)",d_a_only_control,0.05,23.4,19.9,56.7,160.0,684.0,3.4,1.286,True,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",baseline,0.0,44.6,34.4,21.1,305.0,684.0,8.99,1.408,True,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",a_uniform_slip,0.01,42.8,38.2,19.0,293.0,684.0,8.7,1.378,True,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",a_uniform_slip,0.02,40.4,40.9,18.7,276.0,684.0,8.23,1.348,False,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",a_uniform_slip,0.03,39.2,42.4,18.4,268.0,684.0,8.06,1.32,False,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",a_uniform_slip,0.05,36.5,44.9,18.6,250.0,684.0,7.55,1.265,False,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",a_uniform_slip,0.075,33.5,45.9,20.6,229.0,684.0,6.78,1.2,False,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",a_uniform_slip,0.1,28.9,51.8,19.3,198.0,684.0,5.9,1.138,False,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",b_partial_fill,0.25,20.6,42.8,36.5,141.0,684.0,3.52,1.056,False,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",b_partial_fill,0.5,3.9,53.4,42.7,27.0,684.0,0.63,0.704,False,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",b_partial_fill,0.75,0.0,77.8,22.2,0.0,684.0,0.0,0.352,False,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",c_vpc_chase,0.5,44.4,34.6,20.9,304.0,684.0,8.96,1.403,True,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",c_vpc_chase,1.0,44.3,35.1,20.6,303.0,684.0,8.93,1.397,True,,,,,,
EVAL,C2,"A(1200,10)+VPC(600,4)",d_a_only_control,0.05,38.3,43.7,18.0,262.0,684.0,7.87,1.309,False,,,,,,
EVAL,C3,"A(1200,10)+VPC(400,4)",baseline,0.0,41.5,34.6,23.9,281.0,677.0,7.88,1.421,True,,,,,,
EVAL,C3,"A(1200,10)+VPC(400,4)",a_uniform_slip,0.01,39.7,38.1,22.2,269.0,677.0,7.62,1.39,True,,,,,,
EVAL,C3,"A(1200,10)+VPC(400,4)",a_uniform_slip,0.02,38.0,39.6,22.5,257.0,677.0,7.27,1.361,False,,,,,,
EVAL,C3,"A(1200,10)+VPC(400,4)",a_uniform_slip,0.03,36.6,41.2,22.2,248.0,677.0,6.97,1.333,False,,,,,,
