level,model,params,verdict,n,pf,freq_tr_wk,last6_pos,last6_of,canary_pass,label,reasons,per_year_pf
PDH,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 1, 'exit_type': 1.5}",DEAD,3919,0.795,6.072,1,6,,,PF 0.795 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.756, 2015: 0.598, 2016: 0.647, 2017: 0.744, 2018: 0.722, 2019: 0.721, 2020: 0.876, 2021: 1.021, 2022: 0.759, 2023: 0.839, 2024: 0.811, 2025: 0.981, 2026: 1.154}"
PDH,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 1, 'exit_type': 'exit3'}",DEAD,3919,0.747,6.072,1,6,,,PF 0.747 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.688, 2015: 0.534, 2016: 0.566, 2017: 0.631, 2018: 0.611, 2019: 0.749, 2020: 0.875, 2021: 1.016, 2022: 0.834, 2023: 0.814, 2024: 0.802, 2025: 0.953, 2026: 0.937}"
PDH,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 3, 'exit_type': 1.5}",DEAD,5389,0.809,8.349,1,6,,,PF 0.809 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.756, 2015: 0.672, 2016: 0.731, 2017: 0.727, 2018: 0.753, 2019: 0.724, 2020: 0.861, 2021: 1.014, 2022: 0.725, 2023: 0.942, 2024: 0.802, 2025: 0.99, 2026: 0.964}"
PDH,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 3, 'exit_type': 'exit3'}",DEAD,5389,0.761,8.349,1,6,,,PF 0.761 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.699, 2015: 0.585, 2016: 0.645, 2017: 0.624, 2018: 0.629, 2019: 0.752, 2020: 0.851, 2021: 1.024, 2022: 0.793, 2023: 0.885, 2024: 0.788, 2025: 0.972, 2026: 0.844}"
PDH,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 1, 'exit_type': 1.5}",DEAD,3665,0.823,5.678,2,6,,,PF 0.823 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.779, 2015: 0.637, 2016: 0.697, 2017: 0.801, 2018: 0.749, 2019: 0.751, 2020: 0.866, 2021: 1.04, 2022: 0.774, 2023: 0.842, 2024: 0.814, 2025: 1.002, 2026: 1.174}"
PDH,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 1, 'exit_type': 'exit3'}",DEAD,3665,0.776,5.678,1,6,,,PF 0.776 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.703, 2015: 0.557, 2016: 0.63, 2017: 0.697, 2018: 0.626, 2019: 0.788, 2020: 0.852, 2021: 1.032, 2022: 0.856, 2023: 0.816, 2024: 0.805, 2025: 0.981, 2026: 0.937}"
PDH,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 3, 'exit_type': 1.5}",DEAD,5129,0.83,7.947,2,6,,,PF 0.830 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.776, 2015: 0.711, 2016: 0.774, 2017: 0.766, 2018: 0.771, 2019: 0.744, 2020: 0.853, 2021: 1.032, 2022: 0.735, 2023: 0.946, 2024: 0.804, 2025: 1.006, 2026: 0.974}"
PDH,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 3, 'exit_type': 'exit3'}",DEAD,5129,0.783,7.947,1,6,,,PF 0.783 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.716, 2015: 0.609, 2016: 0.7, 2017: 0.672, 2018: 0.636, 2019: 0.778, 2020: 0.834, 2021: 1.042, 2022: 0.807, 2023: 0.889, 2024: 0.789, 2025: 0.994, 2026: 0.844}"
PDH,break_retest_continuation,{'exit_type': 1.5},DEAD,5622,0.845,8.71,4,6,,,PF 0.845 < 1.15,"{2014: 0.563, 2015: 0.503, 2016: 0.476, 2017: 0.358, 2018: 1.009, 2019: 0.935, 2020: 0.886, 2021: 0.961, 2022: 1.366, 2023: 1.094, 2024: 1.129, 2025: 1.357, 2026: 1.425}"
PDH,break_retest_continuation,{'exit_type': 'exit3'},DEAD,5622,0.822,8.71,5,6,,,PF 0.822 < 1.15,"{2014: 0.545, 2015: 0.481, 2016: 0.46, 2017: 0.327, 2018: 0.942, 2019: 0.719, 2020: 0.948, 2021: 1.024, 2022: 1.556, 2023: 1.071, 2024: 1.008, 2025: 1.442, 2026: 1.638}"
