budget,cap,pf_dollar,eligible_starts,pass_count,bust_count,exp_count,pass_pct,bust_pct,exp_pct,med_days_pass,worst_day_usd,funded_per_slot_year,py2022_n,py2022_pass_pct,py2023_n,py2023_pass_pct,py2024_n,py2024_pass_pct,py2025_n,py2025_pass_pct,py2026_n,py2026_pass_pct,shortlist
200,2,1.367,204,0,0,204,0.0,0.0,100.0,,-311.0,0.0,28,0.0,73,0.0,62,0.0,35,0.0,6,0.0,False
200,3,1.365,204,0,0,204,0.0,0.0,100.0,,-311.0,0.0,28,0.0,73,0.0,62,0.0,35,0.0,6,0.0,False
200,4,1.367,204,0,0,204,0.0,0.0,100.0,,-311.0,0.0,28,0.0,73,0.0,62,0.0,35,0.0,6,0.0,False
200,6,1.372,204,0,0,204,0.0,0.0,100.0,,-311.0,0.0,28,0.0,73,0.0,62,0.0,35,0.0,6,0.0,False
300,2,1.385,331,1,0,330,0.3,0.0,99.7,30.0,-482.0,0.04,76,0.0,86,0.0,83,0.0,65,1.5,21,0.0,False
300,3,1.396,331,1,0,330,0.3,0.0,99.7,30.0,-522.0,0.04,76,0.0,86,0.0,83,0.0,65,1.5,21,0.0,False
300,4,1.393,331,1,0,330,0.3,0.0,99.7,30.0,-522.0,0.04,76,0.0,86,0.0,83,0.0,65,1.5,21,0.0,False
300,6,1.395,331,1,0,330,0.3,0.0,99.7,30.0,-522.0,0.04,76,0.0,86,0.0,83,0.0,65,1.5,21,0.0,False
400,2,1.305,373,8,0,365,2.1,0.0,97.9,22.0,-596.0,0.26,85,0.0,87,0.0,90,2.2,79,7.6,32,0.0,False
400,3,1.334,373,17,0,356,4.6,0.0,95.4,21.0,-1000.0,0.56,85,0.0,87,0.0,90,7.8,79,12.7,32,0.0,False
400,4,1.342,373,17,0,356,4.6,0.0,95.4,21.0,-1000.0,0.56,85,0.0,87,0.0,90,7.8,79,12.7,32,0.0,False
400,6,1.344,373,17,0,356,4.6,0.0,95.4,21.0,-1000.0,0.56,85,0.0,87,0.0,90,7.8,79,12.7,32,0.0,False
500,2,1.308,385,10,0,375,2.6,0.0,97.4,24.0,-699.0,0.32,86,0.0,87,0.0,93,3.2,80,6.2,39,5.1,False
500,3,1.346,385,25,0,360,6.5,0.0,93.5,21.0,-1000.0,0.81,86,2.3,87,1.1,93,8.6,80,12.5,39,10.3,True
500,4,1.359,385,31,1,353,8.1,0.3,91.7,21.0,-1000.0,1.01,86,2.3,87,2.3,93,8.6,80,15.0,39,17.9,True
500,6,1.369,385,32,2,351,8.3,0.5,91.2,21.0,-1000.0,1.04,86,2.3,87,3.4,93,8.6,80,15.0,39,17.9,True
600,2,1.268,388,18,3,367,4.6,0.8,94.6,17.0,-825.0,0.58,86,0.0,87,0.0,93,3.2,83,15.7,39,5.1,False
600,3,1.28,388,30,5,353,7.7,1.3,91.0,17.0,-1000.0,0.97,86,2.3,87,1.1,93,10.8,83,15.7,39,10.3,True
600,4,1.331,388,42,11,335,10.8,2.8,86.3,16.0,-1000.0,1.39,86,4.7,87,4.6,93,14.0,83,16.9,39,17.9,True
600,6,1.349,388,47,17,324,12.1,4.4,83.5,19.0,-1000.0,1.57,86,4.7,87,9.2,93,14.0,83,18.1,39,17.9,True
800,2,1.298,389,22,3,364,5.7,0.8,93.6,18.0,-1000.0,0.71,86,0.0,87,0.0,93,5.4,84,15.5,39,10.3,True
800,3,1.328,389,53,14,322,13.6,3.6,82.8,19.0,-1000.0,1.78,86,9.3,87,3.4,93,21.5,84,17.9,39,17.9,True
800,4,1.33,389,63,46,280,16.2,11.8,72.0,16.0,-1000.0,2.21,86,10.5,87,6.9,93,26.9,84,19.0,39,17.9,True
800,6,1.364,389,78,65,246,20.1,16.7,63.2,15.0,-1000.0,2.9,86,15.1,87,14.9,93,26.9,84,22.6,39,20.5,True
