instrument,year,n,pf,tot_r
YM,2014,125,0.854,-9.68
YM,2015,105,1.181,8.25
YM,2016,100,1.163,7.08
YM,2017,110,1.091,4.23
YM,2018,132,1.334,18.68
YM,2019,127,1.101,5.77
YM,2020,125,1.107,6.2
YM,2021,104,1.125,5.47
YM,2022,121,1.216,11.43
YM,2023,123,1.157,8.41
YM,2024,112,1.446,18.48
YM,2025,126,1.165,8.31
YM,2026,50,0.847,-3.46
RTY,2018,40,0.34,-21.74
RTY,2019,114,0.423,-53.36
RTY,2020,123,0.806,-14.01
RTY,2021,149,0.757,-20.19
RTY,2022,121,0.664,-22.88
RTY,2023,117,1.051,2.93
RTY,2024,113,0.803,-12.71
RTY,2025,115,0.584,-29.15
RTY,2026,46,1.282,6.2
