section,window,condition_type,condition_value,horizon,metric,year,value,n,events_per_week,consistency_flag,years_consistent,pooled_n
A_unconditional,0930_0945,unconditional,ALL,15m,mean_ret_pts,ALL,1.1432735459662582,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,15m,median_ret_pts,ALL,1.4030000000002474,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,15m,mean_ret_atr,ALL,0.00822634567990627,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,15m,median_ret_atr,ALL,0.011178795889082398,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,15m,mfe_p25,ALL,2.6899999999996,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,15m,mfe_p50,ALL,18.039999999999054,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,15m,mfe_p75,ALL,45.95999999999913,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,15m,mae_p25,ALL,0.4359999999996944,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,15m,mae_p50,ALL,15.8700000000008,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,15m,mae_p75,ALL,44.02100000000064,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,15m,up_fraction,ALL,0.5181988742964353,2665,4.916974169741698,True,8.0,2665.0
A_unconditional,0930_0945,unconditional,ALL,15m,up_fraction,2016,0.5155038759689923,258,,,,
A_unconditional,0930_0945,unconditional,ALL,15m,up_fraction,2017,0.48046875,256,,,,
A_unconditional,0930_0945,unconditional,ALL,15m,up_fraction,2018,0.5529411764705883,255,,,,
A_unconditional,0930_0945,unconditional,ALL,15m,up_fraction,2019,0.5291828793774319,257,,,,
A_unconditional,0930_0945,unconditional,ALL,15m,up_fraction,2020,0.5411764705882353,255,,,,
A_unconditional,0930_0945,unconditional,ALL,15m,up_fraction,2021,0.5369649805447471,257,,,,
A_unconditional,0930_0945,unconditional,ALL,15m,up_fraction,2022,0.49224806201550386,258,,,,
A_unconditional,0930_0945,unconditional,ALL,15m,up_fraction,2023,0.5568627450980392,255,,,,
A_unconditional,0930_0945,unconditional,ALL,15m,up_fraction,2024,0.4496124031007752,258,,,,
A_unconditional,0930_0945,unconditional,ALL,15m,up_fraction,2025,0.5215686274509804,255,,,,
A_unconditional,0930_0945,unconditional,ALL,15m,up_fraction,2026,0.5346534653465347,101,,,,
A_unconditional,0930_0945,unconditional,ALL,30m,mean_ret_pts,ALL,1.4943831144465591,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,30m,median_ret_pts,ALL,2.5120000000006257,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,30m,mean_ret_atr,ALL,0.010683471576460274,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,30m,median_ret_atr,ALL,0.01929319072268225,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,30m,mfe_p25,ALL,6.1200000000008,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,30m,mfe_p50,ALL,23.5099999999984,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,30m,mfe_p75,ALL,57.641999999999825,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,30m,mae_p25,ALL,3.875,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,30m,mae_p50,ALL,21.95800000000054,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,30m,mae_p75,ALL,56.11000000000058,2665,4.916974169741698,,,
A_unconditional,0930_0945,unconditional,ALL,30m,up_fraction,ALL,0.526829268292683,2665,4.916974169741698,True,9.0,2665.0
A_unconditional,0930_0945,unconditional,ALL,30m,up_fraction,2016,0.5426356589147286,258,,,,
A_unconditional,0930_0945,unconditional,ALL,30m,up_fraction,2017,0.515625,256,,,,
A_unconditional,0930_0945,unconditional,ALL,30m,up_fraction,2018,0.5686274509803921,255,,,,
A_unconditional,0930_0945,unconditional,ALL,30m,up_fraction,2019,0.490272373540856,257,,,,
A_unconditional,0930_0945,unconditional,ALL,30m,up_fraction,2020,0.5333333333333333,255,,,,
A_unconditional,0930_0945,unconditional,ALL,30m,up_fraction,2021,0.5291828793774319,257,,,,
A_unconditional,0930_0945,unconditional,ALL,30m,up_fraction,2022,0.49612403100775193,258,,,,
A_unconditional,0930_0945,unconditional,ALL,30m,up_fraction,2023,0.5411764705882353,255,,,,
A_unconditional,0930_0945,unconditional,ALL,30m,up_fraction,2024,0.5116279069767442,258,,,,
A_unconditional,0930_0945,unconditional,ALL,30m,up_fraction,2025,0.5215686274509804,255,,,,
A_unconditional,0930_0945,unconditional,ALL,30m,up_fraction,2026,0.5742574257425742,101,,,,
A_unconditional,0930_0945,unconditional,ALL,60m,mean_ret_pts,ALL,2.310792042042058,2664,4.915129151291513,,,
A_unconditional,0930_0945,unconditional,ALL,60m,median_ret_pts,ALL,3.3489999999997053,2664,4.915129151291513,,,
A_unconditional,0930_0945,unconditional,ALL,60m,mean_ret_atr,ALL,0.013077068232938987,2664,4.915129151291513,,,
A_unconditional,0930_0945,unconditional,ALL,60m,median_ret_atr,ALL,0.028389574306099667,2664,4.915129151291513,,,
A_unconditional,0930_0945,unconditional,ALL,60m,mfe_p25,ALL,9.49499999999989,2664,4.915129151291513,,,
A_unconditional,0930_0945,unconditional,ALL,60m,mfe_p50,ALL,29.274000000000342,2664,4.915129151291513,,,
A_unconditional,0930_0945,unconditional,ALL,60m,mfe_p75,ALL,72.14149999999927,2664,4.915129151291513,,,
A_unconditional,0930_0945,unconditional,ALL,60m,mae_p25,ALL,7.300749999999653,2664,4.915129151291513,,,
A_unconditional,0930_0945,unconditional,ALL,60m,mae_p50,ALL,28.995499999999993,2664,4.915129151291513,,,
A_unconditional,0930_0945,unconditional,ALL,60m,mae_p75,ALL,71.84249999999997,2664,4.915129151291513,,,
A_unconditional,0930_0945,unconditional,ALL,60m,up_fraction,ALL,0.536036036036036,2664,4.915129151291513,True,10.0,2664.0
A_unconditional,0930_0945,unconditional,ALL,60m,up_fraction,2016,0.5503875968992248,258,,,,
A_unconditional,0930_0945,unconditional,ALL,60m,up_fraction,2017,0.5078125,256,,,,
A_unconditional,0930_0945,unconditional,ALL,60m,up_fraction,2018,0.5725490196078431,255,,,,
A_unconditional,0930_0945,unconditional,ALL,60m,up_fraction,2019,0.5252918287937743,257,,,,
A_unconditional,0930_0945,unconditional,ALL,60m,up_fraction,2020,0.5843137254901961,255,,,,
A_unconditional,0930_0945,unconditional,ALL,60m,up_fraction,2021,0.5486381322957199,257,,,,
A_unconditional,0930_0945,unconditional,ALL,60m,up_fraction,2022,0.4806201550387597,258,,,,
A_unconditional,0930_0945,unconditional,ALL,60m,up_fraction,2023,0.5215686274509804,255,,,,
A_unconditional,0930_0945,unconditional,ALL,60m,up_fraction,2024,0.5252918287937743,257,,,,
A_unconditional,0930_0945,unconditional,ALL,60m,up_fraction,2025,0.5294117647058824,255,,,,
A_unconditional,0930_0945,unconditional,ALL,60m,up_fraction,2026,0.5742574257425742,101,,,,
A_unconditional,0945_1000,unconditional,ALL,15m,mean_ret_pts,ALL,0.7082442862495583,2669,4.924354243542435,,,
A_unconditional,0945_1000,unconditional,ALL,15m,median_ret_pts,ALL,1.2269999999998618,2669,4.924354243542435,,,
A_unconditional,0945_1000,unconditional,ALL,15m,mean_ret_atr,ALL,0.0023585174174199103,2669,4.924354243542435,,,
A_unconditional,0945_1000,unconditional,ALL,15m,median_ret_atr,ALL,0.01119370913548109,2669,4.924354243542435,,,
A_unconditional,0945_1000,unconditional,ALL,15m,mfe_p25,ALL,3.2100000000000364,2669,4.924354243542435,,,
A_unconditional,0945_1000,unconditional,ALL,15m,mfe_p50,ALL,14.670000000000073,2669,4.924354243542435,,,
A_unconditional,0945_1000,unconditional,ALL,15m,mfe_p75,ALL,38.090000000000146,2669,4.924354243542435,,,
A_unconditional,0945_1000,unconditional,ALL,15m,mae_p25,ALL,2.2080000000005384,2669,4.924354243542435,,,
A_unconditional,0945_1000,unconditional,ALL,15m,mae_p50,ALL,14.75800000000163,2669,4.924354243542435,,,
A_unconditional,0945_1000,unconditional,ALL,15m,mae_p75,ALL,39.94800000000032,2669,4.924354243542435,,,
A_unconditional,0945_1000,unconditional,ALL,15m,up_fraction,ALL,0.5256650430872987,2669,4.924354243542435,True,9.0,2669.0
A_unconditional,0945_1000,unconditional,ALL,15m,up_fraction,2016,0.5426356589147286,258,,,,
A_unconditional,0945_1000,unconditional,ALL,15m,up_fraction,2017,0.546875,256,,,,
A_unconditional,0945_1000,unconditional,ALL,15m,up_fraction,2018,0.54296875,256,,,,
A_unconditional,0945_1000,unconditional,ALL,15m,up_fraction,2019,0.5291828793774319,257,,,,
A_unconditional,0945_1000,unconditional,ALL,15m,up_fraction,2020,0.5330739299610895,257,,,,
A_unconditional,0945_1000,unconditional,ALL,15m,up_fraction,2021,0.5408560311284046,257,,,,
A_unconditional,0945_1000,unconditional,ALL,15m,up_fraction,2022,0.4496124031007752,258,,,,
A_unconditional,0945_1000,unconditional,ALL,15m,up_fraction,2023,0.51953125,256,,,,
A_unconditional,0945_1000,unconditional,ALL,15m,up_fraction,2024,0.5271317829457365,258,,,,
A_unconditional,0945_1000,unconditional,ALL,15m,up_fraction,2025,0.5411764705882353,255,,,,
A_unconditional,0945_1000,unconditional,ALL,15m,up_fraction,2026,0.48514851485148514,101,,,,
