section,window,condition_type,condition_value,horizon,metric,year,value,n,events_per_week,consistency_flag,years_consistent,pooled_n
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,hold_rate,ALL,0.75,36,0.06642066420664207,False,10.0,36.0
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,hold_rate,2016,0.5,6,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,hold_rate,2017,1.0,2,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,hold_rate,2018,1.0,2,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,hold_rate,2019,0.6666666666666666,3,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,hold_rate,2020,0.8333333333333334,6,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,hold_rate,2021,1.0,3,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,hold_rate,2022,1.0,1,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,hold_rate,2023,0.6,5,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,hold_rate,2024,1.0,1,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,hold_rate,2025,0.75,4,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,hold_rate,2026,0.6666666666666666,3,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,pullback_depth_frac_mean,ALL,1.2363641197643838,36,0.06642066420664207,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,pullback_depth_frac_p25,ALL,0.3067891998883097,36,0.06642066420664207,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,pullback_depth_frac_p50,ALL,0.9815392001520427,36,0.06642066420664207,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,pullback_depth_frac_p75,ALL,1.8697937721123299,36,0.06642066420664207,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,continuation_after_pullback_rate,ALL,0.9583333333333334,24,0.04428044280442804,False,9.0,24.0
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,continuation_after_pullback_rate,2016,1.0,4,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,continuation_after_pullback_rate,2017,1.0,2,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,continuation_after_pullback_rate,2018,1.0,1,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,continuation_after_pullback_rate,2020,1.0,5,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,continuation_after_pullback_rate,2021,1.0,2,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,continuation_after_pullback_rate,2022,1.0,1,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,continuation_after_pullback_rate,2023,1.0,4,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,continuation_after_pullback_rate,2025,0.75,4,,,,
C_opening_drive,drive_5m,drive_class,all_strong_drives,to_1130,continuation_after_pullback_rate,2026,1.0,1,,,,
