workstream,analysis,metric,n,value,n_years_match,n_years_total,consistent,prior_side,horizon_min,dir,event_type,bucket,tod,sweep_any,quadrant
D,D1_first_touch_hold,held,1376,0.6395,11,11,True,above,30.0,,,,,,
D,D1_first_touch_hold,held,1376,0.6126,11,11,True,above,60.0,,,,,,
D,D1_first_touch_hold,held,1299,0.5689,10,11,True,below,30.0,,,,,,
D,D1_first_touch_hold,held,1299,0.5173,8,11,True,below,60.0,,,,,,
D,D2_reclaim_rejection,cont_frac,2518,0.469,9,11,True,,30.0,down,plain_cross_shallow,,,,
D,D2_reclaim_rejection,cont_frac,2518,0.4611,7,11,False,,60.0,down,plain_cross_shallow,,,,
D,D2_reclaim_rejection,cont_frac,3150,0.4917,6,11,False,,30.0,down,rejection,,,,
D,D2_reclaim_rejection,cont_frac,3150,0.4867,6,11,False,,60.0,down,rejection,,,,
D,D2_reclaim_rejection,cont_frac,2853,0.5429,10,11,True,,30.0,up,plain_cross_shallow,,,,
D,D2_reclaim_rejection,cont_frac,2853,0.5331,10,11,True,,60.0,up,plain_cross_shallow,,,,
D,D2_reclaim_rejection,cont_frac,3158,0.526,8,11,True,,30.0,up,reclaim,,,,
D,D2_reclaim_rejection,cont_frac,3158,0.531,9,11,True,,60.0,up,reclaim,,,,
D,D2_reclaim_rejection_mfe,mfe_atr,2518,1.2093,11,11,True,,30.0,down,plain_cross_shallow,,,,
D,D2_reclaim_rejection_mfe,mfe_atr,2518,1.65,11,11,True,,60.0,down,plain_cross_shallow,,,,
D,D2_reclaim_rejection_mfe,mfe_atr,3150,1.3172,11,11,True,,30.0,down,rejection,,,,
D,D2_reclaim_rejection_mfe,mfe_atr,3150,1.8336,11,11,True,,60.0,down,rejection,,,,
D,D2_reclaim_rejection_mfe,mfe_atr,2853,1.0352,11,11,True,,30.0,up,plain_cross_shallow,,,,
D,D2_reclaim_rejection_mfe,mfe_atr,2853,1.4039,11,11,True,,60.0,up,plain_cross_shallow,,,,
D,D2_reclaim_rejection_mfe,mfe_atr,3158,1.0431,11,11,True,,30.0,up,reclaim,,,,
