workstream,analysis,metric,n,value,n_years_match,n_years_total,consistent,flag,n_false,false_value,diff,c_on,c_pm,c_atr5open,c_or30,c_priorrange,c_insideday,n_flags_true,same_dir_as_first
E,E_a_full_session_expansion,range_vs_atr,799,0.8361,10,11,True,c_on,1865.0,0.9493,-0.1132,,,,,,,,
E,E_a_full_session_expansion,directionality,799,0.4926,7,11,False,c_on,1879.0,0.4789,0.0136,,,,,,,,
E,E_a_full_session_expansion,range_vs_atr,794,0.7964,11,11,True,c_pm,1870.0,0.9659,-0.1695,,,,,,,,
E,E_a_full_session_expansion,directionality,794,0.4777,6,11,False,c_pm,1884.0,0.4853,-0.0076,,,,,,,,
E,E_a_full_session_expansion,range_vs_atr,793,0.7791,11,11,True,c_atr5open,1871.0,0.9731,-0.194,,,,,,,,
E,E_a_full_session_expansion,directionality,793,0.4809,5,11,False,c_atr5open,1885.0,0.4839,-0.0029,,,,,,,,
E,E_a_full_session_expansion,range_vs_atr,777,0.7286,11,11,True,c_or30,1887.0,0.9923,-0.2636,,,,,,,,
E,E_a_full_session_expansion,directionality,777,0.4659,7,11,False,c_or30,1901.0,0.49,-0.0241,,,,,,,,
E,E_a_full_session_expansion,range_vs_atr,784,0.8523,8,11,True,c_priorrange,1880.0,0.9417,-0.0893,,,,,,,,
E,E_a_full_session_expansion,directionality,784,0.4719,7,11,False,c_priorrange,1894.0,0.4876,-0.0157,,,,,,,,
E,E_a_full_session_expansion,range_vs_atr,287,0.945,8,11,True,c_insideday,2377.0,0.9118,0.0332,,,,,,,,
E,E_a_full_session_expansion,directionality,288,0.4796,5,11,False,c_insideday,2390.0,0.4834,-0.0038,,,,,,,,
E,E_a_intersection_3plus_flags,range_vs_atr,733,0.7741,11,11,True,c_any3plus,1931.0,0.969,-0.1949,,,,,,,,
E,E_a_intersection_3plus_flags,directionality,733,0.4831,7,11,False,c_any3plus,1945.0,0.483,0.0001,,,,,,,,
E,E_a_intersection_all6_flags,range_vs_atr,15,0.6775,7,11,False,c_all6,2649.0,0.9167,-0.2392,,,,,,,,
E,E_a_intersection_all6_flags,directionality,15,0.3542,7,11,False,c_all6,2663.0,0.4837,-0.1295,,,,,,,,
