stream,split,value,n,WR,PF,expR,totR_share_pct,pooled_expR,effect_vs_pooled,n_out,WR_out,PF_out,expR_out,consistent_years,eligible_years,flag_concentration
unfiltered_705,gap_and_go_1000,TRUE,82,31.7,0.742,-0.148,-16.2,0.106,-0.254,623,44.3,1.324,0.139,5,6,True
unfiltered_705,gap_fill_1000,TRUE,101,40.6,0.943,-0.03,-4.0,0.106,-0.136,604,43.2,1.296,0.129,4,6,True
unfiltered_705,trend_up_dev_1000,TRUE,11,27.3,0.444,-0.387,-5.7,0.106,-0.493,694,43.1,1.257,0.114,5,6,False
unfiltered_705,trend_dn_dev_1000,TRUE,17,58.8,3.23,0.506,11.5,0.106,0.4,688,42.4,1.212,0.096,5,5,False
unfiltered_705,range_dev_1000,TRUE,218,40.8,1.207,0.094,27.4,0.106,-0.012,487,43.7,1.251,0.111,2,6,False
unfiltered_705,high_vol_1000,TRUE,256,40.2,1.213,0.095,32.6,0.106,-0.011,449,44.3,1.251,0.112,4,6,False
unfiltered_705,low_vol_1000,TRUE,210,46.2,1.324,0.144,40.5,0.106,0.038,495,41.4,1.2,0.09,4,6,False
unfiltered_705,gap_fill_1030,TRUE,145,42.1,1.009,0.004,0.9,0.106,-0.102,560,43.0,1.306,0.132,4,6,True
kept_583,gap_and_go_1000,TRUE,56,30.4,0.647,-0.218,-13.7,0.153,-0.371,527,46.5,1.477,0.193,5,6,False
kept_583,gap_fill_1000,TRUE,93,44.1,1.115,0.055,5.7,0.153,-0.098,490,45.1,1.415,0.172,4,6,False
kept_583,trend_up_dev_1000,TRUE,11,27.3,0.444,-0.387,-4.8,0.153,-0.54,572,45.3,1.39,0.163,5,6,False
kept_583,trend_dn_dev_1000,TRUE,15,66.7,6.807,0.708,11.9,0.153,0.555,568,44.4,1.32,0.138,5,5,False
kept_583,range_dev_1000,TRUE,167,43.7,1.402,0.167,31.2,0.153,0.014,416,45.4,1.345,0.148,3,6,False
kept_583,high_vol_1000,TRUE,215,42.8,1.371,0.156,37.7,0.153,0.003,368,46.2,1.354,0.151,4,6,False
kept_583,low_vol_1000,TRUE,171,50.3,1.557,0.23,44.0,0.153,0.077,412,42.7,1.282,0.121,5,6,False
