stream,base,tag,value,n_removed,n_remaining,before_pass_pct,after_pass_pct,before_bust_pct,after_bust_pct,before_exp_pct,after_exp_pct,before_pass_count,after_pass_count,before_eligible_starts,after_eligible_starts,before_funded_per_slot_year,after_funded_per_slot_year,delta_funded_per_slot_year,years_hold,years_eligible,auto_reject_denominator_artifact,raises_funded_per_slot_year,NOMINEE
unfiltered_705,"10,$1200",time_pocket,30-60m(10:00-10:30),204,501,34.0,18.1,44.5,40.3,21.5,41.6,212,81,623,447,6.8289,3.0344,-3.7945,0,6,False,False,False
unfiltered_705,"10,$1200",time_pocket,0-30m(09:30-10:00),268,437,34.0,30.5,44.5,35.9,21.5,33.7,212,124,623,407,6.8289,5.1862,-1.6427,1,6,False,False,False
unfiltered_705,"10,$1200",time_pocket,90-120m(11:00-11:30),81,624,34.0,28.2,44.5,41.7,21.5,30.1,212,158,623,561,6.8289,5.1846,-1.6443,1,6,False,False,False
unfiltered_705,"10,$1200",time_pocket,60-90m(10:30-11:00),107,598,34.0,34.1,44.5,37.5,21.5,28.4,212,183,623,536,6.8289,6.2585,-0.5704,3,6,True,False,False
unfiltered_705,"10,$1200",time_pocket,120-150m(11:30-12:00),26,679,34.0,34.0,44.5,45.3,21.5,20.7,212,205,623,603,6.8289,6.7952,-0.0337,3,6,False,False,False
unfiltered_705,"10,$1200",time_pocket,unknown,17,688,34.0,33.0,44.5,45.2,21.5,21.9,212,202,623,613,6.8289,6.6117,-0.2172,3,6,False,False,False
unfiltered_705,"10,$1200",time_pocket,150m+(12:00+),2,703,34.0,33.9,44.5,44.5,21.5,21.5,212,211,623,622,6.8289,6.7931,-0.0358,5,6,False,False,False
unfiltered_705,"10,$1200",direction,short,384,321,34.0,10.0,44.5,30.2,21.5,59.8,212,29,623,291,6.8289,1.4548,-5.3741,0,6,False,False,False
unfiltered_705,"10,$1200",direction,long,321,384,34.0,24.4,44.5,28.4,21.5,47.2,212,86,623,352,6.8289,3.8015,-3.0274,1,6,False,False,False
unfiltered_705,"10,$1200",stop_bucket,0-30,249,456,34.0,28.4,44.5,48.2,21.5,23.4,212,120,623,423,6.8289,5.5756,-1.2533,0,6,False,False,False
