stream,tag,value,n,loser_share_pct,trade_share_pct,lift,WR_inside,PF_inside,expR_inside,WR_outside,PF_outside,expR_outside,n_losers_inside
unfiltered_705,time_pocket,30-60m(10:00-10:30),204,24.1,28.9,0.832,52.5,1.843,0.306,38.9,1.051,0.024,97
unfiltered_705,time_pocket,0-30m(09:30-10:00),268,40.9,38.0,1.077,38.4,1.112,0.053,45.5,1.321,0.138,165
unfiltered_705,time_pocket,90-120m(11:00-11:30),81,10.7,11.5,0.929,46.9,1.213,0.099,42.3,1.24,0.107,43
unfiltered_705,time_pocket,60-90m(10:30-11:00),107,17.6,15.2,1.161,33.6,0.789,-0.115,44.5,1.339,0.145,71
unfiltered_705,time_pocket,120-150m(11:30-12:00),26,4.2,3.7,1.144,34.6,1.042,0.016,43.2,1.243,0.109,17
unfiltered_705,time_pocket,unknown,17,2.2,2.4,0.926,47.1,1.075,0.036,42.7,1.241,0.108,9
unfiltered_705,time_pocket,150m+(12:00+),2,0.2,0.3,0.875,50.0,6.806,0.64,42.8,1.233,0.104,1
unfiltered_705,direction,short,384,53.8,54.5,0.989,43.5,1.291,0.123,42.1,1.179,0.085,217
unfiltered_705,direction,long,321,46.2,45.5,1.014,42.1,1.179,0.085,43.5,1.291,0.123,186
unfiltered_705,stop_bucket,0-30,249,38.7,35.3,1.096,37.3,1.115,0.057,45.8,1.316,0.133,156
unfiltered_705,stop_bucket,30-45,164,24.8,23.3,1.067,39.0,1.077,0.038,44.0,1.293,0.126,100
unfiltered_705,stop_bucket,60-75,76,9.9,10.8,0.921,47.4,1.468,0.201,42.3,1.21,0.094,40
unfiltered_705,stop_bucket,75-90,49,5.2,7.0,0.75,57.1,1.855,0.278,41.8,1.204,0.093,21
unfiltered_705,stop_bucket,45-60,95,14.1,13.5,1.05,40.0,1.114,0.049,43.3,1.255,0.115,57
unfiltered_705,stop_bucket,90-inf,72,7.2,10.2,0.705,59.7,2.013,0.287,40.9,1.183,0.085,29
unfiltered_705,d1c_keep,True,583,79.7,82.7,0.963,44.9,1.361,0.153,32.8,0.784,-0.119,321
unfiltered_705,d1c_keep,False,122,20.3,17.3,1.176,32.8,0.784,-0.119,44.9,1.361,0.153,82
unfiltered_705,drift_strength_quintile,driftQ2,137,20.6,19.4,1.06,39.4,1.229,0.103,43.7,1.239,0.106,83
unfiltered_705,drift_strength_quintile,driftQ1,138,23.3,19.6,1.192,31.9,0.762,-0.14,45.5,1.401,0.166,94
