scope,feature,stamp,label,bin,is_hit,is_n,oos_hit,oos_n,monotone
single,gap_atr,1000,L1_next30m_dir,Q1,0.5181058495821727,359,0.5659340659340659,182,False
single,gap_atr,1000,L1_next30m_dir,Q2,0.5139664804469274,358,0.47337278106508873,169,False
single,gap_atr,1000,L1_next30m_dir,Q3,0.5279329608938548,358,0.5142857142857142,175,False
single,gap_atr,1000,L1_next30m_dir,Q4,0.5195530726256983,358,0.5297619047619048,168,False
single,gap_atr,1000,L1_next30m_dir,Q5,0.5251396648044693,358,0.5642458100558659,179,False
single,gap_atr,1000,L2_next60m_dir,Q1,0.5013927576601671,359,0.5604395604395604,182,False
single,gap_atr,1000,L2_next60m_dir,Q2,0.5642458100558659,358,0.5088757396449705,169,False
single,gap_atr,1000,L2_next60m_dir,Q3,0.5307262569832403,358,0.56,175,False
single,gap_atr,1000,L2_next60m_dir,Q4,0.5418994413407822,358,0.48214285714285715,168,False
single,gap_atr,1000,L2_next60m_dir,Q5,0.5195530726256983,358,0.4748603351955307,179,False
single,gap_atr,1000,L3_race_atr,Q1,0.48132780082987553,241,0.5726495726495726,117,False
single,gap_atr,1000,L3_race_atr,Q2,0.45320197044334976,203,0.5056179775280899,89,False
single,gap_atr,1000,L3_race_atr,Q3,0.5,166,0.5157894736842106,95,False
single,gap_atr,1000,L3_race_atr,Q4,0.47023809523809523,168,0.4838709677419355,93,False
single,gap_atr,1000,L3_race_atr,Q5,0.4449760765550239,209,0.42574257425742573,101,False
single,gap_atr,1000,L4_revert_vwap,Q1,,0,,0,False
single,gap_atr,1000,L4_revert_vwap,Q2,,0,,0,False
single,gap_atr,1000,L4_revert_vwap,Q3,,0,,0,False
single,gap_atr,1000,L4_revert_vwap,Q4,,0,,0,False
single,gap_atr,1000,L4_revert_vwap,Q5,,0,,0,False
single,gap_atr,1000,L5_or30_cont,Q1,,0,,0,False
single,gap_atr,1000,L5_or30_cont,Q2,,0,,0,False
single,gap_atr,1000,L5_or30_cont,Q3,,0,,0,False
single,gap_atr,1000,L5_or30_cont,Q4,,0,,0,False
single,gap_atr,1000,L5_or30_cont,Q5,,0,,0,False
single,gap_atr,1030,L1_next30m_dir,Q1,0.4986072423398329,359,0.5604395604395604,182,False
single,gap_atr,1030,L1_next30m_dir,Q2,0.4972067039106145,358,0.5739644970414202,169,False
single,gap_atr,1030,L1_next30m_dir,Q3,0.5223463687150838,358,0.5485714285714286,175,False
single,gap_atr,1030,L1_next30m_dir,Q4,0.5558659217877095,358,0.49404761904761907,168,False
single,gap_atr,1030,L1_next30m_dir,Q5,0.5111731843575419,358,0.4581005586592179,179,False
single,gap_atr,1030,L2_next60m_dir,Q1,0.5111731843575419,358,0.5414364640883977,181,False
single,gap_atr,1030,L2_next60m_dir,Q2,0.5140449438202247,356,0.49404761904761907,168,False
single,gap_atr,1030,L2_next60m_dir,Q3,0.5446927374301676,358,0.5428571428571428,175,False
single,gap_atr,1030,L2_next60m_dir,Q4,0.5646067415730337,356,0.5238095238095238,168,False
single,gap_atr,1030,L2_next60m_dir,Q5,0.547486033519553,358,0.5363128491620112,179,False
single,gap_atr,1030,L3_race_atr,Q1,0.4909090909090909,220,0.494949494949495,99,False
single,gap_atr,1030,L3_race_atr,Q2,0.41361256544502617,191,0.5128205128205128,78,False
single,gap_atr,1030,L3_race_atr,Q3,0.4716981132075472,159,0.5189873417721519,79,False
single,gap_atr,1030,L3_race_atr,Q4,0.4397163120567376,141,0.43529411764705883,85,False
single,gap_atr,1030,L3_race_atr,Q5,0.42777777777777776,180,0.3707865168539326,89,False
single,gap_atr,1030,L4_revert_vwap,Q1,0.0,1,,0,True
single,gap_atr,1030,L4_revert_vwap,Q2,0.0,1,,0,True
single,gap_atr,1030,L4_revert_vwap,Q3,,0,,0,True
single,gap_atr,1030,L4_revert_vwap,Q4,,0,,0,True
single,gap_atr,1030,L4_revert_vwap,Q5,0.0,1,,0,True
single,gap_atr,1030,L5_or30_cont,Q1,0.723404255319149,94,0.7560975609756098,41,True
