variant,slip,eligible_starts,pass_count,bust_count,exp_count,pass_pct,bust_pct,exp_pct,med_days_pass,funded_per_slot_year,pf_dollar,trades_per_week,same_day_corr,dl_freq_pct,tl_freq_pct,n_a_rows_used,py2022_n,py2022_pass_pct,py2023_n,py2023_pass_pct,py2024_n,py2024_pass_pct,py2025_n,py2025_pass_pct,py2026_n,py2026_pass_pct
base,0.0,684,190,106,388,27.8,15.5,56.7,18,4.04,1.362,3.95,0.164,9.3,53.9,513,151,17.9,160,18.8,152,22.4,160,44.4,61,45.9
base,0.02,684,160,119,405,23.4,17.4,59.2,19,3.35,1.304,3.95,0.164,9.3,53.9,513,151,16.6,160,12.5,152,17.8,160,38.1,61,44.3
base,0.05,684,137,154,393,20.0,22.5,57.5,18,2.91,1.222,3.95,0.164,9.3,53.9,513,151,15.9,160,8.1,152,13.2,160,33.1,61,44.3
S1,0.0,684,180,83,421,26.3,12.1,61.5,19,3.73,1.388,3.95,0.164,9.3,53.9,513,151,17.9,160,19.4,152,22.4,160,38.1,61,44.3
S1,0.02,684,149,98,437,21.8,14.3,63.9,19,3.05,1.328,3.95,0.164,9.3,53.9,513,151,16.6,160,12.5,152,18.4,160,31.9,61,41.0
S1,0.05,684,134,132,418,19.6,19.3,61.1,19,2.79,1.244,3.95,0.164,9.3,53.9,513,151,15.9,160,8.8,152,15.1,160,30.0,61,41.0
S2,0.0,625,160,66,399,25.6,10.6,63.8,20,3.6,1.431,3.45,0.153,7.6,53.0,398,140,18.6,143,18.9,136,22.1,148,37.2,58,37.9
S2,0.02,625,133,74,418,21.3,11.8,66.9,20,2.95,1.368,3.45,0.153,7.6,53.0,398,140,15.7,143,13.3,136,16.2,148,33.1,58,36.2
S2,0.05,625,115,89,421,18.4,14.2,67.4,18,2.58,1.281,3.45,0.153,7.6,53.0,398,140,13.6,143,12.6,136,13.2,148,28.4,58,31.0
D1,0.0,684,189,106,389,27.6,15.5,56.9,19,4.01,1.362,3.95,0.164,9.3,53.9,513,151,17.9,160,18.8,152,21.7,160,44.4,61,45.9
D1,0.02,684,160,119,405,23.4,17.4,59.2,19,3.35,1.304,3.95,0.164,9.3,53.9,513,151,16.6,160,12.5,152,17.8,160,38.1,61,44.3
D1,0.05,684,136,154,394,19.9,22.5,57.6,18,2.89,1.222,3.95,0.164,9.3,53.9,513,151,15.9,160,8.1,152,12.5,160,33.1,61,44.3
D2,0.0,683,187,106,390,27.4,15.5,57.1,18,3.97,1.362,3.94,0.164,9.3,54.0,512,151,17.9,160,18.8,151,20.5,160,44.4,61,45.9
D2,0.02,683,159,119,405,23.3,17.4,59.3,19,3.34,1.303,3.94,0.164,9.3,54.0,512,151,16.6,160,12.5,151,17.2,160,38.1,61,44.3
D2,0.05,683,136,154,393,19.9,22.5,57.5,18,2.9,1.222,3.94,0.164,9.3,54.0,512,151,15.9,160,8.1,151,12.6,160,33.1,61,44.3
SD1,0.0,684,179,83,422,26.2,12.1,61.7,20,3.71,1.387,3.95,0.164,9.3,53.9,513,151,17.9,160,19.4,152,21.7,160,38.1,61,44.3
SD1,0.02,684,149,98,437,21.8,14.3,63.9,19,3.05,1.328,3.95,0.164,9.3,53.9,513,151,16.6,160,12.5,152,18.4,160,31.9,61,41.0
SD1,0.05,684,133,132,419,19.4,19.3,61.3,19,2.77,1.244,3.95,0.164,9.3,53.9,513,151,15.9,160,8.8,152,14.5,160,30.0,61,41.0
