pd_tf,sig_tf,session,tick_mult,disp_min,disc,entry_style,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
1h,5m,ny_am,1,1,False,top,fixed2r,243,0.376,32.1,0.74,-0.214,-52.0,-55.4,14.7
1h,5m,ny_am,1,1,False,top,exit3,243,0.376,32.1,0.66,-0.231,-56.0,-57.6,14.7
1h,5m,ny_am,1,1,False,mid,fixed2r,241,0.373,31.1,0.72,-0.221,-53.2,-57.7,14.56
1h,5m,ny_am,1,1,False,mid,exit3,241,0.373,31.1,0.66,-0.221,-53.4,-54.8,14.56
1h,5m,ny_am,1,1,True,top,fixed2r,126,0.195,28.6,0.6,-0.351,-44.2,-43.1,13.65
1h,5m,ny_am,1,1,True,top,exit3,126,0.195,28.6,0.52,-0.351,-44.2,-43.1,13.65
1h,5m,ny_am,1,1,True,mid,fixed2r,126,0.195,27.8,0.61,-0.33,-41.6,-40.5,14.45
1h,5m,ny_am,1,1,True,mid,exit3,126,0.195,27.8,0.53,-0.334,-42.1,-41.0,14.45
1h,5m,ny_am,1,2,False,top,fixed2r,207,0.32,32.4,0.8,-0.15,-31.0,-34.5,15.3
1h,5m,ny_am,1,2,False,top,exit3,207,0.32,32.4,0.73,-0.16,-33.0,-34.6,15.3
1h,5m,ny_am,1,2,False,mid,fixed2r,206,0.318,30.6,0.74,-0.2,-41.2,-44.8,15.75
1h,5m,ny_am,1,2,False,mid,exit3,206,0.318,30.6,0.7,-0.183,-37.7,-37.8,15.75
1h,5m,ny_am,1,2,True,top,fixed2r,104,0.161,31.7,0.76,-0.19,-19.8,-18.7,15.0
1h,5m,ny_am,1,2,True,top,exit3,104,0.161,31.7,0.68,-0.205,-21.3,-20.2,15.0
1h,5m,ny_am,1,2,True,mid,fixed2r,104,0.161,28.8,0.66,-0.271,-28.2,-27.1,15.28
1h,5m,ny_am,1,2,True,mid,exit3,104,0.161,28.8,0.61,-0.252,-26.2,-25.1,15.28
1h,5m,ny_am,3,1,False,top,fixed2r,232,0.359,32.3,0.75,-0.205,-47.6,-51.1,15.28
1h,5m,ny_am,3,1,False,top,exit3,232,0.359,32.3,0.66,-0.225,-52.2,-53.8,15.28
