ts,direction,entry,stop,target,risk_usd,R,mae_r,sweep_bar,mss_bar,fill_bar,d1c_keep,b1_fvg_h1_in,b1_fvg_h1_near,b1_fvg_h4_in,b1_fvg_h4_near,b1_fvg_d1_in,b1_fvg_d1_near,b1_pdhl_10,b1_pdhl_20,b1_h1swing_10,b1_h1swing_20,b2_disp_fvg_confirm,b3_ote_fvg_confluence,b4_smt_es,b4_smt_ym,b4_smt_rty,b4_smt_es_testable,b4_smt_ym_testable,b4_smt_rty_testable
2021-06-25 10:25:00-04:00,-1,14368.67,14390.75,14324.51,44.159999999999854,1.5,-0.1847826086956495,711,713,719,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
2021-06-29 10:15:00-04:00,1,14488.5,14470.0,14525.51,37.0,1.5002702702702762,-0.6081081081081081,1257,1258,1266,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
2021-07-07 09:55:00-04:00,-1,14842.81,14884.25,14759.94,82.88000000000102,1.4998793436293192,-0.08301158301159428,2867,2868,2870,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True
2021-07-08 10:35:00-04:00,1,14602.04,14540.0,14726.1,124.08000000000175,1.4998388136685827,-0.5809155383623528,3146,3152,3154,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True
2021-07-12 10:05:00-04:00,-1,14823.12,14858.5,14752.36,70.7599999999984,-0.5053702656868175,-0.9717354437535324,3698,3699,3700,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True
2021-07-15 09:55:00-04:00,-1,14870.6,14902.75,14806.31,64.29999999999927,1.4998444790046905,-0.7822706065318793,4521,4522,4526,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True
2021-07-16 10:50:00-04:00,-1,14779.94,14816.5,14706.82,73.11999999999898,1.5000000000000249,-0.18626914660830377,4806,4807,4813,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
2021-07-27 09:50:00-04:00,-1,15067.46,15107.5,14987.38,80.08000000000175,1.4999999999999774,-0.1008991008991205,6731,6732,6733,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
2021-07-28 10:00:00-04:00,-1,14992.59,15022.75,14932.28,60.31999999999971,-1.01657824933687,-1.0497347480106103,7005,7006,7011,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True
2021-07-30 10:25:00-04:00,1,14935.44,14890.5,15025.31,89.88000000000102,0.28504672897194805,-0.5605251446372992,7561,7562,7568,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True
2021-08-02 09:55:00-04:00,-1,14973.32,15045.0,14829.97,143.36000000000058,-1.0069754464285714,-1.0313895089285714,7835,7836,7838,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,True
2021-08-04 10:00:00-04:00,1,15033.04,15018.0,15063.11,30.080000000001746,-0.0166223404255309,-1.0498670212765928,8389,8390,8391,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True
2021-08-10 09:45:00-04:00,-1,15141.2,15154.25,15115.11,26.099999999998545,-1.0383141762452128,-1.2298850574712772,9489,9490,9492,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True
2021-08-11 12:00:00-04:00,-1,15001.5,15044.5,14915.5,86.0,-0.47093023255813954,-0.7151162790697675,9783,9784,9795,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,True
2021-08-18 10:40:00-04:00,1,14999.96,14974.5,15050.87,50.919999999998254,-1.019638648860959,-1.019638648860959,11148,11149,11159,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
2021-08-19 09:40:00-04:00,1,14786.99,14763.25,14834.47,47.47999999999956,1.5,-0.5787700084245959,11421,11422,11423,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True
2021-08-24 09:50:00-04:00,1,15327.02,15320.5,15340.06,13.040000000000873,1.4999999999998606,-0.8849693251533819,12249,12251,12253,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,True,True
2021-08-25 10:15:00-04:00,-1,15377.75,15397.5,15338.25,39.5,1.5,-0.4050632911392405,12528,12532,12534,True,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,True,True,True
2021-08-26 10:35:00-04:00,-1,15304.14,15351.0,15210.43,93.72000000000116,-0.0053350405463080675,-1.0053350405463082,12812,12813,12814,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
2021-09-02 10:25:00-04:00,-1,15633.8,15661.5,15578.42,55.400000000001455,1.4996389891696342,-0.8104693140794273,14189,14190,14192,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True
2021-09-03 10:35:00-04:00,1,15610.43,15570.75,15689.78,79.36000000000058,1.0301159274193474,-0.16834677419355448,14462,14463,14470,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True
2021-09-10 10:25:00-04:00,-1,15618.22,15657.5,15539.66,78.56000000000131,1.499999999999977,-0.06440936863545348,15797,15798,15800,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True
2021-09-22 10:10:00-04:00,1,15088.06,15025.25,15213.69,125.61999999999898,1.1303932494825757,-0.07259990447380238,18003,18004,18005,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True
2021-09-23 11:05:00-04:00,1,15292.81,15271.5,15335.43,42.61999999999898,-1.0234631628343507,-1.0821210699202273,18279,18280,18292,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
2021-09-24 09:45:00-04:00,1,15207.38,15189.25,15243.66,36.2599999999984,1.5005515719802056,-0.5449531163816678,18549,18551,18552,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True
2021-09-24 10:30:00-04:00,1,15228.62,15200.75,15284.36,55.7400000000016,1.4999999999999674,-0.8475062791532157,18555,18559,18561,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True
2021-09-27 11:05:00-04:00,1,15186.08,15139.5,15279.23,93.15999999999985,-1.0107342206955776,-1.021468441391155,18836,18843,18844,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True
2021-09-29 10:30:00-04:00,1,14821.8,14802.0,14861.41,39.599999999998545,1.5002525252525767,-0.12878787878784678,19377,19381,19389,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True
2021-10-06 09:55:00-04:00,1,14543.07,14511.0,14607.22,64.13999999999942,-1.0155908949173684,-1.1481135017149997,20757,20758,20762,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True
