label,a_budget,a_cap,v_budget,v_cap,n_starts,e_paid,med_paid,mean_paid,med_months,mean_months,bust_pct,closed_max_pct,data_end_pct,safety_net_pct,med_days_to_safety_net,payout_eligibility_pct,first_payout_pct,second_payout_pct,full_ladder_pct,maxdd_median,maxdd_worst,worst_day,worst_start_year,worst_start_year_bust_pct,trades_per_month,mean_risk_per_month,a_vpc_coactive_pearson,a_vpc_coactive_n,per_start_year,family
A@150/2 (VPC OFF),150,2,,,42,71,0,71,33.0,33.0,0.0,0.0,100.0,88.1,707.0,4.8,4.8,0.0,0.0,990.0,1741.0,-273.0,2022,0.0,7.63,789.0,,,"{2022: {'n': 12, 'bust_pct': 0.0}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@150/2+VPC@100/1,150,2,100.0,1.0,42,226,0,226,33.0,33.0,0.0,0.0,100.0,90.5,655.5,19.0,19.0,0.0,0.0,1119.0,2058.0,-273.0,2022,0.0,8.06,822.0,-0.288,11.0,"{2022: {'n': 12, 'bust_pct': 0.0}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@150/2+VPC@150/1,150,2,150.0,1.0,42,2717,2201,2717,33.0,33.0,0.0,0.0,100.0,100.0,391.0,100.0,100.0,71.4,0.0,1743.0,2743.0,-273.0,2022,0.0,9.72,1037.0,0.212,48.0,"{2022: {'n': 12, 'bust_pct': 0.0}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@150/2+VPC@200/2,150,2,200.0,2.0,42,2924,2225,2924,33.1,33.0,0.0,0.0,100.0,100.0,351.0,100.0,100.0,73.8,0.0,1595.0,3020.0,-360.0,2022,0.0,11.54,1388.0,0.272,74.0,"{2022: {'n': 12, 'bust_pct': 0.0}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@150/2+VPC@250/2,150,2,250.0,2.0,42,6254,6683,6254,31.0,31.4,4.8,9.5,85.7,100.0,276.5,100.0,100.0,88.1,9.5,4130.0,4130.0,-474.0,2023,16.7,13.11,1819.0,0.396,104.0,"{2022: {'n': 12, 'bust_pct': 0.0}, 2023: {'n': 12, 'bust_pct': 16.7}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@150/2+VPC@300/2,150,2,300.0,2.0,42,7493,7500,7493,33.1,32.2,0.0,16.7,83.3,100.0,202.5,100.0,100.0,100.0,16.7,3589.0,4807.0,-482.0,2022,0.0,14.0,2202.0,0.326,116.0,"{2022: {'n': 12, 'bust_pct': 0.0}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@200/3 (VPC OFF),200,3,,,42,2680,2535,2680,33.1,33.0,0.0,0.0,100.0,100.0,425.5,100.0,100.0,73.8,0.0,1692.0,2802.0,-342.0,2022,0.0,8.62,1242.0,,,"{2022: {'n': 12, 'bust_pct': 0.0}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@200/3+VPC@100/1,200,3,100.0,1.0,42,3044,2524,3044,33.1,33.0,0.0,0.0,100.0,100.0,426.0,100.0,100.0,73.8,0.0,1692.0,2884.0,-342.0,2022,0.0,9.05,1274.0,-0.274,11.0,"{2022: {'n': 12, 'bust_pct': 0.0}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@200/3+VPC@150/1,200,3,150.0,1.0,42,6187,6726,6187,33.1,32.8,0.0,9.5,90.5,100.0,299.0,100.0,100.0,95.2,9.5,2692.0,3247.0,-342.0,2022,0.0,10.71,1489.0,0.212,48.0,"{2022: {'n': 12, 'bust_pct': 0.0}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@200/3+VPC@200/2,200,3,200.0,2.0,42,6253,6618,6253,33.1,31.8,0.0,21.4,78.6,100.0,278.5,100.0,100.0,92.9,21.4,2781.0,3563.0,-388.0,2022,0.0,12.53,1840.0,0.292,76.0,"{2022: {'n': 12, 'bust_pct': 0.0}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@200/3+VPC@250/2,200,3,250.0,2.0,42,4582,3281,4582,19.0,20.3,45.2,11.9,42.9,78.6,175.0,78.6,78.6,73.8,11.9,3515.0,4461.0,-540.0,2023,100.0,14.1,2271.0,0.418,112.0,"{2022: {'n': 12, 'bust_pct': 58.3}, 2023: {'n': 12, 'bust_pct': 100.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@200/3+VPC@300/2,200,3,300.0,2.0,42,8729,10000,8729,30.0,29.1,7.1,38.1,54.8,100.0,167.5,100.0,100.0,92.9,38.1,3717.0,4199.0,-540.0,2023,25.0,14.99,2654.0,0.339,128.0,"{2022: {'n': 12, 'bust_pct': 0.0}, 2023: {'n': 12, 'bust_pct': 25.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
