label,n_trades,wr_pct,pf_pts,pf_R,exp_R,total_R,total_pts,maxdd_R,maxdd_pts,best_trade_pts,worst_trade_pts,section,avg_stop_pts,median_stop_pts,avg_hold_min,median_hold_min,trading_days_spanned,vpc_fire_days,trades_per_week,vpc_days_a_sleeps_vs_honest583,vpc_days_a_sleeps_vs_honest583_pct,vpc_days_a_sleeps_vs_unfiltered705,vpc_days_a_sleeps_vs_unfiltered705_pct,side,year,year_month,entry_hour_et
base_0.75pt,408.0,44.9,1.294,1.366,0.1374,56.04,4919.18,-9.067,-1066.4,808.25,-372.22,cost_variant,,,,,,,,,,,,,,,
harsh_3.0pt,408.0,44.1,1.232,1.286,0.1114,45.43,4001.18,-11.594,-1300.4,806.0,-374.47,cost_variant,,,,,,,,,,,,,,,
,,,,,,,,,,,,structural,109.6,98.06,184.0,170.0,,,,,,,,,,,
,,,,,,,,,,,,sleep_days,,,,,1152.0,401.0,1.77,226.0,56.4,197.0,49.1,,,,
long,222.0,48.2,1.348,1.462,0.1715,38.08,3035.37,-8.806,-819.8,614.25,-372.22,by_side,,,,,,,,,,,,long,,,
short,186.0,40.9,1.235,1.254,0.0966,17.96,1883.8,-12.657,-1231.8,808.25,-291.64,by_side,,,,,,,,,,,,short,,,
2022,88.0,43.2,1.221,1.312,0.1201,10.57,934.53,-5.127,-670.0,587.5,-190.57,by_year,,,,,,,,,,,,,2022.0,,
2023,89.0,42.7,1.071,1.235,0.0967,8.6,200.8,-9.067,-981.0,342.25,-128.7,by_year,,,,,,,,,,,,,2023.0,,
2024,94.0,44.7,1.4,1.389,0.1491,14.02,1291.92,-6.645,-700.2,429.75,-167.34,by_year,,,,,,,,,,,,,2024.0,,
2025,86.0,46.5,1.426,1.593,0.1926,16.56,1493.19,-6.855,-891.8,625.75,-291.64,by_year,,,,,,,,,,,,,2025.0,,
2026,51.0,49.0,1.339,1.339,0.1234,6.29,998.74,-4.625,-623.3,808.25,-372.22,by_year,,,,,,,,,,,,,2026.0,,
2022-01,7.0,28.6,0.455,0.423,-0.3861,-2.7,-371.21,-3.017,-421.8,306.5,-190.3,by_month,,,,,,,,,,,,,,2022-01,
2022-02,9.0,33.3,1.971,1.937,0.4502,4.05,556.92,-2.021,-241.9,587.5,-149.23,by_month,,,,,,,,,,,,,,2022-02,
2022-03,9.0,33.3,0.356,0.607,-0.183,-1.65,-396.5,-2.613,-423.8,82.5,-190.57,by_month,,,,,,,,,,,,,,2022-03,
2022-04,8.0,50.0,1.425,1.8,0.2245,1.8,139.92,-1.112,-176.3,206.75,-176.33,by_month,,,,,,,,,,,,,,2022-04,
2022-05,5.0,40.0,1.239,1.672,0.3623,1.81,91.47,-1.007,-141.5,382.25,-149.25,by_month,,,,,,,,,,,,,,2022-05,
2022-06,8.0,37.5,1.17,1.271,0.1103,0.88,69.71,-3.26,-410.0,331.25,-112.98,by_month,,,,,,,,,,,,,,2022-06,
2022-07,8.0,62.5,5.296,6.255,0.6205,4.96,498.16,-0.566,-63.2,315.0,-63.16,by_month,,,,,,,,,,,,,,2022-07,
2022-08,7.0,42.9,1.68,1.329,0.1272,0.89,186.42,-2.677,-270.6,367.5,-121.64,by_month,,,,,,,,,,,,,,2022-08,
2022-09,8.0,37.5,0.377,0.306,-0.322,-2.58,-206.07,-3.714,-331.0,62.75,-105.44,by_month,,,,,,,,,,,,,,2022-09,
2022-10,8.0,62.5,1.516,1.522,0.1612,1.29,152.71,-1.906,-235.1,152.0,-140.08,by_month,,,,,,,,,,,,,,2022-10,
2022-11,7.0,42.9,1.669,1.299,0.0939,0.66,115.7,-0.915,-61.1,184.75,-86.2,by_month,,,,,,,,,,,,,,2022-11,
2022-12,4.0,50.0,3.287,3.603,0.2876,1.15,97.3,-0.068,-6.7,113.86,-35.86,by_month,,,,,,,,,,,,,,2022-12,
2023-01,7.0,57.1,2.389,3.693,0.7552,5.29,296.18,-1.007,-107.5,222.75,-107.54,by_month,,,,,,,,,,,,,,2023-01,
2023-02,10.0,30.0,0.808,0.677,-0.1585,-1.58,-80.71,-2.765,-172.7,239.25,-124.9,by_month,,,,,,,,,,,,,,2023-02,
2023-03,11.0,63.6,2.975,2.867,0.6453,7.1,490.32,-1.622,-104.9,342.25,-72.67,by_month,,,,,,,,,,,,,,2023-03,
2023-04,5.0,40.0,0.875,0.845,-0.0899,-0.45,-25.21,-2.023,-129.8,132.75,-71.46,by_month,,,,,,,,,,,,,,2023-04,
2023-05,8.0,37.5,0.801,1.242,0.1159,0.93,-50.29,-2.451,-173.7,107.25,-95.79,by_month,,,,,,,,,,,,,,2023-05,
2023-06,5.0,20.0,0.142,0.187,-0.2544,-1.27,-111.36,-1.564,-129.7,18.38,-65.88,by_month,,,,,,,,,,,,,,2023-06,
2023-07,7.0,57.1,0.643,1.428,0.1475,1.03,-66.58,-0.832,-96.2,58.25,-84.93,by_month,,,,,,,,,,,,,,2023-07,
2023-08,8.0,12.5,0.103,0.121,-0.5743,-4.59,-398.19,-4.286,-379.6,45.75,-128.7,by_month,,,,,,,,,,,,,,2023-08,
2023-09,7.0,28.6,0.459,0.395,-0.3073,-2.15,-154.43,-2.546,-188.5,110.57,-96.96,by_month,,,,,,,,,,,,,,2023-09,
2023-10,4.0,75.0,4.592,5.968,0.8736,3.49,252.66,0.0,0.0,165.25,-70.34,by_month,,,,,,,,,,,,,,2023-10,
2023-11,8.0,75.0,4.428,4.064,0.3938,3.15,203.65,-1.013,-58.6,114.5,-58.56,by_month,,,,,,,,,,,,,,2023-11,
2023-12,9.0,22.2,0.514,0.512,-0.2592,-2.33,-155.24,-3.709,-249.0,138.25,-90.62,by_month,,,,,,,,,,,,,,2023-12,
2024-01,13.0,30.8,0.792,0.923,-0.0306,-0.4,-80.71,-3.767,-278.0,224.5,-103.29,by_month,,,,,,,,,,,,,,2024-01,
2024-02,2.0,100.0,,,0.3765,0.75,110.55,0.0,0.0,108.25,2.3,by_month,,,,,,,,,,,,,,2024-02,
2024-03,9.0,22.2,0.617,0.638,-0.1618,-1.46,-152.36,-3.428,-365.8,179.5,-104.21,by_month,,,,,,,,,,,,,,2024-03,
2024-04,9.0,44.4,0.72,0.744,-0.1292,-1.16,-107.04,-3.494,-318.4,88.36,-107.62,by_month,,,,,,,,,,,,,,2024-04,
2024-05,7.0,28.6,0.379,0.446,-0.2934,-2.05,-162.18,-3.362,-208.7,98.0,-65.44,by_month,,,,,,,,,,,,,,2024-05,
2024-06,6.0,66.7,0.633,1.103,0.0337,0.2,-65.12,-1.646,-155.6,81.5,-99.37,by_month,,,,,,,,,,,,,,2024-06,
