slope_mult,trend_mult,locked,n,pf,netR_pts,grid,atr_stop,trail_atr,slot_max
0.2,0.35,False,605,1.114,2943.2,slope_mult x trend_mult,,,
0.2,0.5,False,585,1.129,3171.79,slope_mult x trend_mult,,,
0.2,0.65,False,561,1.155,3651.73,slope_mult x trend_mult,,,
0.25,0.35,False,503,1.254,5340.29,slope_mult x trend_mult,,,
0.25,0.5,False,480,1.241,4845.67,slope_mult x trend_mult,,,
0.25,0.65,False,461,1.273,5229.11,slope_mult x trend_mult,,,
0.3,0.35,False,423,1.266,4684.01,slope_mult x trend_mult,,,
0.3,0.5,True,408,1.294,4919.18,slope_mult x trend_mult,,,
0.3,0.65,False,390,1.323,5124.72,slope_mult x trend_mult,,,
0.35,0.35,False,353,1.394,5633.46,slope_mult x trend_mult,,,
0.35,0.5,False,339,1.399,5470.29,slope_mult x trend_mult,,,
0.35,0.65,False,326,1.43,5577.54,slope_mult x trend_mult,,,
0.4,0.35,False,302,1.341,4211.8,slope_mult x trend_mult,,,
0.4,0.5,False,288,1.351,4126.88,slope_mult x trend_mult,,,
0.4,0.65,False,274,1.359,4018.25,slope_mult x trend_mult,,,
,,False,409,1.316,4623.43,atr_stop x trail_atr,2.0,4.0,
,,False,409,1.34,5303.57,atr_stop x trail_atr,2.0,5.0,
,,False,409,1.355,5784.07,atr_stop x trail_atr,2.0,6.0,
,,False,408,1.246,3903.24,atr_stop x trail_atr,2.5,4.0,
,,True,408,1.294,4919.18,atr_stop x trail_atr,2.5,5.0,
,,False,408,1.327,5665.75,atr_stop x trail_atr,2.5,6.0,
,,False,405,1.303,4715.79,atr_stop x trail_atr,3.0,4.0,
,,False,405,1.339,5669.21,atr_stop x trail_atr,3.0,5.0,
,,False,404,1.341,6039.96,atr_stop x trail_atr,3.0,6.0,
,,False,401,1.32,5190.63,slot_max,,,54.0
,,True,408,1.294,4919.18,slot_max,,,66.0
,,False,411,1.301,5035.18,slot_max,,,78.0
