range_tf,sig_tf,lookback,session,model,exit_type,reclaim_bars,fb_bars,sos_variant,vol_filter,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
5m,1m,20,asia,W1,fixed2r,1.0,,,False,8801,13.6058,34.6,0.56,-0.412,-3629.1,-3633.3,3.21
5m,1m,20,asia,W1,exit3,1.0,,,False,8801,13.6058,34.3,0.46,-0.434,-3822.6,-3824.3,3.21
5m,1m,20,asia,W1+W11,fixed2r,1.0,,,True,2021,3.1243,33.6,0.55,-0.434,-878.0,-881.0,3.4
5m,1m,20,asia,W1+W11,exit3,1.0,,,True,2021,3.1243,33.4,0.43,-0.463,-936.5,-938.0,3.4
5m,1m,20,asia,W1,fixed2r,3.0,,,False,10475,16.1937,34.5,0.59,-0.381,-3990.6,-3996.1,3.6
5m,1m,20,asia,W1,exit3,3.0,,,False,10475,16.1937,34.2,0.48,-0.4,-4187.6,-4190.1,3.6
5m,1m,20,asia,W1+W11,fixed2r,3.0,,,True,2679,4.1416,34.2,0.58,-0.384,-1028.8,-1034.8,3.71
5m,1m,20,asia,W1+W11,exit3,3.0,,,True,2679,4.1416,34.0,0.47,-0.409,-1096.3,-1099.8,3.71
5m,1m,20,asia,W2,fixed2r,1.0,,,,9887,15.2847,32.9,0.47,-0.543,-5364.6,-5368.5,2.65
5m,1m,20,asia,W2,exit3,1.0,,,,9887,15.2847,32.4,0.37,-0.545,-5384.6,-5386.5,2.65
5m,1m,20,asia,W2,fixed2r,3.0,,,,11832,18.2915,33.4,0.51,-0.486,-5756.1,-5762.4,2.99
5m,1m,20,asia,W2,exit3,3.0,,,,11832,18.2915,33.0,0.41,-0.493,-5830.1,-5834.4,2.99
5m,1m,20,asia,W3,fixed2r,1.0,,mid,False,351,0.5426,20.8,0.16,-1.215,-426.4,-428.1,1.6
5m,1m,20,asia,W3,exit3,1.0,,mid,False,351,0.5426,18.8,0.1,-1.253,-439.9,-440.6,1.6
5m,1m,20,asia,W3+W11,fixed2r,1.0,,mid,True,147,0.2273,20.4,0.17,-1.254,-184.3,-184.1,1.34
5m,1m,20,asia,W3+W11,exit3,1.0,,mid,True,147,0.2273,20.4,0.11,-1.274,-187.3,-186.6,1.34
5m,1m,20,asia,W3,fixed2r,1.0,,high,False,47,0.0727,25.5,0.2,-1.177,-55.3,-58.5,1.38
5m,1m,20,asia,W3,exit3,1.0,,high,False,47,0.0727,21.3,0.12,-1.273,-59.8,-61.5,1.38
5m,1m,20,asia,W3+W11,fixed2r,1.0,,high,True,28,0.0433,28.6,0.25,-1.046,-29.3,-31.3,1.38
5m,1m,20,asia,W3+W11,exit3,1.0,,high,True,28,0.0433,25.0,0.16,-1.135,-31.8,-32.3,1.38
5m,1m,20,asia,W3,fixed2r,3.0,,mid,False,425,0.657,19.8,0.15,-1.279,-543.5,-545.5,1.46
5m,1m,20,asia,W3,exit3,3.0,,mid,False,425,0.657,17.4,0.09,-1.314,-558.5,-559.5,1.46
5m,1m,20,asia,W3+W11,fixed2r,3.0,,mid,True,199,0.3076,18.6,0.14,-1.335,-265.6,-265.4,1.31
5m,1m,20,asia,W3+W11,exit3,3.0,,mid,True,199,0.3076,17.6,0.09,-1.34,-266.6,-265.9,1.31
5m,1m,20,asia,W3,fixed2r,3.0,,high,False,61,0.0943,19.7,0.14,-1.383,-84.4,-82.9,1.28
5m,1m,20,asia,W3,exit3,3.0,,high,False,61,0.0943,16.4,0.08,-1.432,-87.4,-85.4,1.28
5m,1m,20,asia,W3+W11,fixed2r,3.0,,high,True,38,0.0587,21.1,0.16,-1.383,-52.6,-50.0,1.27
5m,1m,20,asia,W3+W11,exit3,3.0,,high,True,38,0.0587,18.4,0.1,-1.423,-54.1,-51.5,1.27
5m,1m,20,asia,W4,fixed2r,1.0,,mid,,343,0.5303,19.0,0.14,-1.351,-463.3,-463.2,1.5
5m,1m,20,asia,W4,exit3,1.0,,mid,,343,0.5303,16.3,0.09,-1.367,-468.8,-468.1,1.5
5m,1m,20,asia,W4,fixed2r,1.0,,high,,51,0.0788,21.6,0.16,-1.221,-62.3,-63.2,1.59
5m,1m,20,asia,W4,exit3,1.0,,high,,51,0.0788,19.6,0.09,-1.31,-66.8,-67.2,1.59
5m,1m,20,asia,W4,fixed2r,3.0,,mid,,454,0.7019,18.5,0.13,-1.388,-630.4,-627.7,1.34
5m,1m,20,asia,W4,exit3,3.0,,mid,,454,0.7019,15.6,0.08,-1.402,-636.4,-633.7,1.34
5m,1m,20,asia,W4,fixed2r,3.0,,high,,56,0.0866,25.0,0.18,-1.124,-62.9,-63.9,1.55
5m,1m,20,asia,W4,exit3,3.0,,high,,56,0.0866,21.4,0.1,-1.213,-67.9,-68.4,1.55
5m,1m,20,asia,W5,target_or_2r,,2.0,,,18903,29.2228,34.7,0.49,-0.489,-9245.2,-9245.4,3.28
5m,1m,20,asia,W5,exit3,,2.0,,,18903,29.2228,32.5,0.4,-0.506,-9570.0,-9569.2,3.28
5m,1m,20,asia,W5,target_or_2r,,4.0,,,18935,29.2723,34.9,0.51,-0.471,-8914.4,-8914.8,3.46
5m,1m,20,asia,W5,exit3,,4.0,,,18935,29.2723,32.6,0.42,-0.487,-9212.1,-9211.5,3.46
5m,1m,20,asia,W6,fixed2r,,,,,642,0.9925,38.8,0.85,-0.116,-74.7,-132.4,4.19
5m,1m,20,asia,W6,exit3,,,,,642,0.9925,38.8,0.72,-0.189,-121.2,-152.4,4.19
5m,1m,20,asia,W7,fixed2r,,,mid,,3448,5.3304,20.9,0.13,-1.349,-4650.4,-4649.2,1.23
5m,1m,20,asia,W7,exit3,,,mid,,3448,5.3304,16.3,0.07,-1.398,-4819.4,-4817.7,1.23
5m,1m,20,asia,W7,fixed2r,,,high,,2011,3.1089,19.9,0.13,-1.356,-2726.4,-2723.6,1.31
5m,1m,20,asia,W7,exit3,,,high,,2011,3.1089,16.1,0.07,-1.396,-2806.4,-2803.6,1.31
5m,1m,20,asia,W8,fixed2r,,,mid,,2980,4.6069,17.7,0.11,-1.454,-4333.3,-4330.3,1.25
5m,1m,20,asia,W8,exit3,,,mid,,2980,4.6069,14.0,0.06,-1.476,-4399.3,-4397.0,1.25
5m,1m,20,asia,W8,fixed2r,,,high,,1562,2.4148,17.9,0.13,-1.316,-2055.0,-2055.5,1.6
5m,1m,20,asia,W8,exit3,,,high,,1562,2.4148,15.2,0.08,-1.34,-2093.0,-2092.9,1.6
5m,1m,20,london,W1,fixed2r,1.0,,,False,8483,13.1142,34.4,0.57,-0.411,-3483.8,-3499.2,3.4
5m,1m,20,london,W1,exit3,1.0,,,False,8483,13.1142,34.1,0.45,-0.437,-3706.8,-3714.8,3.4
5m,1m,20,london,W1+W11,fixed2r,1.0,,,True,1793,2.7719,34.2,0.55,-0.433,-777.1,-784.0,3.19
5m,1m,20,london,W1+W11,exit3,1.0,,,True,1793,2.7719,34.0,0.44,-0.446,-799.6,-804.0,3.19
5m,1m,20,london,W1,fixed2r,3.0,,,False,10009,15.4733,33.9,0.58,-0.394,-3942.1,-3961.2,3.75
5m,1m,20,london,W1,exit3,3.0,,,False,10009,15.4733,33.6,0.47,-0.412,-4127.1,-4136.3,3.75
5m,1m,20,london,W1+W11,fixed2r,3.0,,,True,2344,3.6237,33.9,0.57,-0.405,-949.2,-965.8,3.52
5m,1m,20,london,W1+W11,exit3,3.0,,,True,2344,3.6237,33.7,0.46,-0.418,-980.7,-991.8,3.52
5m,1m,20,london,W2,fixed2r,1.0,,,,9331,14.4251,33.5,0.51,-0.481,-4485.5,-4489.4,3.01
5m,1m,20,london,W2,exit3,1.0,,,,9331,14.4251,33.1,0.4,-0.5,-4668.0,-4670.4,3.01
5m,1m,20,london,W2,fixed2r,3.0,,,,11074,17.1197,32.9,0.52,-0.463,-5122.2,-5126.8,3.36
5m,1m,20,london,W2,exit3,3.0,,,,11074,17.1197,32.4,0.42,-0.473,-5238.2,-5240.8,3.36
5m,1m,20,london,W3,fixed2r,1.0,,mid,False,463,0.7158,19.9,0.15,-1.3,-601.8,-602.7,1.47
5m,1m,20,london,W3,exit3,1.0,,mid,False,463,0.7158,17.7,0.09,-1.347,-623.8,-624.2,1.47
5m,1m,20,london,W3+W11,fixed2r,1.0,,mid,True,203,0.3138,21.2,0.17,-1.291,-262.0,-260.3,1.38
5m,1m,20,london,W3+W11,exit3,1.0,,mid,True,203,0.3138,20.2,0.11,-1.345,-273.0,-271.3,1.38
5m,1m,20,london,W3,fixed2r,1.0,,high,False,67,0.1036,16.4,0.11,-1.257,-84.2,-82.6,1.87
5m,1m,20,london,W3,exit3,1.0,,high,False,67,0.1036,11.9,0.07,-1.272,-85.2,-83.5,1.87
5m,1m,20,london,W3+W11,fixed2r,1.0,,high,True,37,0.0572,16.2,0.09,-1.24,-45.9,-44.3,1.8
5m,1m,20,london,W3+W11,exit3,1.0,,high,True,37,0.0572,8.1,0.05,-1.321,-48.9,-47.2,1.8
5m,1m,20,london,W3,fixed2r,3.0,,mid,False,534,0.8255,19.1,0.15,-1.319,-704.3,-705.1,1.48
5m,1m,20,london,W3,exit3,3.0,,mid,False,534,0.8255,17.0,0.09,-1.358,-725.3,-725.6,1.48
5m,1m,20,london,W3+W11,fixed2r,3.0,,mid,True,239,0.3695,19.2,0.15,-1.377,-329.2,-327.4,1.33
5m,1m,20,london,W3+W11,exit3,3.0,,mid,True,239,0.3695,18.4,0.09,-1.434,-342.7,-340.9,1.33
5m,1m,20,london,W3,fixed2r,3.0,,high,False,81,0.1252,14.8,0.1,-1.334,-108.1,-105.8,1.8
5m,1m,20,london,W3,exit3,3.0,,high,False,81,0.1252,11.1,0.06,-1.346,-109.1,-106.8,1.8
5m,1m,20,london,W3+W11,fixed2r,3.0,,high,True,44,0.068,13.6,0.07,-1.443,-63.5,-60.1,1.6
5m,1m,20,london,W3+W11,exit3,3.0,,high,True,44,0.068,6.8,0.04,-1.488,-65.5,-62.1,1.6
5m,1m,20,london,W4,fixed2r,1.0,,mid,,450,0.6957,15.6,0.12,-1.353,-608.7,-613.5,1.65
5m,1m,20,london,W4,exit3,1.0,,mid,,450,0.6957,13.6,0.08,-1.37,-616.7,-619.5,1.65
5m,1m,20,london,W4,fixed2r,1.0,,high,,84,0.1299,16.7,0.14,-1.226,-103.0,-100.8,1.73
5m,1m,20,london,W4,exit3,1.0,,high,,84,0.1299,14.3,0.09,-1.273,-107.0,-104.8,1.73
5m,1m,20,london,W4,fixed2r,3.0,,mid,,555,0.858,15.3,0.11,-1.392,-772.6,-775.6,1.57
5m,1m,20,london,W4,exit3,3.0,,mid,,555,0.858,12.6,0.07,-1.407,-781.1,-782.1,1.57
5m,1m,20,london,W4,fixed2r,3.0,,high,,102,0.1577,14.7,0.12,-1.316,-134.2,-132.1,1.69
5m,1m,20,london,W4,exit3,3.0,,high,,102,0.1577,12.7,0.08,-1.35,-137.7,-135.6,1.69
5m,1m,20,london,W5,target_or_2r,,2.0,,,17600,27.2085,35.1,0.49,-0.494,-8686.6,-8693.3,3.35
5m,1m,20,london,W5,exit3,,2.0,,,17600,27.2085,32.1,0.4,-0.509,-8962.5,-8968.4,3.35
5m,1m,20,london,W5,target_or_2r,,4.0,,,17646,27.2796,35.4,0.5,-0.474,-8358.1,-8364.8,3.47
5m,1m,20,london,W5,exit3,,4.0,,,17646,27.2796,32.4,0.41,-0.488,-8607.4,-8613.2,3.47
5m,1m,20,london,W6,fixed2r,,,,,611,0.9446,44.5,1.2,0.132,80.5,-61.9,7.66
5m,1m,20,london,W6,exit3,,,,,611,0.9446,44.5,1.12,0.064,38.8,-59.3,7.66
5m,1m,20,london,W7,fixed2r,,,mid,,2995,4.6301,19.7,0.13,-1.363,-4081.9,-4082.8,1.26
5m,1m,20,london,W7,exit3,,,mid,,2995,4.6301,15.7,0.07,-1.406,-4211.9,-4212.3,1.26
5m,1m,20,london,W7,fixed2r,,,high,,1812,2.8012,20.0,0.15,-1.276,-2311.2,-2309.1,1.58
5m,1m,20,london,W7,exit3,,,high,,1812,2.8012,16.3,0.09,-1.32,-2392.7,-2390.5,1.58
5m,1m,20,london,W8,fixed2r,,,mid,,2445,3.7798,19.3,0.13,-1.335,-3264.3,-3261.3,1.39
5m,1m,20,london,W8,exit3,,,mid,,2445,3.7798,15.7,0.08,-1.372,-3354.3,-3352.1,1.39
5m,1m,20,london,W8,fixed2r,,,high,,1540,2.3807,17.7,0.12,-1.334,-2054.4,-2052.8,1.59
