range_tf,sig_tf,session,model,status,gate,canary_pass,overlap_ny_pct,lookback,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts,per_year
5m,1m,asia,W1,REJECTED,PF 0.60 < 1.15,,,40.0,fixed2r,3738,5.7787,34.1,0.6,-0.371,-1386.3,-1387.8,3.91,null
5m,1m,asia,W1+W11,REJECTED,PF 0.58 < 1.15,,,20.0,fixed2r,2679,4.1416,34.2,0.58,-0.384,-1028.8,-1034.8,3.71,null
5m,1m,asia,W2,REJECTED,PF 0.51 < 1.15,,,20.0,fixed2r,11832,18.2915,33.4,0.51,-0.486,-5756.1,-5762.4,2.99,null
5m,1m,asia,W3,REJECTED,PF 0.20 < 1.15,,,20.0,fixed2r,47,0.0727,25.5,0.2,-1.177,-55.3,-58.5,1.38,null
5m,1m,asia,W3+W11,REJECTED,PF 0.25 < 1.15,,,20.0,fixed2r,28,0.0433,28.6,0.25,-1.046,-29.3,-31.3,1.38,null
5m,1m,asia,W4,REJECTED,PF 0.18 < 1.15,,,20.0,fixed2r,56,0.0866,25.0,0.18,-1.124,-62.9,-63.9,1.55,null
5m,1m,asia,W5,REJECTED,PF 0.51 < 1.15,,,20.0,target_or_2r,18935,29.2723,34.9,0.51,-0.471,-8914.4,-8914.8,3.46,null
5m,1m,asia,W6,REJECTED,tr/wk 0.181 < 0.5,,,40.0,fixed2r,117,0.1809,56.4,1.76,0.416,48.7,-15.2,4.41,null
5m,1m,asia,W7,REJECTED,PF 0.13 < 1.15,,,20.0,fixed2r,3448,5.3304,20.9,0.13,-1.349,-4650.4,-4649.2,1.23,null
5m,1m,asia,W8,REJECTED,PF 0.17 < 1.15,,,40.0,fixed2r,521,0.8054,20.9,0.17,-1.211,-630.8,-627.9,1.66,null
5m,1m,london,W1,REJECTED,PF 0.58 < 1.15,,,20.0,fixed2r,10009,15.4733,33.9,0.58,-0.394,-3942.1,-3961.2,3.75,null
5m,1m,london,W1+W11,REJECTED,PF 0.57 < 1.15,,,20.0,fixed2r,2344,3.6237,33.9,0.57,-0.405,-949.2,-965.8,3.52,null
5m,1m,london,W2,REJECTED,PF 0.53 < 1.15,,,40.0,fixed2r,7831,12.1062,32.8,0.53,-0.445,-3487.4,-3493.5,3.59,null
5m,1m,london,W3,REJECTED,PF 0.15 < 1.15,,,20.0,fixed2r,463,0.7158,19.9,0.15,-1.3,-601.8,-602.7,1.47,null
5m,1m,london,W3+W11,REJECTED,PF 0.18 < 1.15,,,40.0,fixed2r,15,0.0232,20.0,0.18,-1.328,-19.9,-17.7,1.54,null
5m,1m,london,W4,REJECTED,PF 0.20 < 1.15,,,40.0,fixed2r,38,0.0587,21.1,0.2,-0.975,-37.1,-36.8,2.59,null
5m,1m,london,W5,REJECTED,PF 0.52 < 1.15,,,40.0,target_or_2r,12473,19.2825,34.5,0.52,-0.454,-5659.8,-5665.6,3.81,null
5m,1m,london,W6,SURVIVOR,,True,,20.0,fixed2r,611,0.9446,44.5,1.2,0.132,80.5,-61.9,7.66,"{""2014"": {""n"": 217, ""PF"": 1.03}, ""2015"": {""n"": 78, ""PF"": 1.16}, ""2016"": {""n"": 51, ""PF"": 0.79}, ""2017"": {""n"": 86, ""PF"": 2.05}, ""2018"": {""n"": 48, ""PF"": 1.56}, ""2019"": {""n"": 39, ""PF"": 0.57}, ""2020"": {""n"": 26, ""PF"": 0.83}, ""2021"": {""n"": 10, ""PF"": 1.15}, ""2022"": {""n"": 4, ""PF"": Infinity}, ""2023"": {""n"": 27, ""PF"": 2.66}, ""2024"": {""n"": 15, ""PF"": 1.64}, ""2025"": {""n"": 5, ""PF"": 7.44}, ""2026"": {""n"": 5, ""PF"": 0.0}}"
5m,1m,london,W7,REJECTED,PF 0.17 < 1.15,,,40.0,fixed2r,1311,2.0267,21.4,0.17,-1.187,-1555.7,-1553.9,1.67,null
5m,1m,london,W8,REJECTED,PF 0.15 < 1.15,,,40.0,fixed2r,1839,2.843,20.6,0.15,-1.273,-2340.5,-2340.5,1.45,null
5m,1m,pre_ny,W1,REJECTED,PF 0.59 < 1.15,,,40.0,fixed2r,3903,6.0338,32.8,0.59,-0.374,-1460.8,-1481.7,4.57,null
5m,1m,pre_ny,W1+W11,REJECTED,PF 0.58 < 1.15,,,20.0,fixed2r,1047,1.6186,34.2,0.58,-0.389,-407.5,-423.8,3.7,null
5m,1m,pre_ny,W2,REJECTED,PF 0.60 < 1.15,,,20.0,fixed2r,5754,8.8953,35.2,0.6,-0.373,-2149.1,-2153.6,3.53,null
5m,1m,pre_ny,W3,REJECTED,PF 0.32 < 1.15,,,20.0,fixed2r,133,0.2056,23.3,0.32,-0.744,-99.0,-101.3,4.05,null
5m,1m,pre_ny,W3+W11,REJECTED,PF 0.46 < 1.15,,,20.0,fixed2r,58,0.0897,29.3,0.46,-0.502,-29.1,-31.6,4.45,null
5m,1m,pre_ny,W4,REJECTED,PF 0.24 < 1.15,,,40.0,fixed2r,63,0.0974,17.5,0.24,-0.854,-53.8,-51.1,5.59,null
5m,1m,pre_ny,W5,REJECTED,PF 0.58 < 1.15,,,40.0,target_or_2r,6309,9.7533,37.2,0.58,-0.38,-2397.0,-2407.1,4.14,null
5m,1m,pre_ny,W6,REJECTED,tr/wk 0.232 < 0.5,,,40.0,fixed2r,150,0.2319,54.7,1.76,0.396,59.4,-19.6,9.29,null
5m,1m,pre_ny,W7,REJECTED,PF 0.15 < 1.15,,,20.0,fixed2r,1877,2.9017,19.6,0.15,-1.253,-2351.6,-2349.5,1.55,null
5m,1m,pre_ny,W8,REJECTED,PF 0.16 < 1.15,,,20.0,fixed2r,1722,2.6621,19.5,0.16,-1.238,-2131.4,-2129.4,1.62,null
5m,1m,ny_am,W1,REJECTED,PF 0.69 < 1.15,,,20.0,fixed2r,10325,15.9618,32.5,0.69,-0.261,-2693.5,-2721.2,7.51,null
5m,1m,ny_am,W1+W11,REJECTED,PF 0.61 < 1.15,,,20.0,fixed2r,2287,3.5356,30.0,0.61,-0.342,-782.8,-794.7,7.1,null
5m,1m,ny_am,W2,REJECTED,PF 0.65 < 1.15,,,20.0,fixed2r,12006,18.5605,33.0,0.65,-0.302,-3621.0,-3630.2,5.71,null
5m,1m,ny_am,W3,REJECTED,PF 0.25 < 1.15,,,20.0,fixed2r,167,0.2582,23.4,0.25,-0.948,-158.4,-155.9,3.04,null
5m,1m,ny_am,W3+W11,REJECTED,PF 0.26 < 1.15,,,20.0,fixed2r,128,0.1979,25.0,0.26,-0.935,-119.6,-116.7,2.95,null
5m,1m,ny_am,W4,REJECTED,PF 0.23 < 1.15,,,20.0,fixed2r,254,0.3927,21.3,0.23,-0.96,-243.7,-244.5,2.78,null
5m,1m,ny_am,W5,REJECTED,PF 0.69 < 1.15,,,40.0,target_or_2r,13563,20.9675,36.3,0.69,-0.248,-3365.6,-3414.1,7.07,null
5m,1m,ny_am,W6,REJECTED,tr/wk 0.287 < 0.5,,,20.0,fixed2r,186,0.2875,46.2,1.31,0.177,32.8,-26.6,15.59,null
5m,1m,ny_am,W7,REJECTED,PF 0.20 < 1.15,,,20.0,fixed2r,2198,3.398,19.3,0.2,-1.04,-2286.3,-2289.3,2.64,null
5m,1m,ny_am,W8,REJECTED,PF 0.20 < 1.15,,,20.0,fixed2r,1352,2.0901,18.6,0.2,-1.03,-1392.5,-1389.8,2.89,null
5m,1m,24h-control,W1,REJECTED,PF 0.62 < 1.15,,,40.0,fixed2r,38782,59.9545,33.2,0.62,-0.336,-13018.5,-13040.8,4.98,null
5m,1m,24h-control,W1+W11,REJECTED,PF 0.59 < 1.15,,,20.0,fixed2r,12855,19.873,33.7,0.59,-0.376,-4835.7,-4855.0,4.0,null
5m,1m,24h-control,W2,REJECTED,PF 0.57 < 1.15,,,40.0,fixed2r,40723,62.9552,33.3,0.57,-0.403,-16397.0,-16400.9,3.84,null
5m,1m,24h-control,W3,REJECTED,PF 0.23 < 1.15,,,20.0,fixed2r,517,0.7992,22.2,0.23,-0.972,-502.4,-499.8,2.56,null
5m,1m,24h-control,W3+W11,REJECTED,PF 0.28 < 1.15,,,40.0,fixed2r,114,0.1762,22.8,0.28,-0.88,-100.4,-97.9,3.26,null
5m,1m,24h-control,W4,REJECTED,PF 0.22 < 1.15,,,40.0,fixed2r,260,0.4019,19.2,0.22,-0.968,-251.6,-249.8,3.08,null
5m,1m,24h-control,W5,REJECTED,PF 0.57 < 1.15,,,40.0,target_or_2r,62016,95.8728,35.1,0.57,-0.389,-24133.7,-24137.4,4.45,null
5m,1m,24h-control,W6,SURVIVOR,,True,,40.0,fixed2r,762,1.178,45.1,1.19,0.12,91.2,-69.4,8.27,"{""2014"": {""n"": 370, ""PF"": 1.11}, ""2015"": {""n"": 74, ""PF"": 0.57}, ""2016"": {""n"": 96, ""PF"": 0.92}, ""2017"": {""n"": 94, ""PF"": 1.52}, ""2018"": {""n"": 50, ""PF"": 2.82}, ""2019"": {""n"": 20, ""PF"": 3.19}, ""2020"": {""n"": 7, ""PF"": 2.47}, ""2021"": {""n"": 5, ""PF"": 1.26}, ""2022"": {""n"": 8, ""PF"": Infinity}, ""2023"": {""n"": 14, ""PF"": 3.39}, ""2024"": {""n"": 12, ""PF"": 0.17}, ""2025"": {""n"": 8, ""PF"": 1.05}, ""2026"": {""n"": 4, ""PF"": 0.0}}"
5m,1m,24h-control,W7,REJECTED,PF 0.16 < 1.15,,,40.0,fixed2r,6404,9.9002,20.7,0.16,-1.237,-7920.0,-7916.9,1.58,null
