family,variant,extra_slip_pts,tick_pen,r_damage,n,tr_wk,win_pct,PF,expR,totR,maxDD_R
A_london,0_baseline_reproduce,0.0,0,0.0,611,0.9446,44.5,1.2,0.132,80.5,-61.9
A_london,1_no_stress (== baseline),0.0,0,0.0,611,0.9446,44.5,1.2,0.132,80.5,-61.9
A_london,2c_tick_pen_1,0.0,1,0.0,549,0.8487,43.5,1.18,0.117,64.1,-45.5
A_london,2c_tick_pen_2,0.0,2,0.0,449,0.6941,46.1,1.37,0.224,100.4,-29.6
A_london,2a_slip_plus_0.25pt,0.25,0,0.0,611,0.9446,43.7,1.17,0.115,70.1,-61.1
A_london,2a2c_combined_slip0.25_tick1,0.25,1,0.0,549,0.8487,43.4,1.18,0.118,64.8,-45.0
A_london,2a2c_combined_slip0.25_tick2,0.25,2,0.0,449,0.6941,43.4,1.23,0.148,66.4,-37.4
A_london,2a_slip_plus_0.50pt,0.5,0,0.0,611,0.9446,43.5,1.18,0.117,71.7,-60.3
A_london,2a2c_combined_slip0.50_tick1,0.5,1,0.0,549,0.8487,41.2,1.09,0.058,32.1,-53.5
A_london,2a2c_combined_slip0.50_tick2,0.5,2,0.0,449,0.6941,43.4,1.24,0.152,68.2,-36.0
A_london,2b_rdamage_minus_0.02R,0.0,0,0.02,611,0.9446,44.5,1.17,0.112,68.3,-62.9
A_london,2b_rdamage_minus_0.05R,0.0,0,0.05,611,0.9446,44.5,1.12,0.082,50.0,-64.4
B_24h,0_baseline_reproduce,0.0,0,0.0,762,1.178,45.1,1.19,0.12,91.2,-69.4
B_24h,1_no_stress (== baseline),0.0,0,0.0,762,1.178,45.1,1.19,0.12,91.2,-69.4
B_24h,2c_tick_pen_1,0.0,1,0.0,661,1.0219,43.1,1.1,0.067,44.5,-61.0
B_24h,2c_tick_pen_2,0.0,2,0.0,578,0.8936,43.8,1.13,0.08,46.1,-53.0
B_24h,2a_slip_plus_0.25pt,0.25,0,0.0,762,1.178,43.8,1.13,0.084,63.7,-76.0
B_24h,2a2c_combined_slip0.25_tick1,0.25,1,0.0,661,1.0219,41.8,1.03,0.019,12.8,-80.8
B_24h,2a2c_combined_slip0.25_tick2,0.25,2,0.0,578,0.8936,43.4,1.11,0.072,41.4,-55.4
B_24h,2a_slip_plus_0.50pt,0.5,0,0.0,762,1.178,42.1,1.04,0.028,21.7,-78.6
B_24h,2a2c_combined_slip0.50_tick1,0.5,1,0.0,661,1.0219,41.3,1.01,0.008,5.6,-82.3
B_24h,2a2c_combined_slip0.50_tick2,0.5,2,0.0,578,0.8936,41.7,1.03,0.017,9.5,-80.7
B_24h,2b_rdamage_minus_0.02R,0.0,0,0.02,762,1.178,45.1,1.15,0.1,75.9,-72.2
B_24h,2b_rdamage_minus_0.05R,0.0,0,0.05,762,1.178,45.1,1.1,0.07,53.1,-76.3
