n,pf,wr,tot,avg,tag
324,1.393,0.481,4637.8,14.314,A_30_comp_breakout_2R
324,1.361,0.46,4373.5,13.498,A_30_comp_breakout_close
324,1.351,0.441,3166.8,9.774,A_30_comp_breakout_trail
324,1.331,0.549,3510.0,10.833,A_30_comp_breakout_1R
1102,1.238,0.475,12622.5,11.454,A_30_all_breakout_close
565,1.228,0.273,4348.5,7.696,C_30_cont_30_close
377,1.205,0.427,2822.8,7.487,A_15_comp_breakout_2R
1102,1.197,0.485,10386.8,9.425,A_30_all_breakout_2R
387,1.184,0.488,4139.0,10.695,A_30_exp_breakout_close
1102,1.176,0.548,8411.5,7.633,A_30_all_breakout_1R
1265,1.165,0.404,10005.5,7.909,A_15_all_breakout_close
591,1.16,0.261,3402.8,5.758,C_30_fade_30_close
377,1.157,0.39,2252.0,5.973,A_15_comp_breakout_close
377,1.154,0.366,1537.2,4.078,A_15_comp_breakout_trail
387,1.146,0.496,3281.0,8.478,A_30_exp_breakout_2R
1102,1.139,0.428,5986.2,5.432,A_30_all_breakout_trail
374,1.136,0.259,1823.2,4.875,C_60_cont_30_close
1265,1.135,0.431,7941.0,6.277,A_15_all_breakout_2R
1287,1.132,0.434,9213.2,7.159,A_15_all_fade_close
375,1.127,0.261,1734.2,4.625,C_60_fade_30_close
1034,1.121,0.239,3823.5,3.698,B_40_close
387,1.12,0.556,2454.0,6.341,A_30_exp_breakout_1R
442,1.119,0.439,3002.5,6.793,A_15_exp_breakout_2R
442,1.117,0.412,3039.8,6.877,A_15_exp_breakout_close
1265,1.107,0.387,4333.5,3.426,A_15_all_breakout_trail
442,1.1,0.548,2135.5,4.831,A_15_exp_breakout_1R
442,1.099,0.412,1668.0,3.774,A_15_exp_breakout_trail
377,1.093,0.52,1135.0,3.011,A_15_comp_breakout_1R
1265,1.074,0.532,3731.5,2.95,A_15_all_breakout_1R
1287,1.065,0.503,4183.2,3.25,A_15_all_fade_2R
447,1.06,0.479,1867.0,4.177,A_30_exp_fade_close
1287,1.036,0.37,1527.5,1.187,A_15_all_fade_trail
390,1.029,0.377,376.5,0.965,A_30_comp_fade_trail
390,1.025,0.497,430.8,1.104,A_30_comp_fade_2R
390,1.013,0.459,240.0,0.615,A_30_comp_fade_close
390,1.006,0.495,103.5,0.265,A_15_comp_fade_2R
1034,1.005,0.349,135.0,0.131,B_40_2R
1288,0.997,0.379,-173.2,-0.135,A_30_all_fade_trail
375,0.992,0.384,-77.8,-0.207,C_60_fade_30_gapfill
447,0.986,0.443,-446.5,-0.999,A_15_exp_fade_close
390,0.979,0.418,-375.5,-0.963,A_15_comp_fade_close
447,0.975,0.51,-750.8,-1.68,A_30_exp_fade_2R
1288,0.972,0.453,-2132.2,-1.655,A_30_all_fade_close
387,0.969,0.408,-599.8,-1.55,A_30_exp_breakout_trail
1034,0.962,0.499,-803.2,-0.777,B_40_1R
1288,0.915,0.474,-6284.2,-4.879,A_30_all_fade_2R
447,0.898,0.378,-2478.8,-5.545,A_30_exp_fade_trail
374,0.89,0.476,-786.8,-2.104,C_60_cont_30_2R
1287,0.882,0.705,-4564.8,-3.547,A_15_all_fade_1R
591,0.875,0.403,-1825.8,-3.089,C_30_fade_30_gapfill
565,0.873,0.467,-1404.8,-2.486,C_30_cont_30_2R
447,0.842,0.494,-4877.5,-10.912,A_15_exp_fade_2R
1288,0.834,0.673,-7883.5,-6.121,A_30_all_fade_1R
390,0.802,0.303,-2336.5,-5.991,A_15_comp_fade_trail
447,0.797,0.691,-3569.2,-7.985,A_15_exp_fade_1R
447,0.793,0.673,-4376.0,-9.79,A_30_exp_fade_1R
390,0.771,0.692,-2331.8,-5.979,A_15_comp_fade_1R
447,0.761,0.353,-4558.2,-10.197,A_15_exp_fade_trail
390,0.75,0.649,-3151.0,-8.079,A_30_comp_fade_1R
1034,0.731,0.093,-5220.8,-5.049,B_20_close
591,0.721,0.43,-3594.0,-6.081,C_30_fade_30_2R
375,0.673,0.419,-2752.8,-7.341,C_60_fade_30_2R
1034,0.557,0.228,-7331.5,-7.09,B_20_2R
565,0.526,0.427,-4403.2,-7.793,C_30_cont_30_1R
374,0.497,0.409,-3168.0,-8.471,C_60_cont_30_1R
1034,0.465,0.334,-7632.5,-7.382,B_20_1R
375,0.384,0.395,-4282.8,-11.421,C_60_fade_30_1R
591,0.382,0.381,-6810.8,-11.524,C_30_fade_30_1R
374,0.0,0.0,-47365.2,-126.645,C_60_cont_30_gapfill
565,0.0,0.0,-59276.5,-104.914,C_30_cont_30_gapfill
