band_k,stop_atr,tgt,gate,thr,n,pf,wr,net,n_is,pf_is,net_is,n_oos,pf_oos,net_oos
1.5,1.0,vwap,off,,2258,0.9134088180641516,0.3281665190434012,-4683.212946529482,1516,0.9139332426906087,-2814.9193443439,742,0.9126064980830607,-1868.2936021855821
1.5,1.0,vwap,adx,20.0,1525,0.8088693096170052,0.30491803278688523,-5861.43218635964,1027,0.7761001444614065,-4253.617469828552,498,0.8622182406106675,-1607.8147165310875
1.5,1.0,vwap,atrpct,0.4,922,0.9067967604629215,0.32537960954446854,-1823.3033525361698,626,0.901421184547518,-1231.914812005807,296,0.9163039890477661,-591.3885405303627
1.5,1.0,vwap,vcross,3.0,1718,0.9319727319776114,0.3265424912689173,-2469.3643189871964,1172,0.9319656380304291,-1507.632956950447,546,0.9319838496411358,-961.7313620367495
1.5,1.0,vwap,orange,6.0,2240,0.9137240307607964,0.32767857142857143,-4626.843113133085,1508,0.9163373792593619,-2718.4928610112966,732,0.9097061780714524,-1908.3502521217888
1.5,1.0,half,off,,2284,0.8616575529425143,0.48467600700525393,-5916.303682843625,1533,0.8699047397181578,-3312.597027519363,751,0.8495209558554168,-2603.706655324262
1.5,1.0,half,adx,20.0,1585,0.8087650904222936,0.46750788643533125,-4743.6502302570025,1064,0.7937665758039189,-3121.055621509704,521,0.8322336072843798,-1622.5946087472985
1.5,1.0,half,atrpct,0.4,932,0.895174994545448,0.4957081545064378,-1581.4199822889277,632,0.8934594346238067,-1012.5482157646693,300,0.8980956802285284,-568.8717665242584
1.5,1.0,half,vcross,3.0,1753,0.8518978692638582,0.4837421563034798,-4314.704334311418,1194,0.8703983551752322,-2251.0694834820806,559,0.8245829089768062,-2063.6348508293377
1.5,1.0,half,orange,6.0,2266,0.8613687808958433,0.48411297440423656,-5881.743866294315,1525,0.8667032261311848,-3381.410671716234,741,0.8534365502552768,-2500.333194578081
1.5,1.5,vwap,off,,2213,0.9126277892177981,0.41979213737008586,-5792.027109978102,1491,0.9192184410433378,-3207.4967121270092,722,0.9027846013084004,-2584.530397851093
1.5,1.5,vwap,adx,20.0,1425,0.8631811180656724,0.40982456140350876,-4843.505693802568,956,0.8332228482116981,-3670.68916769319,469,0.912419598444187,-1172.8165261093782
1.5,1.5,vwap,atrpct,0.4,907,0.9122140233022574,0.4145534729878721,-2114.695203952644,616,0.9394397182008168,-917.290907624978,291,0.8660992023532372,-1197.404296327666
1.5,1.5,vwap,vcross,3.0,1662,0.9383362670509635,0.42117930204572807,-2703.9089925845783,1139,0.9244892081490054,-2043.904539310768,523,0.9606708162258035,-660.0044532738102
1.5,1.5,vwap,orange,6.0,2196,0.9133752080810962,0.41894353369763204,-5692.778684772129,1483,0.9193846757420785,-3182.8139246891296,713,0.9043318575680048,-2509.9647600829994
1.5,1.5,half,off,,2271,0.876541581471006,0.5785997357992074,-6223.230232000262,1529,0.9166145996046485,-2459.5543828738755,742,0.8200169273404876,-3763.6758491263863
1.5,1.5,half,adx,20.0,1523,0.8655289442020861,0.5764937623112278,-3708.676900508086,1020,0.8448366003392946,-2629.2313387631802,503,0.8984989481022336,-1079.4455617449057
1.5,1.5,half,atrpct,0.4,928,0.848021165512575,0.5711206896551724,-2785.145123462238,631,0.8638706918531615,-1569.9452785304547,297,0.8211132807166381,-1215.1998449317834
1.5,1.5,half,vcross,3.0,1727,0.863706668512034,0.5778807180081066,-4638.843323382049,1182,0.8764556754222567,-2534.848256382016,545,0.8443561416390939,-2103.9950670000326
1.5,1.5,half,orange,6.0,2253,0.8772704885561748,0.5778961384820239,-6134.681748885605,1521,0.9187738051489944,-2379.9072025857513,732,0.8184839507812384,-3754.7745462998537
1.5,2.0,vwap,off,,2152,0.9341812322068228,0.4795539033457249,-4728.70941070608,1457,0.9020707845943697,-4349.239309538803,695,0.9861670437860921,-379.4701011672769
1.5,2.0,vwap,adx,20.0,1331,0.8622687958161414,0.4800901577761082,-5158.8058752232555,895,0.8516894428513166,-3477.5965376335535,436,0.8799782223025066,-1681.209337589702
1.5,2.0,vwap,atrpct,0.4,880,0.8925042800489763,0.4738636363636364,-2823.332854052229,600,0.8737406003114104,-2181.6271486905844,280,0.9285857266915767,-641.7057053616445
1.5,2.0,vwap,vcross,3.0,1606,0.9441567619807005,0.4887920298879203,-2657.9107679638582,1105,0.926663893714169,-2177.128987307464,501,0.9731540734701783,-480.7817806563944
1.5,2.0,vwap,orange,6.0,2135,0.9308307109830839,0.4782201405152225,-4931.533155058067,1449,0.8976489593286531,-4526.957285739187,686,0.9850527208540114,-404.57586931888
1.5,2.0,half,off,,2247,0.9021032774193596,0.6395193591455274,-5278.67868933615,1516,0.8830024194618405,-3847.7955363138863,731,0.9319698429265759,-1430.8831530222633
1.5,2.0,half,adx,20.0,1467,0.8587413679042668,0.6428084526244036,-4129.070535376619,986,0.8545693146900782,-2610.319788768642,481,0.8653790092500695,-1518.750746607977
1.5,2.0,half,atrpct,0.4,919,0.8752369267716922,0.6398258977149075,-2429.431120142048,625,0.8169708978933675,-2360.643991434872,294,0.989537624645281,-68.78712870717573
1.5,2.0,half,vcross,3.0,1707,0.8897068052433958,0.6438195664909198,-4031.988320717175,1168,0.8828710457643678,-2618.936485877739,539,0.9004722855631644,-1413.0518348394362
1.5,2.0,half,orange,6.0,2229,0.8991549031326408,0.6384028712427098,-5402.675219571902,1508,0.8809396260546257,-3898.2237378448917,721,0.9277831926043253,-1504.45148172701
2.0,1.0,vwap,off,,2141,0.8578213076285108,0.2788416627744045,-7136.974287834284,1437,0.8721909068877515,-3825.120749378526,704,0.8366035464801475,-3311.853538455758
2.0,1.0,vwap,adx,20.0,1239,0.8144625845891629,0.26634382566585957,-4609.349082237148,821,0.775183721700626,-3435.313169706382,418,0.877227524548099,-1174.035912530766
2.0,1.0,vwap,atrpct,0.4,878,0.9264487249195819,0.2870159453302961,-1300.7648071222084,598,0.9160451702340093,-947.9324836944124,280,0.9448196035111373,-352.8323234277959
2.0,1.0,vwap,vcross,3.0,1573,0.8523380583707015,0.2765416401780038,-5024.582539713267,1069,0.8603757243001148,-2863.6739482795474,504,0.8401428794411999,-2160.9085914337193
2.0,1.0,vwap,orange,6.0,2123,0.8566416124665868,0.2779086198775318,-7135.883896999356,1429,0.8728727804554679,-3782.132396993409,694,0.8325281944777102,-3353.7515000059466
2.0,1.0,half,off,,2197,0.8532806739163155,0.42148384160218477,-6084.591932040548,1477,0.8534427633470926,-3621.499979218155,720,0.8530417006009522,-2463.091952822393
2.0,1.0,half,adx,20.0,1294,0.8153451018966871,0.4080370942812983,-3900.330218871597,862,0.7759597196591265,-2895.620605423497,432,0.8774402743946623,-1004.7096134480998
2.0,1.0,half,atrpct,0.4,902,0.9129137711676506,0.4356984478935698,-1256.3012718017853,616,0.8478803586766893,-1428.8434924168578,286,1.0342818168267773,172.54222061507244
2.0,1.0,half,vcross,3.0,1624,0.8315781025053536,0.41564039408866993,-4781.792408193631,1105,0.8334707201422084,-2836.811413691781,519,0.8287392340799935,-1944.9809945018496
2.0,1.0,half,orange,6.0,2179,0.8569782804491994,0.4217530977512621,-5871.082450908802,1469,0.856908501012175,-3510.443303025597,710,0.8570819218212586,-2360.6391478832047
2.0,1.5,vwap,off,,2066,0.8749951207608894,0.36931268151016455,-7656.1515164579505,1384,0.9025459441621874,-3537.351643655482,682,0.8349124646723477,-4118.799872802469
2.0,1.5,vwap,adx,20.0,1140,0.8812975253479574,0.37105263157894736,-3397.4513570016243,751,0.8579673587633483,-2499.631184975249,389,0.9185471874156428,-897.8201720263751
2.0,1.5,vwap,atrpct,0.4,850,0.9234521979067125,0.3788235294117647,-1657.0535096390322,576,0.9678871274588757,-433.8156623788109,274,0.8496921063620213,-1223.2378472602213
2.0,1.5,vwap,vcross,3.0,1508,0.8891767207587365,0.373342175066313,-4538.865361188848,1025,0.9305507535395379,-1699.2754812387793,483,0.8277784848218117,-2839.5898799500683
2.0,1.5,vwap,orange,6.0,2049,0.8751868031616962,0.36798438262567107,-7574.090486301771,1376,0.902137088539811,-3531.6042253677006,673,0.8356455800015841,-4042.4862609340707
