idx,detector,c,p,W,trig_tk,E,exit_mode,Rmult,trail_atr,n,pf,wr,net,expR,is_n,is_pf,oos_n,oos_pf,minyr_pf
0,ratio,1.0,,4,1,4,R,1.5,2.0,862,0.924784300001346,40.023201856148496,-1397.0,-0.0333607006916682,529,1.056687966782604,333,0.7932883560907429,0.6080029189978108
1,ratio,1.0,,4,1,4,R,2.0,2.0,848,0.954898578461616,34.31603773584906,-895.5,-0.023105001477772003,520,1.0792108728600889,328,0.8271812937152193,0.6468267780484975
2,ratio,1.0,,4,1,4,trail,2.0,2.0,860,0.8728881755615241,32.55813953488372,-2042.178571428556,-0.01734613563732682,525,1.1515720381873065,335,0.5958374891947625,0.44799267044209795
3,ratio,1.0,,4,1,4,trail,2.0,3.0,835,0.9224888544141917,28.622754491017965,-1434.6607142857265,0.025579096979141742,514,1.2203234795134135,321,0.6234605137485535,0.495205908051478
4,ratio,1.0,,4,1,8,R,1.5,2.0,865,0.9232733836999398,40.0,-1434.5,-0.03284783778159218,531,1.0606080972095273,334,0.7873599914864182,0.6019401972134616
5,ratio,1.0,,4,1,8,R,2.0,2.0,851,0.9452316212238382,34.19506462984724,-1097.75,-0.025557575720340665,522,1.0849439984141145,329,0.8036315234316138,0.6158258178936644
6,ratio,1.0,,4,1,8,trail,2.0,2.0,863,0.8711131249723719,32.560834298957126,-2082.5357142856974,-0.017254375647460053,527,1.1564696936683754,336,0.5890749913199427,0.44046212419587855
7,ratio,1.0,,4,1,8,trail,2.0,3.0,838,0.9182536601730041,28.639618138424822,-1523.000000000011,0.0244948685821169,516,1.2205108926235515,322,0.6163444535340616,0.4863708516581978
8,ratio,1.0,,4,4,4,R,1.5,2.0,868,0.8982316970255638,39.285714285714285,-1959.625,-0.05257048851919142,533,1.0105192767675728,335,0.7837685491059724,0.6084382821500933
9,ratio,1.0,,4,4,4,R,2.0,2.0,852,0.9185048049401362,33.68544600938967,-1672.75,-0.04201284935101851,523,1.0515233727881683,329,0.7815435577968951,0.6394534650467432
10,ratio,1.0,,4,4,4,trail,2.0,2.0,864,0.8406809225262358,31.944444444444443,-2629.21428571427,-0.039872446108700145,527,1.1051762233589455,337,0.5756596334647567,0.43562207987697266
11,ratio,1.0,,4,4,4,trail,2.0,3.0,839,0.8935737582019739,28.605482717520857,-2017.8928571428696,-0.00047306485340495297,516,1.1808984148599146,323,0.6038082050816409,0.48065077949109936
12,ratio,1.0,,4,4,8,R,1.5,2.0,871,0.8881530773479953,39.03559127439725,-2176.625,-0.05771454195722349,535,1.0124964789634068,336,0.7629794803052176,0.5816196119437667
13,ratio,1.0,,4,4,8,R,2.0,2.0,855,0.909617333397674,33.567251461988306,-1873.0,-0.04436623351713597,525,1.0572385738214884,330,0.7595250839375213,0.6094344501496066
14,ratio,1.0,,4,4,8,trail,2.0,2.0,867,0.8387255724681661,31.949250288350633,-2676.821428571411,-0.040073756536033026,529,1.1092329380116654,338,0.569166462610461,0.42830817208873845
15,ratio,1.0,,4,4,8,trail,2.0,3.0,842,0.8892601373920945,28.50356294536817,-2113.482142857154,-0.001679181936214738,518,1.180520373317791,324,0.5969898286275571,0.4721436055039452
16,ratio,1.0,,6,1,4,R,1.5,2.0,91,0.7276285799227034,30.76923076923077,-687.125,-0.20372096149347635,46,0.8715039577836412,45,0.6410887160768132,0.48222940226171246
17,ratio,1.0,,6,1,4,R,2.0,2.0,91,0.7941684250911184,28.57142857142857,-536.5,-0.17758126570435415,46,1.0147757255936676,45,0.6681735985533453,0.4754981152396338
18,ratio,1.0,,6,1,4,trail,2.0,2.0,91,0.987986063834051,32.967032967032964,-21.428571428565192,-0.07221833111874146,46,0.856623836951707,45,1.096302791173467,0.37690925426773614
19,ratio,1.0,,6,1,4,trail,2.0,3.0,91,1.3231998033914962,26.373626373626376,704.5178571428569,-0.003716583889845869,46,0.7281863864778451,45,1.7727586504443824,0.1652570665479623
20,ratio,1.0,,6,1,8,R,1.5,2.0,94,0.810136685623067,35.1063829787234,-475.75,-0.1233631761114268,46,0.9391505581268718,48,0.7355118110236221,0.6340872374798061
21,ratio,1.0,,6,1,8,R,2.0,2.0,94,0.8806719443908091,32.97872340425532,-309.0,-0.09389223856442086,46,1.0882112714402397,48,0.7666417352281226,0.6112008616047389
22,ratio,1.0,,6,1,8,trail,2.0,2.0,94,1.0883735000504215,36.17021276595745,156.50000000000546,-0.01766059272123602,46,0.9038817840842349,48,1.2370702214452252,0.5123873873873792
23,ratio,1.0,,6,1,8,trail,2.0,3.0,94,1.410461781864925,29.78723404255319,889.4999999999982,0.05561824326770725,46,0.7780229991868989,48,1.879142635792367,0.28754106053495915
24,ratio,1.0,,6,4,4,R,1.5,2.0,91,0.6561758283489983,29.67032967032967,-905.375,-0.24581237600696632,46,0.8268437338834451,45,0.5567242674680691,0.48086124401913877
25,ratio,1.0,,6,4,4,R,2.0,2.0,91,0.8089812968764835,29.67032967032967,-503.0,-0.1490634932115719,46,1.0033522434244455,45,0.695717505634861,0.4710260499734184
26,ratio,1.0,,6,4,4,trail,2.0,2.0,91,0.9752077534987494,32.967032967032964,-44.85714285713766,-0.06637072964230191,46,0.8195172236062203,45,1.1076007158771362,0.3523225241016567
27,ratio,1.0,,6,4,4,trail,2.0,3.0,91,1.302525354559779,26.373626373626376,668.4999999999982,-0.006657727740702259,46,0.699811132096435,45,1.7692682716987571,0.1546324488908209
28,ratio,1.0,,6,4,8,R,1.5,2.0,94,0.7348897164136351,34.04255319148936,-694.125,-0.16471332419975962,46,0.8921542553191489,48,0.6468047072843736,0.6331738437001595
29,ratio,1.0,,6,4,8,R,2.0,2.0,94,0.8934402749928387,34.04255319148936,-279.0,-0.06813956970370473,46,1.073404255319149,48,0.7926411440488604,0.6034024455077087
30,ratio,1.0,,6,4,8,trail,2.0,2.0,94,1.0948767755250732,37.234042553191486,167.4642857142917,-0.00040637558764778167,46,0.8644609991235771,48,1.2925343959100861,0.4807480748074727
