et_date,dow,entry_time,exit_time,dir,R,win,signal_num,prev_result,min_since_prev_exit,min_since_prev_entry,day_cum_R_before,reason,hold_min
2021-06-23,Wednesday,2021-06-23 14:41:00+00:00,2021-06-23 16:39:00+00:00,short,1.955223880597015,True,1,none,,,0.0,target,118.0
2021-06-24,Thursday,2021-06-24 15:00:00+00:00,2021-06-24 16:11:00+00:00,short,-1.0483870967741935,False,1,none,,,0.0,stop,71.0
2021-06-25,Friday,2021-06-25 13:37:00+00:00,2021-06-28 12:43:00+00:00,short,-1.02803738317757,False,1,none,,,0.0,stop,4266.0
2021-06-28,Monday,2021-06-28 13:43:00+00:00,2021-06-28 14:01:00+00:00,short,-1.0297029702970297,False,1,none,,,0.0,stop,18.0
2021-06-29,Tuesday,2021-06-29 14:24:00+00:00,2021-06-29 14:34:00+00:00,short,-1.05,False,1,none,,,0.0,stop,10.0
2021-06-29,Tuesday,2021-06-29 15:07:00+00:00,2021-06-29 15:46:00+00:00,short,-1.0666666666666667,False,2,loss,33.0,43.0,-1.05,stop,39.0
2021-06-30,Wednesday,2021-06-30 14:31:00+00:00,2021-06-30 15:36:00+00:00,long,-1.0297029702970297,False,1,none,,,0.0,stop,65.0
2021-07-01,Thursday,2021-07-01 13:33:00+00:00,2021-07-01 14:21:00+00:00,long,-1.0215827338129497,False,1,none,,,0.0,stop,48.0
2021-07-01,Thursday,2021-07-01 14:23:00+00:00,2021-07-01 15:08:00+00:00,long,-1.0441176470588236,False,2,loss,2.0,50.0,-1.0215827338129497,stop,45.0
2021-07-01,Thursday,2021-07-01 15:56:00+00:00,2021-07-01 16:40:00+00:00,long,-1.03125,False,3,loss,48.0,93.0,-2.0657003808717733,stop,44.0
2021-07-06,Tuesday,2021-07-06 13:43:00+00:00,2021-07-06 14:06:00+00:00,short,-1.0410958904109588,False,1,none,,,0.0,stop,23.0
2021-07-06,Tuesday,2021-07-06 14:36:00+00:00,2021-07-06 19:27:00+00:00,short,-1.0134529147982063,False,2,loss,30.0,53.0,-1.0410958904109588,stop,291.0
2021-07-07,Wednesday,2021-07-07 14:08:00+00:00,2021-07-07 14:19:00+00:00,short,-1.0154639175257731,False,1,none,,,0.0,stop,11.0
2021-07-07,Wednesday,2021-07-07 14:31:00+00:00,2021-07-08 07:23:00+00:00,short,1.98125,True,2,loss,12.0,23.0,-1.0154639175257731,target,1012.0
